Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,PaidGoodReward1,PaidGoodAmount1,PaidGoodReward2,PaidGoodAmount2,PaidGoodReward3,PaidGoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxPonyAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,DiamondsToCoinsRateV2,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,TruckCoinMultiplier,TruckEXPMultiplier,BoatCrateCoinMultiplier,BoatCrateEXPMultiplier,EXPEventCurrencyMultiplier
670,8507000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,413,1652,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
671,8527000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,414,1656,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
672,8547000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,414,1656,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
673,8567000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,415,1660,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
674,8587000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,415,1660,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
675,8607000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,416,1664,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
676,8627000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,416,1664,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
677,8647000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,417,1668,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
678,8667000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,417,1668,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
679,8687000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,418,1672,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
680,8707000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,418,1672,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
681,8727000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,419,1676,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
682,8747000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,419,1676,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
683,8767000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,420,1680,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
684,8787000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,420,1680,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
685,8807000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,421,1684,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
686,8827000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,421,1684,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
687,8847000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,422,1688,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
688,8867000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,422,1688,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
689,8887000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,423,1692,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
690,8907000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,423,1692,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
691,8927000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,424,1696,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
692,8947000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,424,1696,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
693,8967000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,425,1700,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
694,8987000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,425,1700,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
695,9007000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,426,1704,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
696,9027000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,426,1704,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
697,9047000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,427,1708,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
698,9067000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,427,1708,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
699,9087000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,428,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
700,9107000,FreeDiamonds,425,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,428,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
701,9127000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,429,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
702,9147000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,429,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
703,9167000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,429,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
704,9187000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,429,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
705,9207000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,430,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
706,9227000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,430,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
707,9247000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,430,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
708,9267000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,430,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
709,9287000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,431,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
710,9307000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,431,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
711,9327000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,431,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
712,9347000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,431,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
713,9367000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,432,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
714,9387000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,432,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
715,9407000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,432,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
716,9427000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,432,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
717,9447000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,433,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
718,9467000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,433,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
719,9487000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,433,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
720,9507000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,433,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
721,9527000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,434,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
722,9547000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,434,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
723,9567000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,434,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
724,9587000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,434,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
725,9607000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,435,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
726,9627000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,435,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
727,9647000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,435,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
728,9667000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,435,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
729,9687000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,436,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
730,9707000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,436,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
731,9727000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,436,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
732,9747000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,436,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
733,9767000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,437,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
734,9787000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,437,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
735,9807000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,437,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
736,9827000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,437,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
737,9847000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,438,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
738,9867000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,438,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
739,9887000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,438,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
740,9907000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,438,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
741,9927000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,439,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
