Name,Mode,MinExpLevel10,MaxExpLevel10,MinRepLevel,Priority,TID,TID2,RequiredTutorial,AnimationExportName,AnimationTitleTID,ConfirmButtonTID,FileName,HumanExportName,DelayMS,AutoCompleteOtherTutorial,ReplayTutorial,Target,ShopTarget,Action,StartAction,EndAction,RequiredCount,PeopleOrder,ArrowXOffset,ArrowYOffset,GoodReward,PositionX,PositionY,Disabled,TargetData,CinematicDelayMS,ResetOtherTutorial,TutorialGroup,HideIsoScarecrow,OnRails,XpReward,EnsureLevel,CameraOffsetX,CameraOffsetY,FloatingHeadTID,ShowInteractiveAnimation,InteractiveIconName,InteractiveAnimationOffsetX,InteractiveAnimationOffsetY,ShouldHideArrow,FloatingHeadLeftAnchor,FloatingHeadTopAnchor,FloatingHeadLayer,ShowHandSlideAnimation,ShouldShowShopArrow,RestrictedCameraBounds,SetCameraMinScaleMobile,SetCameraMinScaleTablet,FontSize,HideFloatingHeadWhenGOHUDIsVisible,TargetScrollScaleMobile,TargetScrollScaleTablet,ScrollDelayMS,SkipWaitForHud,RestrictedBoundsAreRelative,FloatingHeadExtraTID,HideFloatingHeadWhenShopIsVisible
V2: Place first Chicken,home,10,,,5,,,,,,,sc/humans.sc,<default>,,,,ChickenHabitat,,BuyAnimals,UnlockShopButton,,5,,,,,,,,,,,NewFtue,TRUE,TRUE,,,1,4,TID_TUTORIAL_V2_PlaceChicken,,,,,TRUE,0.15,0.75,8,TRUE,TRUE,9;19;8;8,0.3,0.7,,,,1.4,1250,,,,TRUE
V2: Place second Chicken,home,10,,,5,,,,,,,sc/humans.sc,<default>,,,,ChickenHabitat,,BuyAnimals,,CloseShop,6,,,,,,,,,,,NewFtue,TRUE,TRUE,,2,1,4,TID_TUTORIAL_V2_PlaceChicken2,,,,,TRUE,0.55,0.68,8,TRUE,TRUE,9;19;8;8,0.3,0.7,,,,1.2,,,,,
V2: Place third Chicken,home,10,,,5,,,,,,,sc/humans.sc,<default>,,,,ChickenHabitat,,BuyAnimals,,CloseShop,6,,,,,,,TRUE,,,,NewFtue,TRUE,TRUE,,2,,,TID_TUTORIAL_V2_PlaceChicken3,,,,,TRUE,0.5,0.75,8,TRUE,TRUE,9;19;8;8,0.3,0.7,,,,1.2,,,,,
V2: Build Feed Mill,home,20,,,7,,,,,,,sc/humans.sc,<default>,,,,FeedMill,,BuyObject,,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,9,21,TID_TUTORIAL_V2_BuildFeedMill,,,,,,0.15,0.75,4,TRUE,TRUE,8;21;12;12,0.3,0.7,,,,0.9,,,,,TRUE
V2: Speedup Feed Mill,home,20,30,,7,,,,,,,sc/humans.sc,<default>,,,,FeedMill,,InstantComplete,SelectTargetObject,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_CompleteFeedMill,,,,,,0.35,0.1,4,,,-4;-5;8;10,0.3,0.7,,,,1.1,,,TRUE,,
V2: Place fields,home,20,,,8,,,,,,,sc/humans.sc,<default>,,,,EmptyField,,BuyObject,SelectTargetObject,CloseShop,9,,,,,,,,,,,NewFtue,TRUE,TRUE,,,20,24,TID_TUTORIAL_V2_PlaceFields,,,,,,0.15,0.75,8,TRUE,TRUE,16;18;12;12,0.3,0.7,,,,0.9,2000,,,,TRUE
V2: Plant Corn,home,20,,,9,,,,,,,sc/humans.sc,<default>,,,,EmptyField,,PlantFields,,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_PlantCorn,,tool_plant_corn,,,,0.35,0.1,4,,,-4;-5;8;10,0.3,0.7,,TRUE,,1.2,,,TRUE,,
V2: Speed up Corn,home,20,30,,10,,,,,,,sc/humans.sc,<default>,,,,GrowingFieldCorn,,InstantCompleteField,,UnselectCurrent,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_SpeedUpCorn,,,,,,0.35,0.1,4,,,-4;-5;8;10,0.3,0.7,,,,1.1,,,TRUE,,
V2: Harvest Corn,home,20,,,11,,,,,,,sc/humans.sc,<default>,,,,HarvestableFieldCorn,,HarvestFields,,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_HarvestCorn,,tool_harvest,,,,0.35,0.1,8,,,-4;-5;8;10,0.3,0.7,,,,1.1,500,,TRUE,,
V2: Produce Chicken Feed,home,20,,,12,,,,,,,sc/humans.sc,<default>,,,,FeedMill,,StartProduction,,,2,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_ProduceChickenFeed,,,,,,0.35,0.1,8,TRUE,,-4;-5;8;10,0.3,0.7,,TRUE,,1.2,,TRUE,TRUE,,
V2: Speed up Chicken Feed,home,20,,,13,,,,,,,sc/humans.sc,<default>,,,,FeedMill,,InstantCompleteProduct,,UnselectCurrent,2,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_SpeedUpChickenFeed,,,,,,0.35,0.1,8,,,-4;-5;8;10,0.3,0.7,,,,1.1,,,TRUE,,
V2: Feed 3 Chickens,home,30,,,14,,,,,,,sc/humans.sc,<default>,,,,HungryChicken,,FeedAnimals,,,3,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_FeedChickens,,,,,,0.35,0.1,4,TRUE,,-4;-5;8;10,0.3,0.7,,TRUE,,1.4,,,TRUE,,
V2: Chicken Speedup1,home,30,40,,19,,,,,,,sc/humans.sc,<default>,,,,ProcessingChicken,,InstantComplete,SelectTargetObject,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_SpeedChicken1,,,,,,0.35,0.1,4,,,-4;-5;8;10,0.3,0.7,,,,1.4,,,TRUE,,
V2: Chicken Speedup2,home,30,40,,20,,,,,,,sc/humans.sc,<default>,,,,ProcessingChicken,,InstantComplete,SelectTargetObject,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_SpeedChicken2,,,,,,0.35,0.1,4,,,-4;-5;8;10,0.3,0.7,,,,1.4,,,TRUE,,
V2: Chicken Speedup3,home,30,40,,21,,,,,,,sc/humans.sc,<default>,,,,ProcessingChicken,,InstantComplete,SelectTargetObject,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_SpeedChicken3,,,,,,0.35,0.1,4,,,-4;-5;8;10,0.3,0.7,,,,1.4,,,TRUE,,
V2: Chicken Collecting,home,30,,,22,,,,,,,sc/humans.sc,<default>,,,,ReadyChicken,,CollectAnimal,,UnselectCurrent,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_CollectEggs,,,,,,0.35,0.1,8,TRUE,,-4;-5;8;10,0.3,0.7,,,,1.2,,,TRUE,,
V2: Car Arrives,home,30,,,23,,,,,,,sc/humans.sc,<default>,,,,,,SpawnCar,,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,2000,TRUE,,,
V2: Complete First Order,home,30,,,25,,,,,,,sc/humans.sc,<default>,,,,OrderTable,,CompleteOrder,,,,,40,-50,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_CompleteFirstOrder,,,,,,0.3,0.05,4,,,,0.3,0.7,,,,1.2,,,,,
V2: Buy Bakery,home,40,,,26,,,,,,,sc/humans.sc,<default>,,,,Bakery,,BuyObject,,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,19,19,TID_TUTORIAL_V2_BuyBakery,,,,,,0.15,0.75,4,TRUE,TRUE,16;13;12;12,0.3,0.7,,,,0.9,,,,,TRUE
V2: Speedup Bakery,home,40,,,26,,,,,,,sc/humans.sc,<default>,,,,Bakery,,InstantComplete,SelectTargetObject,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_SpeedBakery,,,,,,0.35,0.1,4,,,-4;-5;8;10,0.3,0.7,,,,1.2,,,TRUE,,
V2: Bake Bread,home,40,,,26,,,,,,,sc/humans.sc,<default>,,,,Bakery,,StartProduction,,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_BakeBread,,,,,,0.35,0.1,4,,,-4;-5;8;10,0.3,0.7,,TRUE,,1.1,,,TRUE,,
V2: SpeedUp Bread,home,40,50,,26,,,,,,,sc/humans.sc,<default>,,,,Bakery,,InstantCompleteProduct,SelectTargetObject,UnselectCurrent,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_SpeedBread,,,,,,0.35,0.1,8,,,-4;-5;8;10,0.3,0.7,,,,1,,,TRUE,,
V2: Guest appears,home,40,,,27,,,,,,,sc/humans.sc,<default>,7000,,,People,,,,,,B,,-90,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_GuestAppears,,,,,,0.35,0.1,4,,,,0.3,0.7,,,,0.8,,TRUE,,,
V2: Collect the coins,home,30,,,26,,,,,,,sc/humans.sc,<default>,,,,Car,,ClaimOrder,,,,,-20,-50,,,,,,,,NewFtue,TRUE,TRUE,,4,,,TID_TUTORIAL_V2_CollectFirstOrder,,,,,,0.35,0.1,4,,,,0.3,0.7,,,,0.7,,,,,
V2: SellBreadStart,home,40,,,28,TID_TUTORIAL_V2_SellBread1,,,,,,sc/humans.sc,popup_joan,,,,,,,OpenPeopleBuyScreen,,,B,,-120,,,,,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Sell Bread,home,40,,,29,,,,,,,sc/humans.sc,popup_joan,,,,,,CompletePeopleOrder,,,,B,,-120,,,,,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Complete Second Order,home,40,,,30,,,,,,,sc/humans.sc,<default>,,,,OrderTable,,CompleteOrder,,,,,40,-50,,,,,,,,NewFtue,TRUE,TRUE,,5,,,TID_TUTORIAL_V2_CompleteSecondOrder,,,,,,0.3,0.05,4,,,-4;-5;8;10,0.3,0.7,,,,,,,TRUE,,
V2: Ai visiting 1,home,50,,,30,,,,,,,sc/humans.sc,<default>,,,,,,WaitForHud,,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Ai visiting 3,home,50,,,32,TID_TUTORIAL_V2_GregIntro,,,,,,sc/humans.sc,popup_greg,,,,,,,UnlockFriendsButton,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Ai visiting 4,home,50,,,32,,,,,,,sc/humans.sc,<default>,,,,FriendBarButton,,OpenFriendBar,,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_OpenFriendBar,,,,,,0.4,0.4,4,,TRUE,12;12;12;12,0.3,0.7,,,,,,,,,
V2: Ai visiting 5,home,50,,,33,,,,,,,sc/humans.sc,<default>,,,,AIButton,,VisitAI,,CloseFriendBar,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_VisitGreg,,,,,,0.4,0.2,4,,TRUE,12;12;12;12,0.3,0.7,,,,,,,,,
V2: Ai visiting 6,ai,50,,,34,TID_TUTORIAL_V2_GregsFarm,,,,,,sc/humans.sc,popup_greg,,,,,,,,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Ai visiting 7,ai,50,,,35,TID_TUTORIAL_V2_GregShop,,,,,,sc/humans.sc,popup_greg,,,,RoadsideShop,,OpenRoadsideShop,UnlockInboxButton,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,,-4;-5;8;10,0.3,0.7,,,,1,,,TRUE,,
V2: Ai visiting 8,ai,50,,,36,TID_TUTORIAL_V2_GregLeave,,,,,,sc/humans.sc,popup_greg,,,,,,,UnlockMoneyShopButton,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Ai visiting 9,home,50,,,38,TID_TUTORIAL_V2_BackHome,,,,,,sc/humans.sc,<default>,,,,,,,,UnlockAllButtons,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventBoard old players 1,home,100,,,,TID_TUTORIAL_EVENT_BOARD_OLD_PLAYERS_1,,,,,,sc/humans.sc,scarecrow,,EventBoard new players 1,,EventBoard,,OpenEventBoard,,,,,40,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventBoard new players 1,home,90,,,1,TID_TUTORIAL_EVENT_BOARD_NEW_PLAYERS_1,,,,,,sc/humans.sc,scarecrow,,EventBoard old players 1,,EventBoard,,OpenEventBoard,,,,,40,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventBoard old players 2,home,100,,,,TID_TUTORIAL_EVENT_BOARD_OLD_PLAYERS_2,,EventBoard old players 1,,,,sc/humans.sc,scarecrow,,EventBoard new players 2,,EventBoardHUD,,SetEventBoardEventSeen,,,,,40,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventBoard new players 2,home,90,,,1,TID_TUTORIAL_EVENT_BOARD_NEW_PLAYERS_2,,EventBoard new players 1,,,,sc/humans.sc,scarecrow,,EventBoard old players 2,,EventBoardHUD,,SetEventBoardEventSeen,,,,,40,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventBoard old players 3,home,100,,,,TID_TUTORIAL_EVENT_BOARD_3,,EventBoard old players 2,,,,sc/humans.sc,scarecrow,,EventBoard new players 3,,EventBoardHUD,,OpenEventBoardEventInfo,,,,,40,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventBoard new players 3,home,90,,,1,TID_TUTORIAL_EVENT_BOARD_3,,EventBoard new players 2,,,,sc/humans.sc,scarecrow,,EventBoard old players 3,,EventBoardHUD,,OpenEventBoardEventInfo,,,,,40,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventBoard old players 4,home,100,,,,TID_TUTORIAL_EVENT_BOARD_4,,EventBoard old players 3,,,,sc/humans.sc,scarecrow,,EventBoard new players 4,,EventBoard,,,,,,,40,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventBoard new players 4,home,90,,,1,TID_TUTORIAL_EVENT_BOARD_4,,EventBoard new players 3,,,,sc/humans.sc,scarecrow,,EventBoard old players 4,,EventBoard,,,,,,,40,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Name farm,home,50,,,37,TID_TUTORIAL_V2_Name_Farm,,,,,,sc/humans.sc,<default>,,,,,,NameGate,OpenNameGateScreen,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Wait first order,home,30,,,25,TID_TUTORIAL_V2_WaitFirstOrder,,,,,,sc/humans.sc,<default>,,,,,,,,ReturnCar,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Ai visiting 10,ai,50,90,,39,,,,,,,sc/humans.sc,popup_greg,,,,HomeButton,,ReturnHome,,,,,,,,,,TRUE,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
V2: Car Arrives Part 2,home,30,,,24,TID_TUTORIAL_V2_CarArrives,,,,,,sc/humans.sc,<default>,,,,,,,,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Age Intro,home,10,,,1,TID_TUTORIAL_V2_Age_Gate,,,,,,sc/humans.sc,<default>,,,,,,AgeGate,OpenAgeGateScreen,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Ai visiting 2,home,50,,,31,,,,,,,sc/humans.sc,<default>,100,,,People,,SelectTargetSameDataType,,SelectTargetObject,,C,,-120,,,,,,,,NewFtue,TRUE,TRUE,,,,,TID_TUTORIAL_V2_GregAppears,,,,,,0.35,0.1,4,,,,0.3,0.7,,,,,,,,,
V2: Lvl up after Speed up Chicken Feed,home,20,,,14,,,,,,,sc/humans.sc,<default>,,,,,,WaitForHud,,,,,,,,,,,,,,NewFtue,TRUE,TRUE,,3,,,,,,,,,0.35,0.1,8,,,,0.3,0.7,,,,1.1,,,,,
V2: Ai visiting gift boxes 1,ai,50,,,36,TID_TUTORIAL_GREG_GIFT_BOXES_1,,,,,,sc/humans.sc,popup_greg,,,,CollectableLifecycleCalendarBoxExists,,,,,,,,,,,,,,,,NewFtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Ai visiting gift boxes 2,ai,50,,,36,,,,,,,sc/humans.sc,popup_greg,,,,CollectableLifecycleCalendarBox,,OpenLifecycleCalendarBox,,,,,,,,,,,,,,NewFtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Ai visiting gift boxes 3,ai,50,,,36,,,,,,,sc/humans.sc,popup_greg,,,,NotCollectableLifecycleCalendarBox,,TapClosedLifecycleCalendarBox,,,,,,,,,,,,,,NewFtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2: Ai visiting gift boxes 4,ai,50,90,,36,,,,,,,sc/humans.sc,popup_greg,,,,HomeButton,,ReturnHome,,,,,,,,,,,,,,NewFtue,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
Temp Narrative Dialogue 1,home,90,,,49,,,,,,,sc/humans.sc,popup_greg,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp Narrative Dialogue 2,home,90,,,49,,,,,,,sc/humans.sc,popup_greg,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp Narrative Dialogue 3,home,90,,,49,,,,,,,sc/humans.sc,popup_greg,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp Narrative Dialogue 4,home,90,,,49,,,,,,,sc/humans.sc,popup_greg,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp Narrative Dialogue 5,home,90,,,49,,,,,,,sc/humans.sc,popup_greg,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp Narrative Dialogue 6,home,90,,,49,,,,,,,sc/humans.sc,popup_greg,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
