TID,FR
TID_STREAM_EVENT_DERBY_BINGO_COMPLETE_REWARDS1,Bingo ! Vous obtiendrez tous de meilleures récompenses à la fin du derby !
TID_STREAM_EVENT_DERBY_BINGO_COMPLETE_POINTS2,Bingo ! Vous avez terminé le bingo de cette semaine !
TID_STREAM_EVENT_DERBY_BINGO_COMPLETE_REWARDS2,Bingo ! Vous obtiendrez tous de meilleures récompenses à la fin du derby !
TID_STREAM_EVENT_DERBY_BINGO_COMPLETE_POINTS3,Bingo ! Vous avez terminé le bingo de cette semaine !
TID_STREAM_EVENT_DERBY_BINGO_COMPLETE_REWARDS3,Bingo ! Vous obtiendrez tous de meilleures récompenses à la fin du derby !
TID_DERBY_TASKS_TAB_BINGO_INFO_POINTS_COMPLETE1_TITLE,Bingo terminé !
TID_DERBY_TASKS_TAB_BINGO_INFO_POINTS_COMPLETE1_TEXT,Gagnez encore plus de points la prochaine fois !
TID_DERBY_TASKS_TAB_BINGO_INFO_REWARDS_COMPLETE1_TITLE,Le bingo est fini !
TID_DERBY_TASKS_TAB_BINGO_INFO_REWARDS_COMPLETE1_TEXT,Gagnez encore plus de récompenses la prochaine fois !
TID_DERBY_TASKS_TAB_BINGO_INFO_POINTS_COMPLETE2_TITLE,Bingo terminé !
TID_DERBY_TASKS_TAB_BINGO_INFO_POINTS_COMPLETE2_TEXT,Gagnez encore plus de points la prochaine fois !
TID_DERBY_TASKS_TAB_BINGO_INFO_REWARDS_COMPLETE2_TITLE,Le bingo est fini !
TID_DERBY_TASKS_TAB_BINGO_INFO_REWARDS_COMPLETE2_TEXT,Gagnez encore plus de récompenses la prochaine fois !
TID_DERBY_TASKS_TAB_BINGO_INFO_POINTS_COMPLETE3_TITLE,Bingo terminé !
TID_DERBY_TASKS_TAB_BINGO_INFO_POINTS_COMPLETE3_TEXT,Gagnez encore plus de points la prochaine fois !
TID_DERBY_TASKS_TAB_BINGO_INFO_REWARDS_COMPLETE3_TITLE,Le bingo est fini !
TID_DERBY_TASKS_TAB_BINGO_INFO_REWARDS_COMPLETE3_TEXT,Profitez de vos récompenses !
TID_NEIGHBORHOOD_MENU_DELETE_PUBLIC_MESSAGE_BUTTON,Supprimer
TID_NEIGHBORHOOD_MENU_REPORT_PUBLIC_MESSAGE_BUTTON,Signaler
TID_CONFIRM_POPUP_REPORT_NEIGHBORHOOD_PUBLIC_MESSAGE_TITLE,Signaler ce joueur
TID_CONFIRM_POPUP_REPORT_NEIGHBORHOOD_PUBLIC_MESSAGE_TEXT,Voulez-vous vraiment signaler <NAME> pour comportement inapproprié ?
TID_CONFIRM_POPUP_REPORT_NEIGHBORHOOD_PUBLIC_MESSAGE_BUTTON_CONFIRM,Confirmer
TID_CONFIRM_POPUP_REPORT_NEIGHBORHOOD_PUBLIC_MESSAGE_BUTTON_CANCEL,Annuler
TID_CONFIRM_POPUP_DELETE_NEIGHBORHOOD_PUBLIC_MESSAGE_TITLE,Supprimer le message
TID_CONFIRM_POPUP_DELETE_NEIGHBORHOOD_PUBLIC_MESSAGE_TEXT,Voulez-vous vraiment supprimer ce message ?
TID_CONFIRM_POPUP_DELETE_NEIGHBORHOOD_PUBLIC_MESSAGE_BUTTON_CONFIRM,Confirmer
TID_CONFIRM_POPUP_DELETE_NEIGHBORHOOD_PUBLIC_MESSAGE_BUTTON_CANCEL,Annuler
TID_STREAM_PUBLIC_MESSAGE_SENDER_YOU,Message de vous (<FARM>)
TID_STREAM_PUBLIC_MESSAGE_SENDER,Message de <FARM>
TID_FLOATER_NEIGHBORHOOD_TOO_MANY_PUBLIC_MESSAGES,Vous pouvez épingler un maximum de <COUNT> messages publics. Supprimez un message pour en épingler un nouveau.
TID_STREAM_EVENT_NEIGHBORHOOD_PUBLIC_MESSAGE_REPORTED,Le message de <NAME> a été signalé.
TID_NEIGHBORHOOD_PUBLIC_MESSAGE_REPORTED,Message signalé.
TID_NEIGHBORHOOD_PUBLIC_MESSAGE_ALREADY_REPORTED,Vous avez déjà signalé ce message !
TID_ABOUT_REDDIT,Consultez le forum Reddit de Hay Day (non officiel)
TID_NEIGHBORHOOD_POST_PUBLIC_MESSAGE_BUTTON,Publier un message
TID_DECO_FALLFENCE,Mur de manoir
TID_DECO_WINTERFENCE,Clôture d'hiver
TID_FALL_DECO_DESC,Décoration d'automne
TID_WINTER_DECO_DESC,Décoration d'hiver
TID_DECO_SNOWKING,Royauté hivernale
TID_DECO_IGLOO,Igloo
TID_DECO_KETTLE,Bouilloire de camping
TID_DECO_CANVASTENT,Tente en toile
TID_DECO_WINTERTREE,Pin en pot
TID_ELEPHANT_CALF1,Éléphanteau brun
TID_ELEPHANT_CALF1_DESCRIPTION,À nourrir pour obtenir des points
TID_ELEPHANT_CALF2,Éléphanteau gris
TID_ELEPHANT_CALF2_DESCRIPTION,À nourrir pour obtenir des points
TID_HIPPO_CALF1,Bébé hippopotame brun
TID_HIPPO_CALF1_DESCRIPTION,À nourrir pour obtenir des points
TID_HIPPO_CALF2,Bébé hippopotame gris
TID_HIPPO_CALF2_DESCRIPTION,À nourrir pour obtenir des points
TID_GIRAFFE_CALF1,Girafon jaune
TID_GIRAFFE_CALF1_DESCRIPTION,À nourrir pour obtenir des points
TID_GIRAFFE_CALF2,Girafon beige
TID_GIRAFFE_CALF2_DESCRIPTION,À nourrir pour obtenir des points
TID_DERBY_MYSTERY_TASK_TIME_DURATION_TOOLTIP,Terminez la tâche avant la fin du délai pour gagner des points de derby.
TID_NEIGHBORHOOD_TASK_TIME_MYSTERY_TEXT,???
TID_NEIGHBORHOOD_TASK_MYSTERY_TITLE,Tâche mystère
TID_NEIGHBORHOOD_TASK_MYSTERY_DESCRIPTION,Acceptez-la pour découvrir ce que c'est !
TID_BOOSTER_FASTER_BAIT_MAKER,Appâts à gogo
TID_BOOSTER_DESCRIPTION_FASTER_BAIT_MAKER,<PARAM1> : la production est <NUMBER> % plus rapide pendant les <TIME> prochaines heures.
TID_BOOSTER_FASTER_FISHING_SPOT_COOLDOWN,À fond la pêche
TID_BOOSTER_DESCRIPTION_FASTER_FISHING_SPOT_COOLDOWN,Les coins de pêche se renouvellent <NUMBER> % plus vite pendant les <TIME> prochaines heures.
TID_BOOSTER_FASTER_LOBSTERS,Homards éclair
TID_BOOSTER_DESCRIPTION_FASTER_LOBSTERS,La pêche et le bain des homards sont <NUMBER> % plus rapides pendant les <TIME> prochaines heures.
TID_BOOSTER_FASTER_DUCKS,Canard beauté
TID_BOOSTER_DESCRIPTION_FASTER_DUCKS,La pêche et le peignage des canards sont <NUMBER> % plus rapides pendant les <TIME> prochaines heures.
TID_NEIGHBORHOOD_TASK_MYSTERY_TOOLTIP_TITLE,Tâche mystère
TID_NEIGHBORHOOD_TASK_MYSTERY_TOOLTIP_DESCRIPTION,Acceptez-la pour découvrir ce que c'est !
TID_NEIGHBORHOOD_TASK_USE_SPECIFIC_TOWN_SERVICE_BUILDING_TITLE,Tâche de construction de la ville
TID_NEIGHBORHOOD_TASK_USE_SPECIFIC_TOWN_SERVICE_BUILDING_DESCRIPTION,Servez <NUMBER> visiteurs de la ville dans <BUILDING>
TID_DERBY_TASKLIST_TOOLTIP_USE_SPECIFIC_TOWN_SERVICE_BUILDING_TASK,Servez les visiteurs de la ville dans <BUILDING> pour qu'ils vous fassent un cadeau.
TID_NEIGHBORHOOD_TASK_RESERVE_FAILED_REP_LEVEL_REQUIREMENTS,Vous n'avez pas le niveau de réputation requis pour cette tâche !
TID_PERSONAL_TRAIN_VISITOR_INFO,Vous pouvez visiter plusieurs villes en un seul voyage !\n\nAllez voir les membres de votre voisinage et récupérez des visiteurs sur leur quai.
TID_PERSONAL_TRAIN_VISITOR_CAPACITY,Visiteurs dans le train : <COUNT>/<CAPACITY>
TID_PERSONALTRAIN_FRIENDLIST_NO_VISITORS_TRAIN_READY,Aucun visiteur n'attend d'être récupéré chez vos voisins pour l'instant. Votre train est prêt à rentrer chez vous !
TID_BOOSTER_FASTER_TOWN_BUILDINGS,Service en ville plus rapide
TID_BOOSTER_DESCRIPTION_FASTER_TOWN_BUILDINGS,"<PARAM1>, <PARAM2> et <PARAM3> servent les visiteurs <NUMBER> % plus vite pendant les <TIME> prochaines heures."
TID_BOOSTER_FASTER_PERSONAL_TRAIN,Maintenance du train plus rapide
TID_BOOSTER_DESCRIPTION_FASTER_PERSONAL_TRAIN,La maintenance de votre train personnel est <NUMBER> % plus rapide pendant les <TIME> prochaines heures.
TID_DECO_CANNON,Vieux canon
TID_DECO_ANCHOR,Vieille ancre
TID_DECO_WHEEL,Vieux gouvernail
TID_DECO_CLOCK,Horloge comtoise
TID_DECO_DOGSTATUE,Statue de chien
TID_DECO_LANTERNFENCE,Clôture à lanterne
TID_DECO_EASTERGATE,Portail de Pâques
TID_DECO_EASTEREGG,Œuf de Pâques
TID_DECO_EASTERHIDDENEGGS,Œufs cachés
TID_DECO_EASTERPOND,Étang de Pâques
TID_DECO_EASTERGNOME,Nain de Pâques
TID_DECO_EASTEREGGTREE,Arbre à œufs
TID_DECO_VALENTINESGATE,Portail cœur
TID_DECO_XMASSWING,Balancelle de fête
TID_BOOSTER_FASTER_NET_MAKER,Filets éclair
TID_BOOSTER_DESCRIPTION_FASTER_NET_MAKER,<PARAM1> : la production est <NUMBER> % plus rapide pendant les <TIME> prochaines heures.
TID_DECO_LITTLETIGER,Petit tigre
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_BOOSTER_LOCKED_REPUTATION,Atteignez le niveau de réputation <LEVEL> pour activer ce boost !
TID_TOWN_HALL_TAB_ALL,Tous
TID_TOWN_HALL_SECTION_EMPTY_ALL,Il n'y a aucun visiteur dans votre ville pour l'instant
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_REPAIR_NET_MAKER,Réparez la fabrique de filets avant d'activer ce boost !
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_REPAIR_LOBSTER_POOL,Réparez la piscine à homards avant d'activer ce boost !
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_REPAIR_DUCK_SALON,Réparez le salon de plumage avant d'activer ce boost !
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_REPAIR_PERSONAL_TRAIN,Réparez votre train personnel avant d'activer ce boost !
TID_ROADSIDE_SHOP_NEW_SALE_MIN_BUTTON,Min.
TID_ROADSIDE_SHOP_NEW_SALE_MAX_BUTTON,Max.
TID_DECO_ELEPHANTEARS,Taro
TID_DECO_BLOOMINGCACTUS,Cactus en fleur
TID_DECO_ICEPLANTORANGE,Succulentes oranges
TID_DECO_SAGOPALM,Sagoutier
TID_DECO_PRICKLYPEAR,Figuier de Barbarie
TID_DECO_TERMITES,Petite termitière
TID_DECO_CREOSOTE,Créosotier
TID_DECO_SAGUARO,Saguaro
TID_DECO_DRAGONBLOODTREE,Dragonnier
TID_DECO_ICEPLANTWHITE,Succulentes blanches
TID_DECO_BARRELCACTUS,Cactus rond
TID_DECO_SMALLACACIA,Petit acacia
TID_EVENT_BOAT_HELP_TITLE,Entraide sur les flots
TID_EVENT_BOAT_HELP_TEXT,"Voici venu le temps de vous aider entre fermiers ! Remplissez autant de bateaux que possible pour d'autres fermiers avant la fin du délai ! L'important est de remplir autant de caisses que possible sans vous préoccuper des vôtres.\n\nAtteignez vos objectifs personnels et gagnez des récompenses. Votre résultat sera ajouté à l'objectif général de la communauté. Si vous remplissez l'objectif général avec les fermiers du monde entier, vous serez tous récompensés."
TID_EVENT_BOAT_HELP_NOTIFICATION,Un événement avec de super récompenses vient de commencer !
TID_EVENT_BOAT_HELP_MASSGIFT_TITLE,Évènement entraide sur les flots
TID_EVENT_BOOSTER_BOAT_TITLE,Saison des bateaux spéciale boosts
TID_EVENT_BOOSTER_BOAT_TEXT,"La saison touristique bat son plein et les bateaux ne chôment pas ! Pendant cet évènement, vous recevrez un boost pour chaque cargaison complète. Pensez à aider vos amis à compléter les leurs.\n\nAttention : les récompenses en boosts ne sont disponibles que pour les bateaux arrivés après le début de l'évènement."
TID_EVENT_BOOSTER_BOAT_NOTIFICATION,L'évènement des bateaux spécial boosts commence !
TID_EVENT_PUZZLE_BOAT_TITLE,Saison des bateaux spéciale puzzle
TID_EVENT_PUZZLE_BOAT_TEXT,"La saison touristique bat son plein sur la rivière ! Pendant cet évènement à durée limitée, vous recevrez jusqu'à cinq pièces de puzzle en complétant des cargaisons. N'oubliez pas d'aider vos amis avec les leurs.\n\nAttention : les pièces de puzzle supplémentaires ne sont disponibles qu'avec les bateaux arrivés après le début de l'évènement."
TID_EVENT_PUZZLE_BOAT_NOTIFICATION,L'évènement des bateaux spécial puzzle commence !
TID_EVENT_BARN_SILO_TRUCKS_TITLE,Commandes à la chaîne
TID_EVENT_BARN_SILO_TRUCKS_TEXT,"C'est la pénurie en ville ! Pendant cet évènement, certaines livraisons par camion vous rapporteront des matériaux d'extension pour la grange et le silo comme récompenses.\n\nLancez la production dès maintenant et aidez ces pauvres citadins !"
TID_EVENT_BARN_SILO_TRUCKS_NOTIFICATION,L'évènement à durée limitée du camion de livraison vient de commencer !
TID_EVENT_EXPANSION_TRUCKS_TITLE,Commandes à la chaîne
TID_EVENT_EXPANSION_TRUCKS_TEXT,"C'est la pénurie en ville ! Pendant cet évènement, certaines livraisons par camion vous rapporteront des matériaux d'extension pour votre ferme comme récompenses.\n\nLancez la production dès maintenant et aidez ces pauvres citadins !"
TID_EVENT_EXPANSION_TRUCKS_NOTIFICATION,L'évènement à durée limitée du camion de livraison vient de commencer !
TID_EVENT_REWARDS_TRUCKS_TITLE,Commandes à la chaîne
TID_EVENT_REWARDS_TRUCKS_TEXT,"C'est la pénurie en ville ! Pendant cet événement à durée limitée, certaines livraisons par camion vous rapporteront des récompenses spéciales en plus du paiement normal. Lancez la production et aidez ces pauvres villageois !"
TID_EVENT_REWARDS_TRUCKS_NOTIFICATION,L'évènement à durée limitée du camion de livraison vient de commencer !
TID_EVENT_PRODUCTION_BONANZA_TITLE,Bâtiments de production intensive
TID_EVENT_PRODUCTION_BONANZA_TEXT,"Les machines tournent à toute vitesse, c'est MEUH-rveilleux ! Pendant cet évènement, le temps de production est diminué de 20 % pour tous les produits. Lancez vite la production avant que l'évènement ne soit terminé !"
TID_EVENT_PRODUCTION_BONANZA_NOTIFICATION,Évènement de production à durée limitée : tous vos bâtiments ont été boostés !
TID_EVENT_FASTER_PRODUCTION_TITLE,Production éclair
TID_EVENT_FASTER_PRODUCTION_TEXT,Vos bâtiments sont bien rodés : trois d'entre eux produiront plus vite pendant cet évènement. Consultez l'affiche pour voir lesquels et lancez la production !
TID_EVENT_FASTER_PRODUCTION_NOTIFICATION,Évènement de production  à durée limitée : allez voir lesquels de vos bâtiments ont été boostés !
TID_EVENT_FASTER_CROP_BONANZA_TITLE,Récoltes à gogo
TID_EVENT_FASTER_CROP_BONANZA_TEXT,"Quel temps idéal pour cultiver ! Pendant cet évènement, toutes vos récoltes poussent 20 % plus vite. Lancez vite les semences !"
TID_EVENT_FASTER_CROP_BONANZA_NOTIFICATION,Évènement à durée limitée : toutes vos récoltes poussent plus vite !
TID_EVENT_FASTER_CROPS_TITLE,Récoltes éclairs
TID_EVENT_FASTER_CROPS_TEXT,"Quel temps idéal pour cultiver ! Pendant cet évènement, trois de vos récoltes poussent 50 % plus vite. Consultez vite l'affiche de l'évènement pour voir lesquelles !"
TID_EVENT_FASTER_CROPS_NOTIFICATION,Évènement à durée limitée : allez vite voir quelles récoltes ont été boostées !
TID_EVENT_MORE_CROP_BONANZA_TITLE,Récoltes à gogo
TID_EVENT_MORE_CROP_BONANZA_TEXT,"Quel temps idéal pour cultiver ! Pendant cet évènement, toutes vos récoltes vous rapporteront trois unités au lieu de deux. À vos faux !"
TID_EVENT_MORE_CROP_BONANZA_NOTIFICATION,Événement à durée limitée : toutes vos récoltes sont boostées !
TID_EVENT_MORE_CROPS_TITLE,Surproduction
TID_EVENT_MORE_CROPS_TEXT,"Quel temps idéal pour cultiver ! Pendant cet évènement, trois de vos récoltes vous rapporteront trois unités au lieu de deux. Consultez vite l'affiche de l'événement pour voir lesquelles !"
TID_EVENT_MORE_CROPS_NOTIFICATION,Événement à durée limitée pour les récoltes : allez vite voir lesquelles ont été boostées !
TID_EVENT_LAND_EXPANSION_TOWNIE_TITLE,Service récompensé
TID_EVENT_LAND_EXPANSION_TOWNIE_TEXT,"Les touristes adorent votre ville ! Pendant cet évènement à durée limitée, après s'être rendus dans deux ou trois bâtiments, les visiteurs vous offriront en partant des objets pour agrandir votre ville.\n\nSeuls comptent les visiteurs qui arrivent après le début de l'évènement : leur nom s'affichera en violet. Lancez vite la production pour les satisfaire au mieux !"
TID_EVENT_LAND_EXPANSION_TOWNIE_NOTIFICATION,L'événement de la ville à durée limitée vient de commencer !
TID_EVENT_VOUCHER_TOWNIE_TITLE,Service récompensé
TID_EVENT_VOUCHER_TOWNIE_TEXT,"Les touristes adorent votre ville ! Pendant cet évènement à durée limitée, après s'être rendus dans deux ou trois bâtiments, les visiteurs vous offriront en partant des coupons.\n\nSeuls comptent les visiteurs qui arrivent après le début de l'évènement : leur nom s'affichera en violet. Lancez vite la production pour les satisfaire au mieux !"
TID_EVENT_VOUCHER_TOWNIE_NOTIFICATION,L'événement de la ville à durée limitée vient de commencer !
TID_EVENT_BARN_SILO_TOWNIE_TITLE,Service récompensé
TID_EVENT_BARN_SILO_TOWNIE_TEXT,"Les touristes adorent votre ville ! Pendant cet évènement à durée limitée, après s'être rendus dans deux ou trois bâtiments les visiteurs vous offriront des objets pour votre grange et votre silo en partant.\n\nSeuls comptent les visiteurs qui arrivent après le début de l'évènement : leur nom s'affichera en violet. Lancez vite la production pour les satisfaire au mieux !"
TID_EVENT_BARN_SILO_TOWNIE_NOTIFICATION,L'événement de la ville à durée limitée vient de commencer !
TID_EVENT_NEW_YEAR2018_TITLE,Évènement du Nouvel An
TID_EVENT_NEW_YEAR2018_TEXT,"L'année 2018 approche et grâce aux préparations du réveillon, les commandes affluent ! Avec un peu de chance, vous pourrez même voir des feux d'artifices dans votre zone de pêche.\n\nFaites le plus de livraisons en camion possible avant la fin du délai ! Atteignez vos objectifs personnels pour gagner des récompenses. Votre résultat sera ajouté à l'objectif général de la communauté. Si vous remplissez l'objectif général avec les fermiers du monde entier, vous serez tous récompensés."
TID_EVENT_NEW_YEAR2018_NOTIFICATION,Début de l'évènement du nouvel an : jouez et gagnez des récompenses !
TID_EVENT_CHRISTMAS2017_TITLE,Entraide pour les fêtes
TID_EVENT_CHRISTMAS2017_TEXT,"Le temps des fêtes de fin d'année est arrivé. Partagez l'esprit de Noël et aidez-vous entre fermiers !\n\nRavivez autant d'arbres et de buissons, et remplissez autant de bateaux que possible pour d'autres fermiers avant la fin du délai ! Atteignez vos objectifs personnels pour gagner des récompenses. Votre résultat sera ajouté à l'objectif général de la communauté. Si vous remplissez l'objectif général avec les fermiers du monde entier, vous serez tous récompensés."
TID_EVENT_CHRISTMAS2017_NOTIFICATION,Participez à l'événement des fêtes pour de superbes récompenses !
TID_HALLOWEEN_OFFER1,Offre d'Halloween 1
TID_HALLOWEEN_OFFER2,Offre d'Halloween 2
TID_HALLOWEEN_OFFER3,Offre d'Halloween 3
TID_WELCOME_BACK_OFFER,Offre de retour
TID_FALL_OFFER1,Offre d'automne 1
TID_FALL_OFFER2,Offre d'automne 2
TID_FALL_OFFER3,Offre d'automne 3
TID_HOLIDAY_OFFER1,Offre des fêtes 1
TID_HOLIDAY_OFFER2,Offre des fêtes 2
TID_HOLIDAY_OFFER3,Offre des fêtes 3
TID_EASTER_OFFER1,Offre de Pâques 1
TID_EASTER_OFFER2,Offre de Pâques 2
TID_EASTER_OFFER3,Offre de Pâques 3
TID_SUMMER_OFFER1,Offre d'été 1
TID_SUMMER_OFFER2,Offre d'été 2
TID_SUMMER_OFFER3,Offre d'été 3
TID_TOWN_HALL_TAB_LEAVING,Va partir
TID_SANCTUARY_BOOK_LOCKED_FIRSTBABY_DESCRIPTION,Disponible une fois les puzzles des deux adultes de la même espèce terminés
TID_SANCTUARY_BOOK_LOCKED_SECONDBABY_DESCRIPTION,Disponible une fois le puzzle du premier bébé de la même espèce terminé
TID_DECO_CATTREE,Griffoir
TID_DERBY_RACETRACK_TROPHY_UNREACHABLE_TOOLTIP,Il faut plus de joueurs de derby pour atteindre ce fer à cheval !
TID_CUSTOMIZE_TITLE,Personnalisez votre ferme
TID_CUSTOMIZE_DESCRIPTION,Je peux personnaliser beaucoup de choses ! Voilà mes stocks et mes tarifs.
TID_CUSTOMIZE_TIMEPRETEXT,Maggie part dans :
TID_CUSTOMIZE_AREYOUSURE,Confirmer ?
TID_CUSTOMIZE_CONFIRMLINE1,Maggie va effectuer les travaux suivants :
TID_CUSTOMIZE_CONFIRMLINE2,Vous ne pourrez pas annuler ce changement.
TID_CUSTOMIZE_SOLDOUTTITLE,Installé
TID_CUSTOMIZE_SOLDOUTTEXT,Profitez-en bien !
TID_SUPERCELL_ID_LOGIN_BUTTON,Connexion à Supercell ID
TID_SUPERCELL_ID_NEW_GAME_BUTTON,Jouer sans Supercell ID
TID_CUSTOMIZE_BTNREFRESH,Renouveler les stocks
TID_CUSTOMIZE_BTNCATALOG,Catalogue
TID_CUSTOMIZE_BTNBUILD,Construire
TID_CUSTOMIZE_BTNCANCEL,Annuler
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_TITLE,Charger la ferme ?
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_TEXT,Nous avons trouvé votre ferme <NAME> de niveau <LEVEL> ! Chargez-la en vous connectant à Supercell ID.
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_NO,Annuler
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_YES,OK
TID_RENOVATOR_INFO_TITLE_1,Voici Maggie la rénovatrice !
TID_RENOVATOR_INFO_TITLE_2,Requérir ses services
TID_RENOVATOR_INFO_TITLE_3,Ses catalogues
TID_RENOVATOR_INFO_TITLE_4,Ses catalogues
TID_RENOVATOR_INFO_TITLE_5,Page 5
TID_RENOVATOR_INFO_TITLE_6,Page 6
TID_RENOVATOR_INFO_TITLE_7,Page 7
TID_RENOVATOR_INFO_TEXT_1,"Maggie peut personnaliser votre camion, votre ferme et votre échoppe."
TID_RENOVATOR_INFO_TEXT_2,"Chaque semaine, elle vous propose plusieurs options. Contre des diamants, vous pouvez voir des options supplémentaires."
TID_RENOVATOR_INFO_TEXT_3,"Les prix affichés sont ses tarifs. Vous devez toujours payer le tarif indiqué, même si elle rénove quelque chose qu'elle avait déjà rénové précédemment."
TID_RENOVATOR_INFO_TEXT_4,"Rappelez-vous bien qu'une rénovation ne peut pas être annulée. Pour la modifier, vous devrez payer Maggie une nouvelle fois."
TID_RENOVATOR_INFO_TEXT_5,Maggie vous montre deux catalogues : le livre des styles et le livre des collections. Ils sont très pratiques !
TID_RENOVATOR_INFO_TEXT_6,"Le livre des styles contient des suggestions de styles de personnalisations à essayer. Lorsque vous avez terminé un style, vous récupérez des récompenses !"
TID_RENOVATOR_INFO_TEXT_7,"Le livre des collections vous montre tous les changements que vous avez fait faire dans le passé et ceux qui sont installés au moment présent. Lors de la visite de Maggie, vous pouvez toucher les objets pour les installer à nouveau."
TID_SETTINGS_MUSIC_NEW,Musique
TID_SETTINGS_SOUND_EFFECTS_NEW,Sons
TID_SETTINGS_SCID_TITLE,Supercell ID
TID_SETTINGS_FACEBOOK_TITLE,Facebook
TID_SETTINGS_FACEBOOK_FRIENDS_TITLE,Amis Facebook
TID_SETTINGS_GOOGLE_PLAY_TITLE,Google Play
TID_SETTINGS_SCID_CONNECTED,Connecté
TID_SETTINGS_SCID_DISCONNECTED,Déconnecté
TID_SETTINGS_SOCIAL_MEDIA_CONNECTED_NEW,Connecté
TID_SETTINGS_SOCIAL_MEDIA_DISCONNECTED_NEW,Déconnecté
TID_SETTINGS_SOCIAL_MEDIA_CONNECTING_NEW,Connexion
TID_PRODUCT_FLOWERPENDANT,Pendentif fleur
TID_PRODUCT_FLORALCANDLE,Bougie fleurie
TID_PRODUCT_SPICYSPAGHETTI,Pâtes épicées
TID_PRODUCT_ONIONMELT,Toasté aux oignons
TID_PRODUCT_CARAMELLATTE,Latte au caramel
TID_PRODUCT_CANDYBOUQUET,Bouquet de bonbons
TID_PRODUCT_COCOASMOOTHIE,Smoothie chocolaté
TID_PRODUCT_BIGSUSHIROLL,Maki XXL
TID_ADVANCE_SETTINGS_OFFERS_HEADER,Offres personnalisées :
TID_ADVANCE_SETTINGS_OFFERS_TEXT,Autoriser les offres personnalisées en magasin et les notifications
TID_ORIGINAL_WHITE,Authentique blanc
TID_ORIGINAL_GRUE,Gris-bleu
TID_ORIGINAL_TEAL,Bleu canard
TID_ORIGINAL_DARK,Violet foncé
TID_ORIGINAL_YELEEN,Vert olive
TID_ORIGINAL_BORING,Marron
TID_BARN_RED,Rouge
TID_COUNTRY_GREY,Gris campagnard
TID_COUNTRY_PINK,Campagnard rose
TID_COUNTRY_RED,Campagnard rouge
TID_COUNTRY_YELLOW,Campagnard jaune
TID_COUNTRY_WHITE,Campagnard blanc
TID_HALFNHALF_BLUE,Bicolore bleu
TID_HALFNHALF_OLD,Bicolore vert
TID_HALFNHALF_RETIREMENT,Bicolore violet
TID_CUTE_BLUE,Joli bleu
TID_CUTE_PASTEL_PINK,Joli rose
TID_CUTE_GREEN,Joli vert
TID_CUTE_GREY,Joli gris
TID_CUTE_PURPLE,Joli violet
TID_CUTE_YELLOW,Joli jaune
TID_CUTE_RED,Joli rouge
TID_GASTHOUSE,Auberge
TID_PLANKS_YELLOW,Planches jaunes
TID_PLANKS2,Planches bleu canard
TID_PLANKS3,Planches vieux rose
TID_PLANKS4,Planches vertes
TID_PLANKS5,Planches rouges
TID_RUSTIC,Rustique
TID_CABIN02_WHITE,Cabane blanche
TID_CABIN02_GREEN,Cabane verte
TID_PORCH_ORIGINAL,Authentique
TID_PORCH_COUNTRY,Campagnard
TID_PORCH_BASIC_SHEEP,Clôture blanche
TID_PORCH_BASIC_COW,Grange
TID_PORCH_CUTE,Joli
TID_PORCH_GUESTHOUSE,Auberge
TID_PORCH_ORIGINAL_EXTENDED,Grand balcon
TID_PORCH_POSH,Raffiné
TID_PORCH_RUSTIC,Rustique
TID_PORCH_BRIDGE_DITCH1,Pont
TID_PORCH_STABLE1,Écurie
TID_PORCH_BRIDGE_DITCH2,Pont 2
TID_PORTCH_DOC,Ponton
TID_PORCH_STABLE2,Écurie 2
TID_ROOF_ORIGINAL_BORING_BLACK,Authentique noir
TID_ROOF_ORIGINAL_KINDA_RED,Rouge
TID_ROOF_ORIGINAL_BLUE,Bleu
TID_ROOF_ORIGINAL_SPOOKY_PURPLE,Violet
TID_ROOF_OPENGABLE_KINDA_RED,Pignon rouge
TID_ROOF_OPENGABLE_BLUE,Pignon bleu
TID_ROOF_OPENGABLE_GREEN,Pignon vert
TID_ROOF_OPENGABLE_BLACK,Pignon noir
TID_ROOF_OPENGABLE_GOLD,Pignon doré
TID_ROOF_OPENGABLE_SPOOKY_PURPLE,Pignon violet
TID_ROOF_OPENGABLE_BROWN,Pignon marron
TID_ROOF_OPENGABLE_PINK,Pignon rose
TID_ROOF_ATTIC_WINDOWS_RED,Combles rouges
TID_ROOF_ATTIC_WINDOWS_BLUE,Combles bleus
TID_ROOF_ATTIC_WINDOWS_GREEN,Combles verts
TID_ROOF_ATTIC_WINDOWS_BLACK,Combles noirs
TID_ROOF_ATTIC_WINDOWS_ORANGE,Combles oranges
TID_ROOF_ATTIC_WINDOWS_PURPLE,Combles violets
TID_ROOF_SPIKES_BLACK_AND_GOLD,Noir et pointes
TID_ROOF_SPIKES_GREY_AND_CHROME,Gris et pointes
TID_ROOF_SPIKES_BLUE_AND_BLACK,Bleu et pointes
