TID,IT
TID_DECO_PINEBONSAI,Bonsai di pino
TID_DECO_COLUMNPOT,Colonna con vaso
TID_DECO_LARGEPOT,Vaso grande
TID_DECO_RUSTICPOT,Vaso rustico
TID_DECO_BIGDRUM,Tamburo grosso
TID_DECO_GONG,Gong
TID_DECO_PIGSTATUE,Statua del maiale
TID_DECO_FIREWORKSCART,Carretto dei fuochi
TID_DECO_STARRYARCH,Arcata stellata
TID_DECO_PIANO,Piano
TID_DECO_LOVELYBRIDGE,Ponte adorabile
TID_DECO_LOVELYBENCH,Panchina adorabile
TID_DECO_REDFENCE,Recinto rosso
TID_DECO_STARFENCE,Recinto stellato
TID_BARN_OFFER_TITLE,Miglioram. granaio istantaneo!
TID_BARN_OFFER_FLIP_TEXT,Ottieni subito spazio libero extra (+<FREE_AFTER_AMOUNT>) per il granaio!\n\n<CONTENTS>
TID_BARN_OFFER_FLIP_TEXT2,Sconti! Acquista subito un miglioramento granaio istantaneo a prezzo ridotto!
TID_OFFER_PURCHASABLE_ONCE,Offerta acquistabile una volta sola.
TID_OFFER_VALUES_TITLE,Valore:
TID_SILO_OFFER_TITLE,Miglioram. silo istantaneo!
TID_SILO_OFFER_FLIP_TEXT,Ottieni subito spazio libero extra (+<FREE_AFTER_AMOUNT>) per il silo!\n\n<CONTENTS>
TID_SILO_OFFER_FLIP_TEXT2,Sconti! Acquista subito un miglioramento silo istantaneo a prezzo ridotto!
TID_BOOSTER_OFFER_TITLE,Offerta potenziamento
TID_BOOSTER_OFFER_FLIP_TEXT,<CONTENTS>
TID_OFFER_BOOSTER_FREE_STORAGE_TEXT,Questi potenziamenti non occupano spazi.
TID_BOOSTER_OFFER_RANDOM_ENTRY,- <AMOUNT> potenziamenti casuali di almeno <STARS> stelle
TID_BOOSTER_OFFER_RANDOM5STARS_ENTRY,"- <AMOUNT> potenziamenti casuali, 5 stelle garantiti!"
TID_BUNDLE_OFFER_TITLE,Offerta bundle
TID_BUNDLE_OFFER_FLIP_TEXT,<CONTENTS>
TID_OFFER_CONTENTS_TITLE,Contenuti dell'offerta
TID_OFFER_CONTENTS_ENTRY,- <NAME> x<AMOUNT>
TID_OFFER_CONTENTS_BOOSTER_ENTRY,- <NAME> x<AMOUNT> (<STARS> stelle)
TID_PERCENTAGE_OFFERS,<NUMBER>%
TID_MYSTERY_BOX_TYPE_BRONZE,Scatola normale
TID_MYSTERY_BOX_TYPE_SILVER,Scatola grande!
TID_MYSTERY_BOX_TYPE_GOLD,Scatola enorme!
TID_OFFER_ENDING_SOON,Termina a breve!
TID_NEW,Nuovo
TID_FREE,Gratuito
TID_OFFER_BOOSTER_FASTER_PRODUCTION1,"- <NAME> x<AMOUNT>: stufa per popcorn, forno pasticci e telaio (<STARS> stelle)"
TID_OFFER_BOOSTER_FASTER_PRODUCTION2,"- <NAME> x<AMOUNT>: macchina da cucire, forno per torte e spremitrice (<STARS> stelle)"
TID_OFFER_BOOSTER_FASTER_PRODUCTION3,"- <NAME> x<AMOUNT>: gelatiera, marmellatiera e zupperia (<STARS> stelle)"
TID_OFFER_BOOSTER_FASTER_PRODUCTION4,"- <NAME> x<AMOUNT>: candelificio, macchina per caramelle e banco insalate (<STARS> stelle)"
TID_OFFER_BOOSTER_FASTER_CROPS1,"- <NAME> x<AMOUNT>: soia, canna da zucchero e indaco (<STARS> stelle)"
TID_OFFER_BOOSTER_FASTER_CROPS2,"- <NAME> x<AMOUNT>: zucca, peperoncino e cotone (<STARS> stelle)"
TID_OFFER_BOOSTER_FASTER_CROPS3,"- <NAME> x<AMOUNT>: pomodoro, fragole e patata (<STARS> stelle)"
TID_OFFER_BOOSTER_FASTER_CROPS4,"- <NAME> x<AMOUNT>: cipolla, riso e lattuga (<STARS> stelle)"
TID_DERBY_TASK_HARVEST_GRAPES_DESCRIPTION,Raccogli l'uva da <NUMBER> campi
TID_DERBY_TASK_HARVEST_MINT_DESCRIPTION,Raccogli la menta da <NUMBER> campi
TID_DERBY_TASK_HARVEST_EGGPLANT_DESCRIPTION,Raccogli le melanzane da <NUMBER> campi
TID_DERBY_TASK_HARVEST_WATERMELON_DESCRIPTION,Raccogli le angurie da <NUMBER> campi
TID_DERBY_TASK_HARVEST_PINEAPPLE_DESCRIPTION,Raccogli gli ananas da <NUMBER> campi
TID_DERBY_TASK_HARVEST_SUNFLOWER_DESCRIPTION,Raccogli i girasoli da <NUMBER> campi
TID_DERBY_TASK_HARVEST_ONION_DESCRIPTION,Raccogli le cipolle da <NUMBER> campi
TID_DERBY_TASK_HARVEST_CUCUMBER_DESCRIPTION,Raccogli i cetrioli da <NUMBER> campi
TID_DERBY_TASK_HARVEST_BELLPEPPER_DESCRIPTION,Raccogli i peperoni da <NUMBER> campi
TID_DERBY_TASK_HARVEST_TEALEAVES_DESCRIPTION,Raccogli le foglie di tè da <NUMBER> campi
TID_DERBY_TASK_HARVEST_PEONY_DESCRIPTION,Raccogli le peonie da <NUMBER> campi
TID_DERBY_TASK_HARVEST_BROCCOLI_DESCRIPTION,Raccogli i broccoli da <NUMBER> campi
TID_OFFER_BOOSTER_FASTER_TOWN_BUILDINGS1,"- <NAME> x<AMOUNT>: cinema, trattoria e Bed & Breakfast (<STARS> stelle)"
TID_OFFER_BOOSTER_FASTER_TOWN_BUILDINGS2,"- <NAME> x<AMOUNT>: centro benessere, bar sulla spiaggia e negozio di souvenir (<STARS> stelle)"
TID_MAP_GAME_NOT_ENOUGH_MOVEMENT_POINTS,Non hai abbastanza carburante!
TID_MAP_GAME_TASK_DUMP_TITLE,Nuovo ordine!
TID_MAP_GAME_TASK_DUMP_DESCRIPTION,Rifornisci di <AMOUNT> unità di <NAME>.
TID_MAP_GAME_TASK_DUMP_AVAILABLE_TIME,Scade tra <TIME>
TID_MAP_GAME_TASK_DUMP_COOLDOWN_TIME,Nuova richiesta tra <TIME>
TID_MAPGAME_BLUE_COIN,Gettone blu
TID_MAPGAME_RED_COIN,Gettone rosso
TID_MAPGAME_GREEN_COIN,Gettone verde
TID_MAPGAME_CHICKEN_COIN,Gallina
TID_MAPGAME_BLUE_COIN_DESCRIPTION,Serve per ottenere prodotti nella contrada.
TID_MAPGAME_RED_COIN_DESCRIPTION,Serve per ottenere prodotti nella contrada.
TID_MAPGAME_GREEN_COIN_DESCRIPTION,Serve per ottenere prodotti nella contrada.
TID_MAPGAME_CHICKEN_COIN_DESCRIPTION,Prendi le galline per sbloccare la sezione esclusiva dell'emporio.
TID_MAPGAME_DAILY_QUEST_EXPIRES_IN,Nuove missioni tra <TIME>
TID_MAPGAME_DAILY_QUEST_POPUP_TITLE,Missioni giornaliere
TID_MAPGAME_DAILY_QUEST_POPUP_QUESTS_TITLE,Missioni di oggi
TID_MAPGAME_QUEST_MOVE,Raggiungi <NUMBER> edifici o fermate.
TID_MAPGAME_QUEST_SPIN,Gira la ruota del carburante <NUMBER> volte.
TID_MAPGAME_QUEST_DELIVERIES,Completa delle consegne (<NUMBER>).
TID_MAPGAME_QUEST_SOCIAL_TASK,Completa degli ordini di gruppo (<NUMBER>).
TID_MAPGAME_QUEST_HELP,Aiuta a riparare il furgone in panne di un altro contadino.
TID_MAPGAME_QUEST_DUMP_TASK,Completa degli ordini (<NUMBER>).
TID_MAP_GAME_SOCIAL_TASK_COMPLETE,Richiesta di gruppo completata!
TID_MAP_GAME_CANNOT_CLAIM_DAILY_QUESTS_PRIZE,Completa le missioni giornaliere per ottenere questa scatola misteriosa!
TID_MAPGAME_QUEST_COLLECT_BLUE_COIN,Raccogli dei gettoni blu (<NUMBER>).
TID_MAPGAME_QUEST_COLLECT_RED_COIN,Raccogli dei gettoni rossi (<NUMBER>).
TID_MAPGAME_QUEST_COLLECT_GREEN_COIN,Raccogli dei gettoni verdi (<NUMBER>).
TID_MAPGAME_QUEST_COLLECT_CHICKEN,Raccogli delle galline (<NUMBER>).
TID_MAP_GAME_TASK_DELIVERY_TITLE,Nuova consegna!
TID_MAP_GAME_TASK_DELIVERY_DESCRIPTION,Potresti consegnare questa merce?
TID_MAPGAME_DELIVERY_LIMIT_REACHED_DESCRIPTION,Completa prima la consegna in corso!
TID_OBSTACLE_AVAILABLE_TIME,<TIME>
TID_MAP_GAME_TASK_OBSTACLE_DESCRIPTION,C'è un ostacolo!
TID_MAPGAME_QUEST_VISIT_BLACKROOF_ONE,Raggiungi una casa con il tetto nero.
TID_MAPGAME_QUEST_VISIT_WINDMILL_ONE,Raggiungi un mulino a vento.
TID_MAPGAME_QUEST_VISIT_CINEMA_ONE,Raggiungi un cinema.
TID_MAPGAME_QUEST_VISIT_DINER_ONE,Raggiungi una trattoria.
TID_MAPGAME_QUEST_VISIT_FISHSHOP_ONE,Raggiungi una pescheria.
TID_MAPGAME_QUEST_VISIT_VEGGIESHOP_ONE,Raggiungi un negozio ortofrutticolo.
TID_MAPGAME_QUEST_VISIT_BLACKROOF,Raggiungi <NUMBER> case con il tetto nero.
TID_MAPGAME_QUEST_VISIT_WINDMILL,Raggiungi <NUMBER> mulini a vento.
TID_MAPGAME_QUEST_VISIT_CINEMA,Raggiungi <NUMBER> cinema.
TID_MAPGAME_QUEST_VISIT_DINER,Raggiungi delle trattorie (<NUMBER>).
TID_MAPGAME_QUEST_VISIT_FISHSHOP,Raggiungi <NUMBER> pescherie.
TID_MAPGAME_QUEST_VISIT_VEGGIESHOP,Raggiungi dei negozi ortofrutticoli (<NUMBER>).
TID_MAPGAME_NOTIFICATION_COMPLETE_QUEST,Missione giornaliera completata!
TID_MAPGAME_NOTIFICATION_COLLECT_CHICKEN,Hai raccolto <COUNT> gallina/e!
TID_MAPGAME_NOTIFICATION_COLLECT_CHICKEN_SOCIAL,Galline raccolte da altri contadini: <COUNT>!
TID_MAPGAME_NOTIFICATION_RECEIVE_TRUCK_HELP,Qualcuno ha riparato il tuo furgone!
TID_MAPGAME_NOTIFICATION_EXPIRED_DELIVERY,La consegna è scaduta!
TID_MAPGAME_BUTTON_MOVE,Raggiungi
TID_MAPGAME_NODE_NAME_HOUSE,Casa
TID_MAPGAME_NODE_NAME_MILL,Mulino a vento
TID_MAPGAME_NODE_NAME_STORE01,Negozio ortofrutticolo
TID_MAPGAME_NODE_NAME_STORE02,Pescheria
TID_MAPGAME_NODE_NAME_STORE03,Pizzeria
TID_MAPGAME_NODE_NAME_STORE,Negozio
TID_MAPGAME_BUTTON_CONFIRM,Conferma
TID_MAPGAME_REGULAR_NODE_DESCRIPTION,Puoi ricevere richieste da questo edificio.
TID_MAPGAME_BUTTON_DUMP,Completa
TID_MAPGAME_DELIVERY_BUTTON_TAKE_TASK,Accetta
TID_MAPGAME_DELIVERY_BUTTON_COMPLETE_TASK,Consegna
TID_MAPGAME_NODE_EMPTY_TITLE,Fermata
TID_MAPGAME_NODE_EMPTY_DESCRIPTION,"È solo una fermata, continua a guidare!"
TID_MAPGAME_OBSTACLE_SPAWNING_TITLE,Il furgone si è fermato!
TID_MAPGAME_OBSTACLE_SPAWNING_DESCRIPTION,Vediamo cos'è successo.
TID_MAPGAME_RANDOM_REWARD_TITLE,C'è una sorpresa!
TID_MAPGAME_RANDOM_REWARD_DESCRIPTION,C'è una sorpresa per te sul ciglio della strada! Non fartela scappare!
TID_MAPGAME_RANDOM_REWARD_TIME_PROMPT,per raccoglierla
TID_MAPGAME_BROKEN_TRUCK_TITLE,Accidenti!
TID_MAPGAME_BROKEN_TRUCK_DESCRIPTION,Il furgone è in panne! Altri contadini possono darti una mano.
TID_MAPGAME_BUTTON_SPEEDUP,Accelera
TID_MAPGAME_BROKEN_TRUCK_TIME_PROMPT,alla riparazione
TID_MAPGAME_TASK_NODE_DESCRIPTION,Potresti vendermi questi prodotti?
TID_MAPGAME_DELIVERY_NODE_TITLE,Nuova consegna!
TID_MAPGAME_DELIVERY_NODE_DESCRIPTION,Potresti consegnare questa merce?
TID_MAPGAME_SOCIAL_TASK_NODE_DESCRIPTION,Ci servono grandi quantità di questa merce! Puoi aiutarci?
TID_MAPGAME_SOCIAL_GOAL_TITLE,Giocatori necessari per completare la richiesta:
TID_MAPGAME_UNKNOWN_NODE_DESCRIPTION,Avvicinati di più\nper scoprire i dettagli.
TID_MAPGAME_RESPAWN_DESCRIPTION,Nuova richiesta in arrivo...
TID_MAPGAME_COOLDOWN_DESCRIPTION,Attendi l'arrivo di una nuova richiesta!
TID_MAPGAME_NODE_REWARDS_TITLE,Ricompense
TID_MAPGAME_HELP_REQUESTED_TITLE,Furgone in panne!
TID_MAPGAME_HELP_REQUESTED_DESCRIPTION,Aiuta il contadino a riparare il furgone per ottenere un premio casuale!
TID_MAPGAME_HELP_REQUESTED_BUTTON_CONFIRM,Ripara il furgone
TID_MAPGAME_HELP_REQUESTED_TIME_PROMPT,alla riparazione
TID_MAPGAME_FUEL_HUD_TITLE,Ruota del carburante
TID_MAPGAME_FUEL_HUD_CURRENT_SUN_TASKS_LABEL,Oggi
TID_MAPGAME_FUEL_HUD_NEXT_SUN_TASKS_LABEL,Domani
TID_MAPGAME_CHICKEN_FOUND_TITLE,Hai trovato una gallina!
TID_MAPGAME_CHICKEN_FOUND_DESCRIPTION,Raccoglila prima dello scadere del tempo!
TID_MAPGAME_CHICKEN_FOUND_TIME_PROMPT,per raccogliere
TID_MAPGAME_CHICKEN_FOUND_AVAILABLE_TIME,<TIME>
TID_MAPGAME_BUTTON_COLLECT_FOUND_CHICKEN,Raccogli
TID_MAP_GAME_COLLECT_SUN_POINTS_TO_SPIN_FUEL_WHEEL,Raccogli punti solari per girare la ruota del carburante!
TID_MAPGAME_QUEST_COMPLETE_X_TASKS,Completa <NUMBER> richieste qualsiasi.
TID_MAP_GAME_CANNOT_CLAIM_DAILY_QUEST_CHICKEN,"Completa le missioni giornaliere per ottenere la gallina, che scomparirà\ntra <TIME>!"
TID_MAP_GAME_DAILY_QUEST_CHICKEN_ALREADY_CLAIMED,Hai già ottenuto questa gallina!
TID_MAPGAME_DAILY_QUEST_POPUP_PIP_TOOLTIP,Completa le missioni giornaliere per riempirle!
TID_TUTORIAL_VALLEY_STEP1,Finalmente puoi esplorare la contrada!
TID_TUTORIAL_VALLEY_STEP2,Tocca l'insegna per iniziare.
TID_TUTORIAL_VALLEY_STEP3,Guida il furgone per esplorare questa nuova area e completa gli ordini per ricevere dei gettoni che puoi scambiare con fantastici premi!
TID_TUTORIAL_VALLEY_STEP4,"Per muoversi, il furgone ha bisogno di carburante e ogni giorno ne riceverai gratuitamente una quantità casuale. Fai subito una prova!"
TID_TUTORIAL_VALLEY_STEP5,Ben fatto! Puoi girare la ruota più volte nell'arco di una giornata svolgendo determinate attività.
TID_TUTORIAL_VALLEY_STEP6,In questa nuova avventura puoi completare missioni giornaliere per sbloccare delle scatole misteriose. Vediamo come funziona!
TID_TUTORIAL_VALLEY_STEP7,"Sulla mappa compariranno anche i vicini e altri contadini, con cui potrai accumulare quante più galline possibile e portare a destinazione gli animali del rifugio per accedere a una sezione esclusiva del negozio."
TID_TUTORIAL_VALLEY_STEP8,Tocca il pulsante delle informazioni per saperne di più. Ora divertiti a esplorare la contrada con il tuo furgone!
TID_VALLEY_INFO_TITLE_1,Ti diamo il benvenuto nella contrada!
TID_VALLEY_INFO_TITLE_2,Fa' scorta di carburante!
TID_VALLEY_INFO_TITLE_3,Cosa si fa nella contrada?
TID_VALLEY_INFO_TITLE_4,Completa le missioni personali!
TID_VALLEY_INFO_TITLE_5,Trova le galline!
TID_VALLEY_INFO_TITLE_6,Esplora l'emporio del luogo!
TID_VALLEY_INFO_TITLE_7,Accumula gettoni!
TID_VALLEY_INFO_TITLE_8,Collabora con gli altri contadini!
TID_VALLEY_INFO_1,"La contrada è un posto fantastico, ma puoi accederci solo in determinati periodi, chiamati \qstagioni della contrada\q.\n\nDurante una di queste puoi esplorare la mappa con il furgone, soddisfare le richieste degli abitanti e ottenere in cambio dei gettoni. Questi sono di tre tipologie diverse e li puoi scambiare con prodotti di vario tipo, che trovi nell'emporio della contrada e che aumentano con il passare del tempo.\n\nLa contrada è aperta a tutti e non è richiesto alcun tipo di iscrizione. Tu e i vicini condividerete sempre la stessa contrada, ma potrai trovare nuovi contadini con cui fare amicizia!"
TID_VALLEY_INFO_2,"Per guidare il furgone ti serve del carburante, di cui otterrai una quantità casuale ogni volta che girerai la ruota del carburante.\n\nTocca il pulsante della ruota in basso a destra per tentare la sorte! Ogni giorno hai a disposizione un giro gratuito.\n\nGira la ruota per sbloccare la scheda degli incarichi solari, di cui ne troverai tre al giorno. Completane abbastanza per riempire l'apposito indicatore e girare la ruota!"
TID_VALLEY_INFO_3,"La contrada è piena di fermate ed edifici, da cui riceverai richieste: potrai completare degli ordini relativi ai prodotti della tua fattoria o effettuare consegne di merce da un edificio a un altro. A volte troverai delle richieste di gruppo da completare insieme a un numero specifico di contadini. Per ogni richiesta soddisfatta otterrai dei gettoni casuali.\n\nLe consegne e gli ordini hanno una scadenza e vengono sostituiti dopo un certo periodo di tempo, quindi affrettati a completare le richieste!\n\nInoltre, alcune fermate riservano delle sorprese: puoi ricevere in dono dei prodotti casuali o fondere il motore del furgone! Per ripararlo, attendi un certo periodo di tempo o fatti aiutare dagli altri contadini."
TID_VALLEY_INFO_4,"Ogni giorno riceverai delle missioni da completare: ce ne sono di diversi tipi e verranno sostituite ogni 24 ore.\n\nCompletale per riempire l'indicatore posto nella parte superiore della scheda \qMissioni giornaliere\q e raggiungi le tappe contraddistinte da scatole misteriose per ricevere queste ultime!\n\nAlcune tappe mostreranno una gallina: completa tutte le missioni del giorno per prenderla, ma non perdere molto tempo, perché scomparirà a fine giornata!"
TID_VALLEY_INFO_5,"Trova tutte le galline per sbloccare una sezione esclusiva dell'emporio della contrada, ricca di articoli e disponibile solo a fine stagione!\n\nOgni volta che una richiesta di gruppo viene completata da tutti i contadini coinvolti, riceverai una gallina in premio. Di tanto in tanto, ne apparirà qualcuna lungo la mappa o sull'indicatore delle missioni giornaliere.\n\nPuoi trovarne altre in alcune fermate, ma saranno disponibili solo per un periodo limitato.\n\nSe sull'indicatore appare una gallina, completa tutte le missioni giornaliere prima del termine della giornata per prenderla.\n\nLe galline sono una risorsa di gruppo: chi ne cattura una aiuterà anche gli altri contadini! Accedi alla sezione esclusiva dell'emporio per visualizzare il numero di galline acciuffate e cerca di accumularne più che puoi!"
TID_VALLEY_INFO_6,"In ogni stagione, nella contrada trovi un emporio in cui puoi ottenere dei prodotti in cambio dei gettoni che guadagni.\n\nL'emporio è suddiviso in due sezioni: quella standard offre articoli con cui migliorare la fattoria, come oggetti espansione, pezzi del puzzle e permessi di espansione. Non tutti gli articoli sono disponibili da subito, perché si sbloccano con il passare del tempo.\n\nTroverai anche una seconda sezione ben più esclusiva: offre i prodotti migliori, che potrai acquistare solo al termine della stagione, ed è accessibile solo dopo aver preso tutte le galline.\n\nLa mappa della contrada è disseminata di avvisi, grazie ai quali puoi scoprire se è presente una gallina lungo la strada, se è disponibile una richiesta di gruppo o se un altro contadino ha bisogno di aiuto con il furgone in panne.\n\nIn quest'ultimo caso, raggiungi il punto in cui si trova il furgone per ripararlo e in cambio riceverai dei gettoni casuali!"
TID_VALLEY_INFO_7,"Soddisfa le richieste degli edifici della contrada per guadagnare gettoni rossi, blu e verdi.\n\nLa capienza del sacchetto per i gettoni è limitata e puoi tenerla d'occhio visitando l'emporio della contrada. Il limite è composto dal totale delle tre tipologie di gettone e, se lo raggiungi, non potrai più accumularne, ma puoi spenderli nell'emporio per liberare spazio.\n\nHai anche un salvadanaio a disposizione, che ha una sua capienza massima e che puoi rompere per ottenere più gettoni.\n\nSin dall'inizio della stagione, puoi visualizzare gli articoli in offerta nell'emporio e la quantità di gettoni necessari per ottenerli. Quando liberi spazio nel sacchetto, assicurati di avere gettoni a sufficienza per acquistare gli articoli esclusivi!\n\nPuoi utilizzare i gettoni anche a fine stagione e quelli che avanzano verranno messi da parte nel salvadanaio per quella successiva!"
TID_VALLEY_INFO_8,"Nella contrada la condivisione è tutto! La mappa è disseminata di avvisi, grazie ai quali puoi scoprire se è presente una gallina lungo la strada, se è disponibile una richiesta di gruppo o se un altro contadino ha bisogno di aiuto con il furgone in panne.\n\nIn quest'ultimo caso, raggiungi il punto in cui si trova il furgone per ripararlo e in cambio riceverai dei gettoni casuali!\n\nLa cooperazione è essenziale per trovare tutte le galline e divertirsi come non mai!"
TID_MASSGIFT_REACHED_LEVEL50_HEADER,Livello 50!
TID_MASSGIFT_REACHED_LEVEL50_TEXT,"Ciao <NAME>! Hai raggiunto il livello 50! Congratulazioni! Prendi questa MUUgnifica decorazione come ringraziamento per il tuo sostegno, i suggerimenti e, soprattutto, per aver giocato a Hay Day!"
TID_MASSGIFT_REACHED_LEVEL150_HEADER,Livello 150!
TID_MASSGIFT_REACHED_LEVEL150_TEXT,"Ciao <NAME>! Hai raggiunto il livello 150! Congratulazioni! Prendi questa MUUgnifica decorazione come ringraziamento per il tuo sostegno, i suggerimenti e, soprattutto, per aver giocato a Hay Day!"
TID_MASSGIFT_REACHED_LEVEL200_HEADER,Livello 200!
TID_MASSGIFT_REACHED_LEVEL200_TEXT,"Ciao <NAME>! Hai raggiunto il livello 200! Congratulazioni! Prendi questa MUUgnifica decorazione come ringraziamento per il tuo sostegno, i suggerimenti e, soprattutto, per aver giocato a Hay Day!"
TID_MASSGIFT_REACHED_LEVEL250_HEADER,Livello 250!
TID_MASSGIFT_REACHED_LEVEL250_TEXT,"Ciao <NAME>! Hai raggiunto il livello 250! Congratulazioni! Prendi questa MUUgnifica decorazione come ringraziamento per il tuo sostegno, i suggerimenti e, soprattutto, per aver giocato a Hay Day!"
TID_MASSGIFT_REACHED_LEVEL300_HEADER,Livello 300!
TID_MASSGIFT_REACHED_LEVEL300_TEXT,"Ciao <NAME>! Hai raggiunto il livello 300! Congratulazioni! Prendi questa MUUgnifica decorazione come ringraziamento per il tuo sostegno, i suggerimenti e, soprattutto, per aver giocato a Hay Day!"
TID_MASSGIFT_REACHED_LEVEL350_HEADER,Livello 350!
TID_MASSGIFT_REACHED_LEVEL350_TEXT,"Ciao <NAME>! Hai raggiunto il livello 350! Congratulazioni! Prendi questa MUUgnifica decorazione come ringraziamento per il tuo sostegno, i suggerimenti e, soprattutto, per aver giocato a Hay Day!"
TID_MASSGIFT_7THBIRTHDAY_ANNOUNCEMENT_TEXT,"Hay Day sta per compiere 7 anni! Non vediamo l'ora di celebrare con te, e il regalo che avevamo in mente è molto speciale: ecco per te l'esclusiva decorazione a forma di torta per cui hai votato! Grazie per aver giocato a Hay Day tutti questi anni!"
TID_VALLEY_SHOP_TITLE,Sezione standard
TID_VALLEY_EXCLUSIVE_SHOP_TITLE,Sezione esclusiva
TID_MAP_GAME_DELIVERY_NODE_ALREADY_ACCEPTED,Hai già accettato la consegna al punto <NUMBER>!
TID_MAP_GAME_DUMP_TASK_ALREADY_COMPLETED,Hai già completato l'ordine di gruppo!
TID_MAP_GAME_SOCIAL_TASK_ALREADY_COMPLETED,Hai già contribuito a quest'ordine di gruppo!
TID_MAP_GAME_SPEND_DIAMONDS_SPEEDUP_TASK,Hai speso <NUMBER1> diamanti per accelerare la richiesta al punto n. <NUMBER2>.
TID_MAP_GAME_FAILED_SPEND_DIAMONDS_SPEEDUP_TASK,Non hai potuto spendere <NUMBER1> diamanti per accelerare la richiesta al punto n. <NUMBER2>.
TID_MAP_GAME_SOCIAL_TASK_PLAYER_COUNT,<NUMBER1> persona/e su <NUMBER2> ti hanno aiutato
TID_MAP_GAME_SOCIAL_TASK_EXTRA_REWARD,Giocatori necessari per completare la richiesta di gruppo:
TID_MAP_GAME_NODE_INFO_TEXT,Si tratta di una richiesta per il punto n. <NUMBER>.
TID_MAP_GAME_SOCIAL_REWARD_COUNT,<COUNT>
TID_MAPGAME_CHICKEN_FOUND_AND_COLLECTED_DESCRIPTION,Hai raccolto una gallina!
TID_MAPGAME_SHOP_REWARDS_HUD_TITLE,Emporio della contrada
TID_MAPGAME_SHOP_REWARDS_HUD_SOLD_OUT,Esaurita!
TID_MAPGAME_SHOP_REWARDS_UNLOCKS_IN,Si sblocca tra <TIME>
TID_MAPGAME_OBSTACLE_MOVE_FAILED_TRUCK_BROKEN,Il furgone deve essere prima riparato!
TID_MAPGAME_OBSTACLE_MOVE_FAILED_COLLECT_REWARD,Raccogli prima la sorpresa!
TID_MAP_GAME_SOCIAL_TASK_PLAYER_TOOLTIP_TITLE,<NAME>
TID_MAP_GAME_SOCIAL_TASK_PLAYER_TOOLTIP_DESCRIPTION,<NAME> ha completato la richiesta!
TID_MAP_GAME_CANNOT_PURCHASE_SHOP_REWARD_NOT_ENOUGH_COINS,Non hai abbastanza gettoni! Ottienili completando delle richieste.
TID_MAP_GAME_CANNOT_PURCHASE_SHOP_REWARD_NOT_UNLOCKED,Articolo non ancora disponibile!
TID_MAP_GAME_CANNOT_PURCHASE_SHOP_REWARD_REWARD_ALREADY_PURCHASED,Articolo già ritirato!
TID_MAPGAME_OBSTACLE_TRAVEL_HERE_TO_HELP,Raggiungi questo punto per aiutare!
TID_MAPGAME_OBSTACLE_ID_INFO,Si tratta di un ostacolo al punto n. <NODEID>.
TID_MAPGAME_HELP_RECEIVED_DESCRIPTION,Un contadino ti ha aiutato a riparare il furgone!
TID_MAPGAME_SHOP_REWARDS_TIER_2_AVAILABLE_TEXT,La sezione esclusiva dell'emporio è accessibile!
TID_MAPGAME_SHOP_REWARDS_TIER_2_INFO_TEXT,Attendi il termine di questa stagione della contrada per acquistare articoli in questa sezione.
TID_MAPGAME_SHOP_REWARDS_TIER_2_DID_NOT_REACH_CHICKEN_GOAL,"Non puoi accedere alla sezione esclusiva, perché non hai raccolto abbastanza galline."
TID_MAPGAME_SHOP_REWARDS_CONFIRM_PURCHASE_POPUP_TITLE,Conferma l'acquisto
TID_MAPGAME_SHOP_REWARDS_CONFIRM_PURCHASE_BTN,Conferma
TID_MAPGAME_SHOP_REWARDS_CANCEL_PURCHASE_BTN,Annulla
TID_MAP_GAME_SUNPOINTS_TASK_TRUCK_ORDER_ONE,Completa un ordine del furgone nella fattoria.
TID_MAP_GAME_SUNPOINTS_TASK_TRUCK_ORDER,Completa degli ordini del furgone nella fattoria.
TID_MAP_GAME_SUNPOINTS_TASK_BOAT_ORDER_ONE,Riempi una cassa sulla barca.
TID_MAP_GAME_SUNPOINTS_TASK_BOAT_ORDER,Riempi delle casse sulla barca.
TID_MAP_GAME_SUNPOINTS_TASK_FEED_ANIMAL_ANY,Nutri degli animali della fattoria.
TID_MAP_GAME_SUNPOINTS_TASK_CATCH_FISH_ONE,Cattura un pesce.
TID_MAP_GAME_SUNPOINTS_TASK_CATCH_FISH,Cattura dei pesci.
TID_MAP_GAME_SUNPOINTS_PRODUCE_LURES_ONE,Produci un'esca per pesci.
TID_MAP_GAME_SUNPOINTS_PRODUCE_LURES,Produci delle esche per pesci.
TID_MAP_GAME_SUNPOINTS_USE_NETS_ONE,Lancia una rete da pesca o una rete misteriosa nel lago.
TID_MAP_GAME_SUNPOINTS_USE_NETS,Lancia delle reti da pesca o reti misteriose nel lago.
TID_MAP_GAME_SUNPOINTS_CATCH_DUCKSLOBSTERS_ONE,Colloca una trappola per anatre o per aragoste nel lago.
TID_MAP_GAME_SUNPOINTS_CATCH_DUCKSLOBSTERS,Colloca delle trappole per anatre o per aragoste nel lago.
TID_MAP_GAME_SUNPOINTS_DERBY_TASK_HARD_ONE,Completa un incarico del derby da almeno 235 punti.
TID_MAP_GAME_SUNPOINTS_DERBY_TASK_HARD,Completa degli incarichi del derby da almeno 235 punti.
TID_MAP_GAME_TASK_CHICKEN_TITLE,Hai trovato una gallina!
TID_MAP_GAME_TASK_CHICKEN_DESCRIPTION,C'è una gallina per strada! Raccoglila prima che ti sfugga!
