TID,MS
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE_AMAZON,Kami sedang mengemas kini versi baharu Hay Day dalam Amazon App Store. Ladang anda akan tersedia tidak lama lagi. Sila semak semula sebentar lagi!
TID_UPDATE_NOTIFICATION_GENERIC_AMAZON,Lihat kemas kini baharu di Amazon App Store!
TID_NOTICE_DIALOG_TOS_PRIVACY_POLICY_MESSAGE_AMAZON,Hay Day boleh dimainkan secara percuma tetapi anda boleh mempercepatkan perkembangan melalui pembelian dalam aplikasi. Anda boleh mematikan ciri pembayaran dengan menyahdayakan pembelian dalam aplikasi tetapan peranti anda. Ketik OK untuk menerima Dasar Terma dan Privasi kami.
TID_PURCHASE_WARNING_TEXT_AMAZON,"Walaupun, Hay Day boleh dimain secara percuma, sesetengah item permainan juga boleh dibeli dengan wang sebenar. Anda boleh mematikan ciri pembayaran dengan menyahdayakan pembelian dalam aplikasi tetapan peranti anda. Anda perlu berumur 13+ untuk bermain."
TID_AMAZON_SERVICE_CONNECT_TEXT,Daftar masuk dengan Supercell ID untuk elak daripada kehilangan ladang anda! Ini juga membolehkan anda bermain pada berbilang peranti.
TID_ROADSIDE_SHOP_ITEM_ADVERTISED,Diiklankan
TID_TUTORIAL_FB_CONNECT_TEXT,Sudah mempunyai ladang?
TID_TUTORIAL_FB_CONNECT_BUTTON,Daftar masuk
TID_EDIT_MODE_TITLE,Susun Atur Ladang Anda
TID_EDIT_MODE_EDIT,Edit susun atur
TID_EDIT_MODE_COPY,Salin susun atur
TID_EDIT_MODE_ACTIVATE,Tetapkan sebagai aktif
TID_EDIT_MODE_CANNOT_ACTIVATE,Benda penting tidak ditempatkan dengan betul dalam susun atur dan tidak boleh ditetapkan sebagai aktif
TID_EDIT_MODE_PURCHASE,Beli untuk
TID_EDIT_MODE_UNLOCK_INFO,Membuka kunci pada tahap <NUMBER>
TID_TYPE_STORAGE_UNABLE_TO_SAVE_LAYOUT_ITEMS_IN_STORAGE,Tidak boleh menyimpan susun atur aktif: keluarkan apa yang perlu dari stor dahulu
TID_EDIT_MODE_CANCEL,Batal
TID_CONFIRM_POPUP_EDIT_MODE_SAVE_LAYOUT_TITLE,Sahkan perubahan
TID_CONFIRM_POPUP_EDIT_MODE_SAVE_LAYOUT_TEXT,Adakah anda pasti ingin menyimpan perubahan anda?
TID_CONFIRM_POPUP_EDIT_MODE_SAVE_LAYOUT_BUTTON_CONFIRM,Simpan perubahan
TID_CONFIRM_POPUP_EDIT_MODE_SAVE_LAYOUT_BUTTON_CANCEL,Teruskan mengedit
TID_CONFIRM_POPUP_EDIT_MODE_CANCEL_EDIT_TITLE,Batalkan pengeditan
TID_CONFIRM_POPUP_EDIT_MODE_CANCEL_EDIT_TEXT,Adakah anda pasti ingin keluar daripada mod edit? Perubahan anda akan dibuang!
TID_CONFIRM_POPUP_EDIT_MODE_CANCEL_EDIT_BUTTON_CONFIRM,Buang perubahan
TID_CONFIRM_POPUP_EDIT_MODE_CANCEL_EDIT_BUTTON_CANCEL,Teruskan mengedit
TID_FLOATER_EDIT_MODE_UNABLE_TO_COPY,Tidak boleh menyalin susun atur tidak lengkap pada susun atur aktif
TID_EDIT_MODE_CONFIRM_COPY_TITLE,Gantikan susun atur?
TID_EDIT_MODE_CONFIRM_COPY_TEXT,Anda pasti ingin menggantikan susun atur sedia ada? Susun atur yang digantikan akan dibuang!
TID_EDIT_MODE_CONFIRM_COPY_BUTTON_CONFIRM,Gantikan
TID_EDIT_MODE_CONFIRM_COPY_BUTTON_CANCEL,Batal
TID_EDIT_MODE_ERASE_MODE_BUTTON_ON,BUKA
TID_EDIT_MODE_ERASE_MODE_BUTTON_OFF,TUTUP
TID_SILO,Silo
TID_WAREHOUSE,Bangsal
TID_FLOATER_EDIT_MODE_COMING_SOON,Buka kunci Mod Edit pada tahap <LEVEL>
TID_DECO_CHOCOBUNNY,Arnab coklat
TID_DECO_CHICKNEST,Reban anak ayam
TID_DECO_STONELANTERN,Tanglung batu
TID_DECO_PANDASTATUE,Tugu panda
TID_DECO_BIGGATE,Pintu besar
TID_DECO_ROPEFENCE,Pagar tali
TID_DECO_GENERICFARM_DESCRIPTION,Hias ladang anda
TID_DECO_EASTERUNIQUE_DESCRIPTION,Hiasan hari Easter yang unik
TID_DECO_EASTER_DESCRIPTION,Hiasan Easter
TID_EDIT_MODE_ACTIVE,Aktif
TID_DECO_EASTERFLOWERS,Bunga Dafodil
TID_DECO_LUCKYCAT,Kucing bertuah
TID_DECO_BAMBOOFOUNTAIN,Air pancut buluh
TID_DECO_BONSAITREE,Pokok bonsai
TID_DECO_GENERICTOWN_DESCRIPTION,Hias bandar anda
TID_EDIT_MODE_CONFIRM_RECOVERY_TITLE,Dapatkan semula susun atur?
TID_EDIT_MODE_CONFIRM_RECOVERY_TEXT,Permainan anda diganggu semasa mod edit. Adakah anda ingin meneruskan pengeditan susun atur itu?
TID_EDIT_MODE_CONFIRM_RECOVERY_BUTTON_CONFIRM,Sahkan
TID_EDIT_MODE_CONFIRM_RECOVERY_BUTTON_CANCEL,Batal
TID_EDIT_MODE_LAYOUT_DEFAULT_NAME,Susun atur <NUMBER>
TID_EDITMODE_TUTORIAL_TITLE,Maklumat Mod Edit
TID_EDITMODE_TUTORIAL_ACTIVELAYOUT,Susun atur aktif ialah ladang atau bandar anda sekarang.
TID_EDITMODE_TUTORIAL_ESSENTIALITEMS,"Susun atur dengan tanda seru merah menunjukkan terdapat item penting tidak ditempatkan, maka tidak dapat ditetapkan sebagai aktif. Pastikan semua petak tanaman, bangunan, rumah haiwan, pokok dan semak telah ditempatkan."
TID_EDITMODE_TUTORIAL_EDITBUTTON,Buka susun atur yang dipilih dalam mod edit.
TID_EDITMODE_TUTORIAL_COPYBUTTON,Salin susun atur yang dipilih ke slot lain.
TID_EDITMODE_TUTORIAL_ACTIVEBUTTON,Tetapkan susun atur yang dipilih sebagai aktif. Tidak boleh mempunyai sebarang barang penting yang belum selesai.
TID_EDITMODE_TUTORIAL_STORAGEBUTTON,Buka stor anda. Semua item yang penting mesti dikeluarkan dari stor sebelum menyimpan susun atur aktif. Hiasan bukan barang yang penting.
TID_EDITMODE_TUTORIAL_ERASEMODE,"Apabila mod padam DIBUKA, setiap item yang anda ketik atau leret akan disimpan serta-merta. Peta tidak dapat digerakkan ketika dalam mod BUKA. TUTUP mod pemadaman untuk menggerakkan peta."
TID_EDITMODE_TUTORIAL_SAVECANCEL,Simpan atau batalkan perubahan anda untuk meninggalkan mod edit. Susun atur aktif hanya boleh disimpan jika semua item yang penting telah diletakkan.
TID_EDITMODE_TUTORIAL_MASSSTORAGE,Simpan pelbagai objek sekaligus
TID_EDITMODE_TUTORIAL_STOREFIELDS,Simpan semua batasan dan habitat
TID_EDITMODE_TUTORIAL_STOREBUILDINGS,Simpan semua mesin pengeluaran atau bangunan bandar
TID_EDITMODE_TUTORIAL_STORETREES,Simpan semua pokok dan rimbunan buah-buahan
TID_EDITMODE_TUTORIAL_STOREDECOS,Simpan semua hiasan
TID_EDITMODE_TUTORIAL_NEXTBUTTON,Seterusnya
TID_EDITMODE_TUTORIAL_PREVIOUSBUTTON,Sebelumnya
TID_EDIT_MODE_PASTEHERE,Tampal di sini
TID_PANDORA_PURCHASED_FARM_LAYOUT_SLOT,Slot susun atur ladang yang dibeli
TID_PANDORA_PURCHASED_TOWN_LAYOUT_SLOT,Slot susun atur bandar yang dibeli
TID_FLOATER_EDIT_MODE_BUY_PREVIOUS_SLOT_FIRST,Buka kunci slot sebelum ini dahulu!
TID_EDIT_MODE_CATEGORY_EMPTY,Semua barang telah diletakkan!
TID_EDIT_MODE_CONFIRM_RECOVERY_TEXT2,Membatal akan membuang perubahan anda yang tidak disimpan!
TID_EDIT_MODE_TITLE_TOWN,Susun Atur Bandar Anda
TID_EDIT_MODE_COPY_EXTRA,Tampal di sini
TID_DECO_GORILLASTATUE,Tugu gorila
TID_DECO_RHINOSTATUE,Tugu badak sumbu
TID_DECO_ELEPHANTSTATUE,Tugu gajah
TID_EDITMODE_TITLE,Mod Edit
TID_WWF_DIAMONDPACKAGE_EXTRATEXT,WWF akan menerima 100% hasil daripada pembelian anda
TID_PEACH_TREE_FB_HELP_TEXT,Pokok pic saya perlu disiram dengan segera. Boleh kamu bantu?
TID_PRODUCT_PEACH,Pic
TID_PRODUCT_PEACH_DESCRIPTION,Petik daripada Pokok Pic
TID_TREE_PEACHTREE,Pokok Pic
TID_TREE_PEACHTREE_DESCRIPTION,Petik tiga kali
TID_PRODUCT_ORANGE,Oren
TID_PRODUCT_ORANGE_DESCRIPTION,Petik daripada Pokok Oren
TID_TREE_ORANGETREE,Pokok Oren
TID_TREE_ORANGETREE_DESCRIPTION,Petik tiga kali
TID_ORANGE_TREE_FB_HELP_TEXT,Pokok oren saya perlu disiram dengan segera. Boleh kamu bantu?
TID_NEIGHBORHOOD_TRADING_COMING_SOON,Perdagangan kejiranan dibuka kunci pada tahap <LEVEL>
TID_FLOATER_NEIGHBORHOOD_TRADING_NOT_IN_NEIGHBORHOOD,Sertai kejiranan untuk berdagang!
TID_STREAM_EVENT_ITEM_REQUESTED,telah meminta <AMOUNT>x <ITEM>
TID_ITEM_REQUEST_VIEW_BUTTON,Lihat
TID_NEIGHBORHOOD_TRADING_REQUESTS_TITLE,Permintaan Kejiranan
TID_NEIGHBORHOOD_TRADING_REQUEST_TEXT,Anda boleh meminta item!
TID_NEIGHBORHOOD_TRADING_REQUEST_BUTTON,Permintaan
TID_CROP_ONION,Bawang
TID_CROP_TEALEAVES,Daun teh
TID_PRODUCT_GREENTEA,Teh hijau
TID_PRODUCT_MILKTEA,Teh susu
TID_PRODUCT_HONEYTEA,Teh madu
TID_PRODUCT_LEMONTEA,Teh lemon
TID_PRODUCT_ORANGETEA,Teh oren
TID_PRODUCT_ICEDTEA,Teh ais
TID_PRODUCT_TACO,Taco
TID_PRODUCT_FISHTACO,Taco ikan
TID_PRODUCT_QUESADILLA,Quesadilla
TID_PRODUCT_NACHOS,Nachos
TID_PRODUCT_SALSA,Salsa
TID_PRODUCT_ONIONSOUP,Sup bawang
TID_PRODUCT_GRILLEDONION,Bawang panggang
TID_PRODUCT_ONIONDOG,Sosej bawang
TID_PRODUCT_FRUITSALAD,Salad buah-buahan
TID_PRODUCT_SUMMERSALAD,Salad musim panas
TID_PRODUCT_ORANGESORBET,Serbat oren
TID_PRODUCT_PEACHICECREAM,Aiskrim pic
TID_PRODUCT_ORANGEJUICE,Jus oren
TID_PRODUCT_MARMELADE,Marmalad
TID_PRODUCT_PEACHJAM,Jem pic
TID_PRODUCT_PEACHTART,Tat pic
TID_PRODUCT_MIXEDSMOOTHIE,Smoothie campuran
TID_TACOKITCHEN,Dapur Taco
TID_TEASTAND,Gerai Teh
TID_TACO_KITCHEN_DESCRIPTION,Menyediakan hidangan tortilla
TID_TEA_STAND_DESCRIPTION,Menyediakan minuman teh
TID_TEA_STAND_PRODUCT_DESCRIPTION,Dihasilkan di Gerai Teh
TID_TACO_KITCHEN_PRODUCT_DESCRIPTION,Dihasilkan di Dapur Taco
TID_NEIGHBORHOOD_TRADING_NEW_REQUEST_TEXT,Permintaan baharu
TID_NEIGHBORHOOD_TRADING_NEW_REQUEST_BUTTON,Permintaan
TID_NEIGHBORHOOD_TRADING_NEW_REQUEST_WARNING_AGAIN,Anda telah menggunakan permintaan percuma anda! Minta lagi? Ini memerlukan berlian.
TID_NEIGHBORHOOD_TRADING_REQUEST_AGAIN_TIMER,Minta lagi dalam <TIME>
TID_NEIGHBORHOOD_TRADING_DONATE_INFO,Anda boleh mendermakan <NUMBER> lagi item hari ini
TID_NEIGHBORHOOD_TRADING_DONATE_AGAIN_TIMER,Derma lagi dalam <TIME>
TID_ADVANCED_EVENT_TEXT_4TH_BIRTHDAY_CARORDERS,"Ini hari lahir keempat Hay Day dan bekalan diperlukan untuk meraikan parti besar! Untuk membantu perayaan, penuhi sebanyak mungkin Pesanan Trak yang anda boleh sebelum masa tamat! Capai matlamat peribadi anda untuk ganjaran hebat. Keputusan anda juga menambah matlamat global komuniti. Capai matlamat global bersama petani di seluruh dunia dan anda semua akan diberi ganjaran hiasan Hari Lahir eksklusif."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_4TH_BIRTHDAY,"Hai <NAME>! Terima kasih untuk semua penghantaran anda yang cantik, perayaan hari lahir Hebat! Terima kasih atas penyertaan semua orang dalam acara global ini. Kita berjaya melakukannya bersama! Sila terima ganjaran ini sebagai ucapan terima kasih atas sumbangan anda!"
TID_NEIGHBORHOOD_TRADING_MY_ACTIVE_REQUEST,Permintaan aktif saya
TID_NEIGHBORHOOD_TRADING_REQUEST_PROGRESS,<COUNT>/<MAX>
TID_NEIGHBORHOOD_TRADING_REQUEST_YOU_HAVE,Anda mempunyai: <COUNT>
TID_NEIGHBORHOOD_TRADING_REQUEST_DONATE_BUTTON,Derma
TID_FLOATER_NEIGHBORHOOD_TRADING_DONATION_LIMIT,Anda boleh menderma lagi dalam <TIME>
TID_FLOATER_NEIGHBORHOOD_TRADING_NOT_ENOUGH_ITEMS,Anda tidak mempunyai sumber yang mencukupi untuk menderma
TID_NEIGHBORHOOD_TRADING_NO_STATS,Kejiranan anda tidak mempunyai statistik perdagangan daripada minggu lalu. Tunggu sehingga muat semula seterusnya untuk melihat kedudukan anda!
TID_NEIGHBORHOOD_TRADING_STAT_REQUESTED,<NUMBER> diminta
TID_NEIGHBORHOOD_TRADING_STAT_DONATED,<NUMBER> didermakan
TID_NEIGHBORHOOD_TRADING_NEW_REQUEST_WARNING_ACTIVE,Anda mempunyai permintaan aktif. Membuat permintaan baharu akan membatalkan permintaan sebelumnya!
TID_FLOATER_NEIGHBORHOOD_TRADING_RECEIVED_HELP,<NAME> memberi anda <ITEM>!
TID_FLOATER_NEIGHBORHOOD_TRADING_COLLECT_DONATIONS,Kumpul item anda yang terdahulu untuk meminta lagi!
TID_FLOATER_NEIGHBORHOOD_TRADING_COLLECT_DONATIONS_NEW,Derma baharu telah tiba! Kumpulkannya untuk meminta lagi!
TID_NEIGHBORHOOD_TRADING_DONATION_INFO_POPUP_TITLE,Derma:
TID_NEIGHBORHOOD_TRADING_DONATION_INFO_POPUP_DONATION_TEXT,<NAME> x <COUNT>
TID_NEIGHBORHOOD_TRADING_REQUEST_COMPLETE,Permintaan anda selesai!
TID_NOTIFICATIONS_SETTINGS_NEIGHBORHOOD_TRADING,Makluman permintaan kejiranan
TID_PN_NEIGHBORHOOD_TRADING_ORDER_COMPLETE,Jiran anda telah menyelesaikan permintaan anda! Kumpulkan item anda sekarang!
TID_ACHIEVEMENT_DONATE,Jiran pemurah
TID_ACHIEVEMENT_DONATE_DESCRIPTION,Derma <NUMBER> item
TID_NEIGHBORHOOD_TRADING_REQUEST_PREMIUM_TEXT,Permintaan percuma seterusnya dalam <TIME>
TID_NEIGHBORHOOD_TRADING_REQUEST_PREMIUM_BUTTON,Permintaan
TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_TITLE,Tugasan Pelawat Bandar
TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,Hidang sepenuhnya <NUMBER> x <PASSENGER>
TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,Penuhi semua permintaan bangunan bagi pelawat bandar yang ditetapkan dan kumpul hadiah akhir.
TID_NEIGHBORHOOD_TRADING_NEXT_STAT_UPDATE_TEXT,Statistik akan dikemaskini dalam masa <TIME>
TID_NEIGHBORHOOD_TRADING_STATS_TITLE,Derma minggu lalu
TID_CONFIRM_REPLACE_REQUEST_TITLE,Gantikan permintaan?
TID_CONFIRM_REPLACE_REQUEST_TEXT,"Anda sudah pun membuat permintaan. Jika anda membuat permintaan baharu, permintaan sebelumnya akan dipadamkan. Adakah anda ingin meneruskan?"
TID_CONFIRM_REPLACE_REQUEST_BUTTON_CONFIRM,Teruskan
TID_CONFIRM_REPLACE_REQUEST_BUTTON_CANCEL,Batal
TID_NEIGHBORHOOD_TRADING_MY_ACTIVE_REQUEST_COMPLETE,LENGKAP!
TID_NOTIFICATION_FREE_REQUEST_AVAILABLE,Anda mempunyai permintaan percuma!
TID_NEIGHBORHOOD_TRADING_DONATE_FAILED_LEVEL_REQUIREMENTS,Capai tahap <LEVEL> untuk mendermakan <ITEM>!
TID_NEIGHBORHOOD_TRADING_TUTORIAL_INFO_TITLE,Maklumat Perdagangan Kejiranan
TID_NEIGHBORHOOD_TRADING_TUTORIAL_INFO_GENERAL,"Perdagangan kejiranan membolehkan anda meminta jumlah item yang terhad daripada jiran anda dan juga menderma kepada mereka.\n\nAnda boleh meminta sehingga 10 tanaman, 5 produk, 3 alat, 3 umpan atau 3 item peningkatan dan peluasan sekaligus. Anda mendapat permintaan percuma setiap 8 jam. Anda juga boleh membuat satu permintaan tambahan menggunakan berlian sebelum permintaan percuma anda yang seterusnya. Anda akan mendapat XP apabila menderma!\n\nAnda boleh menderma sehingga <MAX> item setiap hari."
TID_NEIGHBORHOOD_TRADING_TUTORIAL_INFO_REQUEST,Butang ini membuka menu permintaan yang membolehkan anda memilih item dan kuantiti untuk diminta.
TID_NEIGHBORHOOD_TRADING_TUTORIAL_INFO_REQUEST_NOW,"Jika anda telah menggunakan permintaan percuma, anda boleh membuat permintaan baharu menggunakan berlian. Anda hanya boleh memiliki satu permintaan aktif pada satu-satu masa."
TID_NEIGHBORHOOD_TRADING_TUTORIAL_INFO_REQUEST_DISABLED,"Selepas menggunakan semua permintaan yang tersedia, anda mesti menunggu sehingga permintaan percuma seterusnya tersedia."
TID_NEIGHBORHOOD_TRADING_TUTORIAL_INFO_YOUR_REQUEST,Permintaan anda dipaparkan pada papan dalam warna biru. Menekan butang maklumat akan menunjukkan orang yang menderma kepada permintaan ini.
TID_NEIGHBORHOOD_TRADING_TUTORIAL_INFO_OTHER_REQUESTS,Permintaan jiran anda dipaparkan dalam warna kuning. Mengetik butang derma akan memberi mereka satu item. Anda boleh menderma berbilang kali kepada permintaan yang sama.
TID_NEIGHBORHOOD_TRADING_TUTORIAL_INFO_DONATE,"Anda boleh menderma sehingga <MAX> item dalam sehari. Selepas mencapai had itu, butang derma akan dilumpuhkan."
TID_NEIGHBORHOOD_TRADING_TUTORIAL_INFO_STATS,"Dalam tab maklumat, anda boleh menyemak statistik setiap jiran pada minggu sebelumnya.\n\nMenurut statistik, anda boleh mendapat gelaran kejiranan. Terdapat beberapa gelaran, setiap satu ada syarat tersendiri. Cuba cari semuanya!\n\nSenarai hanya dikemas kini sekali setiap minggu dan akan merujuk kepada statistik minggu sebelumnya."
TID_NEIGHBORHOOD_TRADING_TUTORIAL_INFO_STATS_PLAYER_NAME,Jiran Anda
TID_FLOATER_LAYOUT_EDITOR_INVALID_LAYOUT,Berlaku sesuatu dalam susun atur anda! Masuk mod edit dan simpan semula.
TID_LAYOUT_SAVING_FAILED_TITLE,Gagal menyimpan!
TID_LAYOUT_SAVING_FAILED_TEXT,Op! Berlaku sesuatu. <ITEM> telah dialihkan kembali ke stor.
TID_LAYOUT_SAVING_FAILED_BUTTON_OK,OK
TID_NEIGHBORHOOD_TITLE_AWARD_POPUP_TITLE,Tahniah!
TID_NEIGHBORHOOD_TITLE_AWARD_POPUP_TEXT,Anda telah dianugerahkan gelaran
TID_NEIGHBORHOOD_TITLE_AWARD_POPUP_TRADING_TITLE_AWARD_CONFIRM,OK
TID_NEIGHBORHOOD_TRADING_TITLE_MOST_GENEROUS,PALING PEMURAH
TID_NEIGHBORHOOD_TRADING_TITLE_DO_GOODER,DERMAWAN
TID_NEIGHBORHOOD_TRADING_TITLE_SUPER_TRADER,PEDAGANG SUPER
TID_NEIGHBORHOOD_TRADING_TITLE_WELL_ROUNDED,SERBA BOLEH
TID_NEIGHBORHOOD_TRADING_TITLE_TOP_OF_THE_CROP,TERBAIK
TID_NEIGHBORHOOD_TRADING_TITLE_LUCKY_TRADER,PEDAGANG BERTUAH
TID_NEIGHBORHOOD_TRADING_TITLE_MOTHER_GOOSE,MENGIKUT GILIRAN
TID_NEIGHBORHOOD_TRADING_TITLE_RUN_OF_THE_MILL,PEDAGANG BERPOTENSI
TID_NEIGHBORHOOD_TRADING_TITLE_LIGHT_TRADER,PEDAGANG SANTAI
TID_NEIGHBORHOOD_TRADING_DESCRIPTION_MOST_GENEROUS,Anda mendapat gelaran bergantung kepada jumlah permintaan dan sumbangan anda sepanjang minggu!
TID_NEIGHBORHOOD_TRADING_DESCRIPTION_DO_GOODER,Anda mendapat gelaran bergantung kepada jumlah permintaan dan sumbangan anda sepanjang minggu!
TID_NEIGHBORHOOD_TRADING_DESCRIPTION_SUPER_TRADER,Anda mendapat gelaran bergantung kepada jumlah permintaan dan sumbangan anda sepanjang minggu!
TID_NEIGHBORHOOD_TRADING_DESCRIPTION_WELL_ROUNDED,Anda mendapat gelaran bergantung kepada jumlah permintaan dan sumbangan anda sepanjang minggu!
TID_NEIGHBORHOOD_TRADING_DESCRIPTION_TOP_OF_THE_CROP,Anda mendapat gelaran bergantung kepada jumlah permintaan dan sumbangan anda sepanjang minggu!
TID_NEIGHBORHOOD_TRADING_DESCRIPTION_LUCKY_TRADER,Anda mendapat gelaran bergantung kepada jumlah permintaan dan sumbangan anda sepanjang minggu!
TID_NEIGHBORHOOD_TRADING_DESCRIPTION_MOTHER_GOOSE,Anda mendapat gelaran bergantung kepada jumlah permintaan dan sumbangan anda sepanjang minggu!
TID_NEIGHBORHOOD_TRADING_DESCRIPTION_RUN_OF_THE_MILL,Anda mendapat gelaran bergantung kepada jumlah permintaan dan sumbangan anda sepanjang minggu!
TID_NEIGHBORHOOD_TRADING_DESCRIPTION_LIGHT_TRADER,Anda mendapat gelaran bergantung kepada jumlah permintaan dan sumbangan anda sepanjang minggu!
TID_NEIGHBORHOOD_INVALID_NAME,Nama tidak sah! Sila cuba yang lain.
TID_NEIGHBORHOOD_TAG,Tag:
TID_NEIGHBORHOOD_TRADING_DONATION_INFO_POPUP_DONATION_TEXT_EMPTY,Anda belum menerima apa-apa lagi. Ingatkan jiran anda untuk menderma!
TID_NEIGHBORHOOD_TRADING_DONATE_FAILED_REQUEST_COMPLETED,Jiran anda sudah menyelesaikan permintaan ini!
TID_ACHIEVEMENT_REWARD_TOOLTIP_REQUEST_BOARD,Papan permintaan baharu di kawasan kejiranan
TID_ACHIEVEMENT_REWARD_TOOLTIP_PATIO,Patio baharu dalam kawasan kejiranan
TID_ACHIEVEMENT_REWARD_TOOLTIP_GATE,Pintu baharu dalam kawasan kejiranan
TID_DECO_CHOCOFOUNTAIN,Air pancut coklat
TID_DECO_BLUEFENCE,Pagar biru
TID_DECO_BALLOONS,Belon
TID_DECO_BOUNCYCASTLE,Istana melantun
TID_DECO_PINATA,Piñata
TID_DECO_BIRTHDAY_DESC,Hiasan hari lahir ke-4 Hay Day
TID_DECO_TRUMPETTREE,Pokok trumpet merah jambu
TID_DECO_WISTERIATREE,Pokok wisteria
TID_DECO_POINCIANATREE,Pokok poinciana diraja
TID_IOS_SUPPORT_ENDING_TITLE,Amaran!
TID_IOS_SUPPORT_ENDING_TEXT,"Atas sebab teknikal, kami terpaksa menamatkan sokongan untuk semua versi iOS lebih rendah daripada <VALUE> dengan kemas kini Hay Day yang seterusnya.\n\nMemandangkan peranti anda sedang menjalankan versi iOS lebih rendah daripada itu, anda tidak boleh bermain Hay Day lagi melainkan anda mengemas kini ke versi iOS terkini. Nota: bukan semua peranti dapat mengemas kini ke versi iOS yang diperlukan (<VALUE> atau lebih tinggi)."
TID_IOS_SUPPORT_ENDING_BUTTON,OK
TID_DECO_FLOWERFENCE,Pagar bunga
TID_DECO_PENCILFENCE,Pagar pensel
TID_BUY_DIAMONDS_ITEM_DECO_AMOUNT,x<VALUE>
TID_HELPERS_COMING_SOON,Pembantu Ladang dibuka kunci pada tahap <LEVEL>
TID_CANNOT_RETURN_HOME_INFO_TITLE,Tidak dapat kembali
TID_CANNOT_RETURN_HOME_INFO_TEXT,"Kami sedang membuat penyelenggaraan pada ladang anda. Maaf atas kesulitan, sila cuba lagi kemudian!"
TID_CANNOT_RETURN_HOME_INFO_BUTTON,OK
TID_LUMBERJACK_TITLE,Tawaran Pembalak!
TID_LUMBERJACK_DESCRIPTION,Pakar dalam memotong pokok & rimbunan yang mati
TID_LUMBERJACK_BUSHES,Rimbunan:
TID_LUMBERJACK_TREES,Pokok:
TID_LUMBERJACK_DIAMONDS_CONFIRMATION,Adakah anda ingin mengambil Pembalak bekerja sekarang?
TID_HELPER_SELECTION_TITLE,Pilih pembantu ladang
TID_HELPER_CARETAKER,Rose
TID_HELPER_MILLER,Ernest
TID_HELPER_HIRE_FIRST_TRY_TEXT,"Gembira bertemu anda! Sebagai sedikit layanan baik orang berjiran, kami menawarkan perkhidmatan selama <NUMBER> hari secara percuma!"
TID_HELPER_FIRST_TRY_BUTTON,"Ok, mari cuba!"
TID_HELPER_HIRE_TEXT,Gembira bekerja bersama anda! Adakah anda ingin mengambil saya bekerja semula?
TID_HELPER_HIRE_OFFER_TEXT,Adakah anda ingin saya terus bekerja? Saya akan berikan diskaun jika anda mengupah saya sekali lagi.\nBaki masa: <TIME>
TID_HELPER_HIRE_FREE_BUTTON,Percuma
TID_HELPER_PRODUCTION_TITLE,<NAME> diupah untuk yang seterusnya
TID_HELPER_PRODUCTION_TAB_ORDER,Sentiasa menyimpan stok
TID_HELPER_PRODUCTION_TAB_STORAGE,Kini dalam stok
TID_HELPER_PRODUCTION_CAPACITY_TITLE,Stok Pembantu
TID_HELPER_PRODUCTION_CAPACITY_TEXT,Jumlah/Maksimum:
TID_HELPER_CARETAKER_CAPACITY,Stok Rose: <COUNT>/<MAX>
TID_HELPER_MILLER_CAPACITY,Stok Ernest: <COUNT>/<MAX>
TID_HELPER_INVENTORY_COUNT,+ <COUNT>
TID_HELPER_TOOLTIP_CARETAKER_INVENTORY_COUNT_TITLE,Stok Rose:
TID_HELPER_TOOLTIP_CARETAKER_INVENTORY_COUNT,<COUNT> x <ITEM>
TID_HELPER_TOOLTIP_MILLER_INVENTORY_COUNT_TITLE,Stok Ernest:
TID_HELPER_TOOLTIP_MILLER_INVENTORY_COUNT,<COUNT> x <ITEM>
TID_HELPER_PRODUCTION_ALERT_TOOLTIP_TITLE,Perlukan lebih banyak <ITEM>!
TID_HELPER_PRODUCTION_ALERT_FLOATER,Perlukan lebih banyak <ITEM> untuk menghasilkan <ITEM2>!
TID_HELPER_PRODUCTION_ALERT_TOOLTIP_TEXT,"NOTA: Jika silo anda mengandungi <NUMBER> tanaman atau kurang, <NAME> tidak akan menggunakannya."
TID_HELPER_PRODUCTION_QUEUE_ITEM_TOOLTIP_TEXT,<NAME> sedang menghasilkan <ITEM>.
TID_HELPER_PRODUCTION_CONFIRM_BUTTON,Sahkan
TID_HELPER_PRODUCTION_ORDER_CAPACITY_TITLE,Giliran Pembantu
TID_HELPER_PRODUCTION_ORDER_CAPACITY_TEXT,Jumlah/Maksimum:
TID_HELPER_PRODUCTION_ORDER_FULL,Giliran pembantu penuh!
TID_HELPER_SELECTION_ALERT_TOOLTIP,<NAME> memerlukan perhatian anda!
TID_HELPER_SELECTION_OK_TOOLTIP,<NAME> sedia untuk membantu.
TID_HELPER_SELECTION_WARNING_TOOLTIP,<NAME> semakin kekurangan sumber!
TID_HELPER_TUTORIAL_INFO_TITLE,Maklumat Pembantu Ladang
TID_HELPER_PRODUCTION_WARNING_TOOLTIP_TITLE,Semakin kekurangan <ITEM>!
TID_STARTER_PACK_1,Pek Permulaan 1
TID_STARTER_PACK_2,Pek Permulaan 2
TID_STARTER_PACK_3,Pek Permulaan 3
