TID,ES
TID_BODY_FADE_DAY,Degradado luminoso
TID_BODY_FADE_SUNSET,Degradado Atardecer
TID_BODY_FADE_NIGHT,Degradado Anochecer
TID_BODY_FASTER_STRIPES_TEAL,Turquesa a rayas
TID_BODY_FASTER_STRIPES_YELLOW,Amarillo a rayas
TID_BODY_FASTER_STRIPES_SALMON,Salmón a rayas
TID_BODY_FASTER_STRIPES_ORANGE,Naranja a rayas
TID_BODY_FLAMEON_PURPLE,Morado con llamas
TID_BODY_FLAMEON_ORANGE,Naranja con llamas
TID_BODY_FLAMEON_GREEN,Verde con llamas
TID_TRAILER_ORIGINAL_WHITE,Madera blanca
TID_TRAILER_ORIGINAL_GREEN,Verde original
TID_TRAILER_ORIGINAL_BLUE,Madera azul
TID_TRAILER_ORIGINAL_SEA_FOAM,Madera aguamarina
TID_TRAILER_ORIGINAL_BROWN,Madera marrón
TID_TRAILER_ORIGINAL_PURPLE,Madera morada
TID_TRAILER_HOTROD_RED,Abierto rojo
TID_TRAILER_HOTROD_YELLOW,Abierto amarillo
TID_TRAILER_HOTROD_GREEN,Abierto verde
TID_TRAILER_HOTROD_BLACK,Abierto negro
TID_TRAILER_HOTROD_MAN_PURPLE,Abierto morado
TID_TRAILER_HOTROD_RAINBOW,Abierto arcoíris
TID_TRAILER_HOTROD_ROOF,Cerrado azul
TID_TRAILER_HOTROD_LOBSTER,Cerrado amarillo
TID_TRAILER_HOTROD_JOKER,Cerrado verde
TID_TRAILER_HOTROD_VINTAGE,Cerrado blanco
TID_TRAILER_WOODEN_FLATBED1,Plataforma clara
TID_TRAILER_WOODEN_FLATBED2,Plataforma oscura
TID_WHEELS_REDAND_GOLD_BLING_GREY,Sofisticado gris
TID_WHEELS_REDAND_GOLD_BLING_RUBBER,Sofisticado amarillo
TID_WHEELS_ORIGINAL_CHROME,Cromado original
TID_WHEELS_ORIGINAL_REF,Sencillo rojo
TID_WHEELS_ORIGINAL_GOLD,Sencillo dorado
TID_WHEELS_ORIGINAL_BROWN,Sencillo verde
TID_WHEELS_ORIGINAL_DARK,Sencillo azul
TID_WHEELS_HOTROD_RED,Bicolor rojo
TID_WHEELS_HOTROD_BLACK,Bicolor negro
TID_WHEELS_HOTROD_WHITE,Bicolor blanco
TID_WHEELS_HOTROD_COPPER,Bicolor cobrizo
TID_WHEELS_HOTROD_TEAL,Bicolor turquesa
TID_WHEELS_SPOKES_CHROME,Llantas cromadas
TID_WHEELS_SPOKES_GOLD,Llantas doradas
TID_WHEELS_SPOKES_JOKER,Llantas moradas
TID_WHEELS_SPOKES_TEAL,Llantas turquesas
TID_WHEELS_SPOKES_BARBIE,Llantas rosas
TID_WHEELS_SPOKES_WOODEN,Llantas marrones
TID_WHEELS_HOT_WHEELS,Amplio
TID_DECO_SHEEPTOY,Balancín de oveja
TID_DECO_PIGTOY,Subibaja de cerditos
TID_DECO_CARTOY,Balancín de tractor
TID_DECO_AGILITYTIRE,Neumático
TID_DECO_SEASONTREE,Árbol de temporada
TID_DECO_ROCKINGUNICORN,Unicornio balancín
TID_DECO_ROUNDABOUT,Carrusel
TID_DECO_TRELLISFENCE,Reja espaldera
TID_DECO_LOGPATH,Sendero de troncos
TID_DECO_WHEELFENCE,Valla de ruedas
TID_DECO_FLOWERPATH,Sendero de flores azules
TID_RENOVATION_CATALOG_TITLE,Elige un catálogo
TID_RENOVATION_CATALOG_STYLE_GUIDE,Libro de estilos
TID_RENOVATION_CATALOG_STYLE_GUIDE_INFO,¡Completa los estilos y gana recompensas!
TID_RENOVATION_CATALOG_STICKER_BOOK,Libro de colecciones
TID_RENOVATION_CATALOG_STICKER_BOOK_INFO,¡Construye todo lo que hayas instalado!
TID_STYLE_GUIDE_PAGE_COLLECT_BUTTON,Recoger
TID_POPUP_PROBABILITY_TITLE,Probabilidades
TID_DECO_DOGBED,Cama para perros
TID_DECO_DOGPOOL,Piscina para perros
TID_DECO_RABBITPOLE,Obstáculo de zanahoria
TID_DECO_ELEPHANTSLIDE,Tobogán de elefante
TID_BODY_FLAMEON_BLACK,Negro con llamas
TID_ROOF_ORIGINAL_VIOLET,Violeta
TID_ROOF_ATTIC_WINDOWS_BROWN,Ático marrón
TID_ROOF_ATTIC_WINDOWS_PINK,Ático rosa
TID_ROOF_ATTIC_WINDOWS_BABY_BLUE,Ático celeste
TID_ROOF_SPIKES_WHITE,Blanco con pinchos
TID_BODY_FASTER_STRIPES_RACING_GREEN,Verde a rayas
TID_PORCH_OVERGROWN,Piedra
TID_PERCENTAGE,<NUMBER> %
TID_ACCOUNT_DISABLED_TEXT,Cuenta desactivada
TID_ACCOUNT_DELETED_ON_REQUEST_TEXT,Esta cuenta se ha desactivado después de que solicitaras eliminarla y no se puede recuperar.
TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT,Esta cuenta se ha desactivado debido a su inactividad y no se puede recuperar.
TID_NATIVE_DIALOG_ACCOUNT_DISABLED_BUTTON,Vale
TID_CUSTOMIZE_SEARCHING,Buscando...
TID_STYLE_GUIDE_PAGE_COLLECTED,¡Completado!
TID_FLOATER_COLLECT_STYLE_INCOMPLETE,Completa este estilo para reclamar tu recompensa.
TID_ACCOUNT_DELETION_WARNING_TITLE,Aviso de eliminación de cuenta
TID_DECO_RAINBOWFLOWERPATH,Sendero de flores
TID_RENOVATOR_COMING_SOON,La decoradora se desbloquea en el nivel <LEVEL>.
TID_RENOVATOR_COMING_SOON_ACHIEVEMENTS,La decoradora se desbloquea con <POINTS> logros.
TID_CUSTOMIZE_RENEWSTOCKTEXT,Los productos se actualizan en
TID_CUSTOMIZE_ARRIVEINTEXT,La decoradora llega en
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_DIAMONDS_V2,"¡Nueva actualización en el App Store! Descárgala ya y consigue <NUMBER> diamantes.\n\nLa actualización puede tardar hasta 1 hora en aparecer en la tienda.\nSi el botón de actualización no aparece, entra en App Store > Actualizaciones para actualizar la pantalla."
TID_RENOVATOR_TUTORIAL1,"¿Soñabas con poder personalizar tu granja aún más? ¡Esta es Maggie, la decoradora!\n\nViene con algunas novedades gratis, así que echemos un vistazo."
TID_RENOVATOR_TUTORIAL2,Maggie vendrá cada lunes con una nueva selección de increíbles opciones a distintos precios. También puedes pagar una pequeña cantidad para ver más opciones.\n\n¿Quieres alguna sugerencia para personalizar tu granja? ¡Pues echa un vistazo a sus catálogos!
TID_RENOVATOR_TUTORIAL3,"Y recuerda que las tarifas que se muestran son por servicio, así que tendrás que pagar por cualquier cambio, incluso si instalas algo que ya tenías antes. Nadie trabaja de gratis, ya sabes.\n\n¡Que te diviertas personalizando tu granja!"
TID_CUSTOMIZE_STYLEGUIDE_UNLOCKDESC,¡Instala las tres piezas al mismo tiempo para conseguir recompensas!
TID_CUSTOMIZE_STYLEGUIDE_COMPLETE,Completado
TID_RENOVATOR_TUTORIAL1_b,¡Toca la mesa de trabajo y ponte a personalizar tu granja!
TID_CUSTOMIZE_FREE_PART,¡Gratis!
TID_CUSTOMIZATION_CATEGORY1,Tejado
TID_CUSTOMIZATION_CATEGORY2,Paredes
TID_CUSTOMIZATION_CATEGORY3,Porche
TID_CUSTOMIZATION_CATEGORY4,Cabina
TID_CUSTOMIZATION_CATEGORY5,Tráiler
TID_CUSTOMIZATION_CATEGORY6,Ruedas
TID_CUSTOMIZATION_CATEGORY7,Cubierta
TID_CUSTOMIZATION_CATEGORY8,Cajas
TID_CUSTOMIZATION_CATEGORY9,Base
TID_DECO_SEASONTREE_DESC,Cambia según la estación del año.
TID_STYLE_GUIDE_SETNAME_TRUCK1,Estilo soleado
TID_STYLE_GUIDE_SETNAME_TRUCK2,Estilo nocturno
TID_STYLE_GUIDE_SETNAME_TRUCK3,Estilo arcoíris
TID_STYLE_GUIDE_SETNAME_TRUCK4,Estilo chicle
TID_STYLE_GUIDE_SETNAME_TRUCK5,Estilo ardiente
TID_STYLE_GUIDE_SETNAME_HOUSE1,Estilo azul
TID_STYLE_GUIDE_SETNAME_HOUSE2,Estilo cabaña
TID_STYLE_GUIDE_SETNAME_HOUSE3,Estilo granero
TID_STYLE_GUIDE_SETNAME_HOUSE4,Estilo casa de invitados
TID_STYLE_GUIDE_SETNAME_HOUSE5,Estilo pintoresco
TID_DECO_FLOWERLOGPATH,Sendero de troncos florido
TID_NOTIFICATIONS_SETTINGS_BUILDERS,De la decoradora
TID_NOTIFICATION_BUILDER_ARRIVED,"¡Ya está aquí Maggie, la decoradora! Echa un vistazo a su nueva selección para personalizar tu granja."
TID_NOTIFICATION_BUILDER_LEAVING,"Maggie, la decoradora, se marchará pronto. ¡Aún puedes personalizar tu granja!"
TID_BASE_ORIGINAL,Madera original
TID_BASE_ORIGINAL_GREEN,Madera verde
TID_BASE_ORIGINAL_PURPLE,Madera morada
TID_BASE_ORIGINAL_GREENBRIGHT,Madera verde oliva
TID_BASE_BUNTING_RED,Banderitas rojas
TID_BASE_BUNTING_PINK,Banderitas rosas
TID_BASE_BUNTING_YELLOWNBLUE,Banderitas coloridas
TID_BASE_BUNTING_BLUE,Banderitas azules
TID_BASE_TILES02_CHECK_ORANGE,Naranja a cuadros
TID_BASE_TILES02_CHECK_BROWN,Marrón a cuadros
TID_BASE_TILES02_CHECK_DARKBLUE,Azul marino a cuadros
TID_BASE_TILES02_CHECK_BLUENWHITE,Azul a cuadros
TID_BASE_TILES02_CHECK_GREENNGREEN,Verde a cuadros
TID_BASE_WOODNSTRAW_YELLOW,Paja amarilla
TID_BASE_WOODNSTRAW_DARK,Paja oscura
TID_BASE_WOODNSTRAW_GREEN,Paja fresca
TID_BASE_TILES03_STONES_ORIGINAL,Piedra
TID_BASE_TILES01_PLAIN_PURPLE,Embaldosado granate
TID_BASE_TILES01_PLAIN_WHITE,Embaldosado blanco
TID_BASE_TILES01_PLAIN_MOODYBLUE,Embaldosado azul
TID_BASE_TILES01_PLAIN_KINDAGREEN,Embaldosado verde oliva
TID_BASE_SANCTUARY,Maleza
TID_CRATES_ORIGINAL,Madera original
TID_CRATES_STRIPED_ORANGE,Naranja a rayas
TID_CRATES_STRIPED_BLUE,Azul a rayas
TID_CRATES_STRIPED_GREEN,Verde a rayas
TID_CRATES_STRIPED_PINKWHITE,Rosa a rayas
TID_CRATES_RAINBOW,Arcoíris
TID_CRATES_WOOD03_LOGS_BROWN,Tablas marrones
TID_CRATES_WOOD03_LOGS_PINK,Tablas rosas
TID_CRATES_WOOD03_LOGS_BLUE,Tablas azules
TID_CRATES_WOOD04_FENCE_WHITE,Valla blanca
TID_CRATES_WOOD04_FENCE_OLDGREEN,Valla verde
TID_CRATES_WOOD04_FENCE_PURPLE,Valla morada
TID_CRATES_WOOD04_FENCE_LIGHTBROWN,Valla marrón
TID_CRATES_CHUNKYPLASTIC_RED,Robusto rojo
TID_CRATES_CHUNKYPLASTIC_BLUEP,Robusto azul
TID_CRATES_CHUNKYPLASTIC_BRIGHT,Robusto colorido
TID_CRATES_CHUNKYPLASTIC_OLDGREEN,Robusto verde
TID_CRATES_CHUNKYPLASTIC_BARBIE,Robusto rosa
TID_CRATES_CHUNKYPLASTIC_WHITE,Robusto marrón
TID_CRATES_CHUNKYPLASTIC_GARDEN,Robusto verdoso
TID_CRATES_CHUNKYPLASTIC_BLUE,Robusto blanco
TID_CRATES_BUNTING_YELLOW,Envoltorio amarillo
TID_CRATES_BUNTING_PINK,Envoltorio rosa
TID_CRATES_BUNTING_GREEN,Envoltorio azul
TID_CRATES_BUNTING_BLUE,Envoltorio verde
TID_CRATES_WOOD05_TARP_YELLOW,Enmarcado amarillo
TID_CRATES_WOOD05_TARP_SALMON,Enmarcado naranja
TID_CRATES_WOOD05_TARP_GREEN,Enmarcado verde
TID_CRATES_WOOD05_TARP_VINTAGE,Enmarcado color pastel
TID_CRATES_WOOD05_TARP_OLIVE,Enmarcado verde oliva
TID_CRATES_ORIGINAL_GREEN,Madera verde
TID_CRATES_ORIGINAL_BLUEDARK,Madera oscura
TID_CRATES_ORIGINAL_PURPLE,Madera morada
TID_MARQUEES_ORIGINAL_PINKYELLOW,Rayas coloridas
TID_MARQUEES_ORIGINAL_BLUEYELLOW,Amarillo a rayas
TID_MARQUEES_ORIGINAL_ORANGEWHITE,Naranja a rayas
TID_MARQUEES_ORIGINAL_PURPLEBLUE,Rayas oscuras
TID_MARQUEES_ORIGINAL_GREENS,Verde a rayas
TID_MARQUEES_ORIGINAL_REDWHITE,Rayas originales
TID_MARQUEES_RAINBOW,Arcoíris
TID_MARQUEES_RAINBOW02,Arcoíris oscuro
TID_MARQUEES_STRAW_YELLOW,Paja amarilla
TID_MARQUEES_STRAW1_PINK,Paja rosa
TID_MARQUEES_STRAW1_GREEN,Paja oscura
TID_MARQUEES_STRAW1_DARK,Paja fresca
TID_MARQUEES_TILES_BLACK,Negro suave
TID_MARQUEES_TILES01_PURPLE,Morado suave
TID_MARQUEES_TILES01_KINDARED,Rojo suave
TID_MARQUEES_TILES01_GREEN,Verde suave
TID_MARQUEES_TILES01_BLUE,Azul suave
TID_MARQUEES_UMBRELLA01_RED,Sombrilla roja
TID_MARQUEES_UMBRELLA01_BLUE,Sombrilla azul
TID_MARQUEES_UMBRELLA01_GREEN,Sombrilla verde
TID_MARQUEES_UMBRELLA01_BLUPLE,Sombrilla morada
TID_MARQUEES_UMBRELLA01_BRIGHT,Sombrilla colorida
TID_MARQUEES_UMBRELLA01_YELLOW,Sombrilla amarilla
TID_MARQUEES_UMBRELLA01_BARBIE,Sombrilla rosa
TID_MARQUEES_WOOD02_PLANKS_KINDARED,Madera roja
TID_MARQUEES_WOOD02_PLANKS_GREEN,Madera verde
TID_MARQUEES_WOOD02_PLANKS_SPOOKY_PURPLE,Madera morada
TID_MARQUEES_WOOD02_PLANKS_BLACK,Madera negra
TID_MARQUEES_WOOD02_PLANKS_BLUE,Madera azul
TID_MARQUEES_WOOD02_PLANKS_BROWN,Madera marrón
TID_MARQUEES_WOOD02_PLANKS_LIGHT_BROWN,Madera clara
TID_MARQUEES_WOOD01_PLANKS_DARK,Tablas oscuras
TID_MARQUEES_WOOD01_BROWN,Tablas
TID_MARQUEES_SANCTUARY_YELLOW,Lona amarilla
TID_MARQUEES_SANCTUARY_PINK,Lona rosa
TID_MARQUEES_SANCTUARY_VINTAGE,Lona color pastel
TID_MARQUEES_SANCTUARY_OLIVE,Lona verde oliva
TID_MARQUEES_BUNTING_RED,Banderitas rojas
TID_MARQUEES_BUNTING_PINK,Banderitas rosas
TID_MARQUEES_BUNTING_YELLOWBLUE,Banderitas amarillas
TID_MARQUEES_BUNTING_BLUE,Banderitas azules
TID_FEATURE_BUILDER,Decoradora
TID_ERROR_POP_UP_ACCOUNT_LOCKED_BUTTON_CONTACT_PS,Asistencia técnica
TID_ERROR_POP_UP_ACCOUNT_LOCKED_BUTTON_CANCEL,Cancelar
TID_ERROR_POP_UP_BANNED_BUTTON_CANCEL,Cancelar
TID_STYLE_GUIDE_SETNAME_ROADSIDE1,Estilo festivalero
TID_STYLE_GUIDE_SETNAME_ROADSIDE2,Estilo rústico
TID_STYLE_GUIDE_SETNAME_ROADSIDE3,Estilo arcoíris
TID_STYLE_GUIDE_SETNAME_ROADSIDE4,Estilo pastel
TID_STYLE_GUIDE_SETNAME_ROADSIDE5,Estilo mercado
TID_FRUIT_TREE_HUD_HELP_ALREADY_REQUESTED,Letrero de ayuda colocado. ¡Pide ayuda a tus amigos!
TID_CUSTOMIZE_TITLE_VISITING,Catálogos
TID_TOWNHALL_SETTINGS_TITLE,Ajustes
TID_TOWNHALL_SORTING_SETTINGS_ALL_TAB,Orden de la pestaña Todos
TID_TOWNHALL_SORTING_SETTINGS_IDLE_TAB,Orden de la pestaña Libre
TID_TOWNHALL_SORTING_SETTINGS_SERVING_TAB,Orden de la pestaña Sirviendo
TID_TOWNHALL_SORTING_SETTINGS_READY_TAB,Orden de la pestaña Listo
TID_TOWNHALL_SORTING_SETTINGS_WAITING_TAB,Orden de la pestaña En espera
TID_TOWNHALL_SORTING_SETTINGS_SERVING_TIME_LEFT,Por tiempo restante
TID_TOWNHALL_SORTING_SETTINGS_NUMBER_OF_BUILDINGS_LEFT,Por número de establecimientos restantes
TID_TOWNHALL_SORTING_SETTINGS_BUILDING_TYPE,Por tipo de establecimiento
TID_TOWNHALL_SORTING_SETTINGS_PASSENGER_TYPE,Por tipo de visitante
TID_FLOATER_COMPLETE_TASK_AND_CLAIM_REWARDS_AFTER_DERBY,Completa al menos una tarea del derbi para reclamar tus recompensas cuando el derbi finalice.
TID_DERBY_REWARDS_BUTTON_DISMISS,Vale
TID_DERBY_OVER_REWARDS_KEYS_TEXT_COMPLETE_MORE_TASKS,¡Completa una tarea del derbi para reclamar tus recompensas!
TID_DERBY_OVER_TEXT_PRIZE_COMPLETE_MORE_TASKS,¡Tu vecindario está entre los tres mejores! Tus vecinos completaron tareas y recibieron recompensas asombrosas. Completa al menos una tarea del próximo derbi para reclamar las recompensas de los tres mejores.
TID_DERBY_OVER_BUTTON_COMPLETE_MORE_TASKS,Vale
TID_TACKLE_BOX_FULL_DESCRIPTION_AT_HOME_FARM,¡No cabe nada más en la caja de pesca! Ve a la zona de pesca y mejórala para tener más espacio.
TID_TACKLE_BOX_FULL_BUTTON,Vale
TID_NEIGHBORHOOD_EDIT_TAGS,Editar etiquetas
TID_NHSEARCH_TAGCOUNT,<SELECTED> de <MAX> etiquetas seleccionadas
TID_NHSEARCH_EDIT_TAGS_BUTTON_ADD,Vale
TID_NHRECOMMENDED_TITLE,Únete a un vecindario
TID_NHRECOMMENDED_INFO1,"Chatea, comercia y juega al derbi con otros"
TID_NHRECOMMENDED_DESC,¡Diversión asegurada!
TID_NHEDIT_TITLEMOTTO,Descripción:
TID_NHEDIT_MOTODESC,Solo se verá en la página de información del vecindario y en los recomendados.
TID_NHEDIT_TITLEDESC,Información adicional:
TID_NHEDIT_DESCDESC,Solo se verá en la página de información del vecindario.
TID_NHEDIT_TAGTITLE,Etiquetas:
TID_NH_TAGCLOUD_TITLE,Seleccionar etiquetas
TID_NH_TAGCLOUD_DESC,¡Añade etiquetas para que tu vecindario sea más fácil de encontrar!
TID_NHSEARCH_MEMBERS,Miembros:
TID_NAME_YOUR_PET,Ponle nombre a este animal
TID_NAME_YOUR_PET_FAILED,¡NOMBRE NO VÁLIDO!
TID_NHPAGE_TITLE_DESC,Información adicional:
TID_NHSEARCH_JOINTYPE,Tipo
TID_NHSEARCH_LANGUAGE,Idioma del chat
TID_NHSEARCH_DERBYLEAGUE,Liga del derbi
TID_NHSEARCH_TAGS,Etiquetas
TID_ADVANCED_SEARCH,Opciones avanzadas
TID_NH_INFO_MEMBERS,Miembros:
TID_NH_INFO_TYPE,Acceso:
TID_NH_INFO_REQUIRED_LEVEL,Nivel necesario:
TID_NH_INFO_LANGUAGE,Idioma:
TID_NH_INFO_DERBYLOG,Registro del derbi:
TID_NH_INFO_DERBYLEAGUE,Liga del derbi:
TID_POPUPCATALOG_BUYBACK_TITLE,¿Instalar <PART>?
TID_POPUPCATALOG_BUYBACK_DESC,<NAME>
TID_POPUPCATALOG_BUYBACK_BUTTON_BUILD_AGAIN,Volver a instalar
TID_CATALOG_BUYBACK,Volver a instalar
TID_FLOATER_STICKER_BOOK_ITEM_ALREADY_INSTALLED,¡Instalación de <PARAM> completada!
TID_FLOATER_BUILDER_ARRIVES_IN,La decoradora llega en <TIME>.
TID_LEAGUE_ANY,Cualquiera
TID_LANGUAGE_ANY,Cualquiera
TID_JOINTYPE_ANY,Cualquiera
TID_NEIGHBORHOOD_TAB_INFO,Información
TID_NEIGHBORHOOD_TAB_SEARCH,Buscar
TID_NEIGHBORHOOD_TAB_CREATE,Crear
TID_NEIGHBORHOOD_TAB_TROPHIES,Trofeos
TID_NEIGHBORHOOD_TAB_MEMBERS,Miembros
TID_NEIGHBORHOOD_TAB_RECOMMENDED,Recomendados
TID_NHSEARCH_PROMPT,Busca por el nombre del vecindario o por etiquetas
TID_NHTAG_CHATTY,Animado
TID_NHTAG_QUIET,Tranquilo
TID_NHTAG_INTERNATIONAL,Internacional
TID_NHTAG_DERBYFOCUSED,Derbi intenso
TID_NHTAG_DERBYCASUAL,Derbi relajado
TID_NHTAG_DERBY320,Derbi: Solo 320
TID_NHTAG_LOVESTOWN,Jugadores del pueblo
TID_NHTAG_HELPERS,Ayudantes
TID_NHTAG_TRADERS,Comerciantes
TID_ACCOUNT_DELETION_WARNING_TEXT,Solicitaste que se eliminara esta cuenta. Tienes <TIME> para cancelar el proceso.
TID_NEIGHBORHOOD_SEARCH_ADVANCED_OPTIONS_INFO,"Selecciona las opciones avanzadas para filtrar por idioma, liga del derbi o etiquetas."
TID_JOINTYPE_ONLY_JOINABLE,Solo a los que puedo unirme
TID_NHTAG_DERBYANY,Derbi: Cualquier tarea
TID_NHTAG_FUN,Divertido
TID_NHTAG_ACTIVE,Activo
TID_NHTAG_COMPETITIVE,Competitivo
TID_MINT,Menta
TID_WATERMELON,Sandía
TID_BELLPEPPER,Pimiento
TID_PLUMTREE,Ciruelo
TID_PLUM,Ciruela
TID_PRODUCT_VEGGIEDIPS,Crudités
TID_PRODUCT_MINTICECREAM,Helado de menta
TID_PRODUCT_PEPPERSOUP,Sopa de pimiento
TID_PRODUCT_MINTTEA,Té de menta
TID_PRODUCT_WATERMELONLEMONADE,Zumo de sandía
TID_PRODUCT_PLUMJAM,Mermelada de ciruela
TID_PRODUCT_PLUMSMOOTHIE,Batido de ciruela
TID_NEIGHBORHOOD_PROFANITIES_IN_MOTTO,¡Texto no válido!
TID_DECO_AXESTUMP,Tocón con hacha
TID_DECO_WITCHCAT,Bruja felina
TID_DECO_PRODUCECRATES,Productos agrícolas
TID_DECO_RAKE,Rastrillo
TID_DECO_LEAFPILE,Pila de hojas
TID_DECO_MUSHROOMPATH,Sendero de setas
TID_DECO_BEACHSIGN,Letrero de playa
TID_DECO_COOLER,Nevera portátil
TID_DECO_FISHFLOATIE,Flotador de pez
TID_DECO_SANDPATH,Camino de arena
TID_DECO_SURFBOARDFENCE,Valla de tablas de surf
TID_DECO_PINWHEEL,Molinete
TID_DECO_DECOH,H decorativa
TID_DECO_DECOA,A decorativa
TID_DECO_DECOY,Y decorativa
TID_DECO_DECOD,D decorativa
TID_DERBY_BLOSSOM_TASK_TITLE,Tarea floreciente
TID_DERBY_BLOSSOM_TASK_DESC,¡Esta tarea vuelve a aparecer en el tablón y otorga puntos adicionales al completarla!
TID_ADD_MORE_NH_MEMBERS_DETAILS,Invita a otros jugadores a unirse y actualiza las etiquetas de tu vecindario para que los demás puedan encontrarlo.
TID_ADD_NH_MEMBERS_PROMPT,¡Los vecinos son el alma del vecindario!
TID_NHINFO_TAGTITLE,Etiquetas:
TID_HELPSHIFT_REQUIRES_OPTIONAL_UPDATE,Actualiza Hay Day para contactar al equipo de asistencia.
TID_CATALOG_BUYBACK_INSTALLED,Ya instalado
TID_PLUM_TREE_FB_HELP_TEXT,"Necesito regar mi ciruelo, ¡es urgente! ¿Puedes ayudarme?"
TID_PRODUCT_PLUM_DESCRIPTION,Se recoge del ciruelo.
TID_TREE_PLUMTREE_DESCRIPTION,Puedes recoger hasta tres veces.
TID_NEIGHBORHOOD_TASK_RESERVE_FAILED_TEXT_ALREADY_PICKED_ONCE,Ya seleccionaste esta tarea. ¡Pídele a tus vecinos que la completen!
TID_CUSTOMIZE_BTN_STYLE_INFO_TOOLTIP,Este artículo es parte de un estilo. ¡Echa un vistazo al libro de estilos para ver más!
TID_NH_INFO_TYPE_SHORT,Tipo
TID_BOOSTER_MORE_CASH,Más monedas
TID_BOOSTER_DESCRIPTION_MORE_CASH,"Los pedidos de los visitantes de la granja, de la camioneta, del barco y del pueblo te darán un <NUMBER> % más de monedas durante <TIME> horas."
TID_BOOSTER_HEAVIER_FISH,Peces gordos
TID_BOOSTER_DESCRIPTION_HEAVIER_FISH,Pesca peces un <NUMBER> % más pesados durante <TIME> horas.
TID_BOOSTER_MINING_MORE_ORES,Más minerales
TID_BOOSTER_DESCRIPTION_MINING_MORE_ORES_MULTIPLE,"Durante <TIME> minutos, las herramientas de la mina extraerán minerales extras (<NUMBER> más)."
TID_CALENDAR_EVENT_PEOPLE_SPECIAL_REQUEST_TITLE,Mercadillo
TID_CALENDAR_EVENT_PEOPLE_ORDER_SPECIAL_REQUEST_TEXT,¡Soplan aires de cambio! Los visitantes de tu granja están interesados en comprar adornos durante este evento. Almacena los adornos que no quieras para venderlos.
TID_NOTIFICATIONS_SETTINGS_LIVE_SHOP_OFFERS,Notificaciones de la tienda
TID_NEIGHBORHOOD_DERBY,Derbi de vecindarios
TID_NEIGHBORHOOD_ONLINE_MEMBER_COUNT,<ONLINE> de <MAX> vecinos conectados
TID_VISITOR_HELP_RECEIVED_FROM_FRIEND,¡<PARAM> ha ayudado a tu visitante!
TID_VISITOR_HELP_RECEIVED_FROM_ANONYMOUS,¡Alguien ha ayudado a tu visitante!
TID_STREAM_EVENT_VISITOR_HELP_REQUESTED,¡Necesito ayuda en el pueblo!
TID_BOOSTER_DESCRIPTION_MINING_MORE_ORES_SINGLE,"Durante <TIME> minutos, las herramientas de la mina extraerán <NUMBER> minerales más."
TID_BODY_RUSTY_YELLOW,Amarillo oxidado
TID_BODY_RUSTY_RED,Rojo oxidado
TID_BODY_RUSTY_BLUE,Azul oxidado
TID_BODY_RUSTY_PINK,Rosa oxidado
TID_CANNOT_OPEN_CALENDAR_EVENT_GIFT_BOX,¡Ya falta poco! Vuelve en <NUMBER> día(s) para abrir el regalo.
TID_CALENDAR_EVENT_GIFT_BOX_ALREADY_OPENED,¡Ya has abierto este regalo!
TID_STYLE_GUIDE_SETNAME_HOUSE6,Estilo adorable
TID_STYLE_GUIDE_SETNAME_HOUSE7,Estilo cabaña de pesca
TID_STYLE_GUIDE_SETNAME_TRUCK6,Estilo retro
TID_STYLE_GUIDE_SETNAME_TRUCK7,Estilo rojo
TID_STYLE_GUIDE_SETNAME_ROADSIDE6,Estilo veraniego
TID_STYLE_GUIDE_SETNAME_ROADSIDE7,Estilo azul
TID_STREAM_EVENT_TRUCK_ORDER_HELP_REQUESTED,¡Necesito ayuda con un pedido de la camioneta!
TID_TRUCK_ORDER_HELP_RECEIVED_FROM_FRIEND,¡<PARAM> te ha ayudado con el pedido de la camioneta!
TID_TRUCK_ORDER_HELP_RECEIVED_FROM_ANONYMOUS,¡Alguien te ha ayudado con el pedido de la camioneta!
TID_ORDER_TABLE_WAITING_TEXT_REQUEST_HELP,Esta persona no necesita ayuda con este pedido.
TID_TRUCK_ORDER_EXTRA_HELP_JOIN_A_NEIGHBORHOOD,¡Únete a un vecindario para ayudar!
TID_TRUCK_ORDER_EXTRA_HELP_INVITE_NEIGHBORHOOD,Invita a <PARAM> a unirse a tu vecindario para recibir ayuda con los pedidos de la camioneta.
TID_TRUCK_ORDER_EXTRA_HELP_JOIN_THIS_NEIGHBORHOOD,¡Únete a su vecindario para poder ayudarle!
TID_VISITOR_HELP_EXTRA_HELP_JOIN_A_NEIGHBORHOOD,¡Únete a un vecindario para ayudar!
TID_VISITOR_HELP_EXTRA_HELP_INVITE_NEIGHBORHOOD,Invita a <PARAM> a unirse a tu vecindario para recibir ayuda con los visitantes.
TID_VISITOR_HELP_EXTRA_HELP_JOIN_THIS_NEIGHBORHOOD,¡Únete a su vecindario para poder ayudarle!
TID_VISITOR_EXTRA_HELP_POPUP_NEIGHBORHOOD_CONFIRM_BUTTON_OK,Vale
TID_VISITOR_EXTRA_HELP_POPUP_NEIGHBORHOOD_TITLE,Ayuda extra
TID_VISITOR_EXTRA_HELP_POPUP_NEIGHBORHOOD_DESCRIPTION,Únete a un vecindario para recibir ayuda con los visitantes.
