Name,Rewards,RewardAmounts,Probabilities
DerbyRewardSet5_35_pro,FasterBoats_lv2,1,40
,FasterCrops1_lv2,1,40
,FasterCrops2_lv2,1,40
,FasterCrops3_lv2,1,40
,FasterCrops4_lv2,1,40
,FasterTom_lv2,1,40
,FasterBuildings1_lv2,1,40
,FasterBuildings2_lv2,1,40
,FasterBuildings3_lv2,1,40
,FasterBuildings4_lv2,1,40
,FasterTrees_lv2,1,40
,FasterBushes_lv2,1,40
,FreeTom_lv2,1,40
,FreeRose_lv2,1,40
,FreeErnest_lv2,1,40
,EasierBoats_lv2,1,40
,FasterBoats_lv3,1,80
,FasterCrops1_lv3,1,80
,FasterCrops2_lv3,1,80
,FasterCrops3_lv3,1,80
,FasterCrops4_lv3,1,80
,FasterTom_lv3,1,80
,FasterBuildings1_lv3,1,80
,FasterBuildings2_lv3,1,80
,FasterBuildings3_lv3,1,80
,FasterBuildings4_lv3,1,80
,FasterTrees_lv3,1,80
,FasterBushes_lv3,1,80
,FreeTom_lv3,1,60
,FreeRose_lv3,1,80
,FreeErnest_lv3,1,80
,EasierBoats_lv3,1,80
,FasterBoats_lv4,1,6
,FasterCrops1_lv4,1,6
,FasterCrops2_lv4,1,6
,FasterCrops3_lv4,1,6
,FasterCrops4_lv4,1,6
,FasterTom_lv4,1,6
,FasterBuildings1_lv4,1,6
,FasterBuildings2_lv4,1,6
,FasterBuildings3_lv4,1,6
,FasterBuildings4_lv4,1,6
,FasterTrees_lv4,1,6
,FasterBushes_lv4,1,6
,FreeTom_lv4,1,6
,FreeRose_lv4,1,6
,FreeErnest_lv4,1,6
,EasierBoats_lv4,1,6
DerbyRewardSet5_35_expert,FasterBoats_lv3,1,15
,FasterCrops1_lv3,1,15
,FasterCrops2_lv3,1,15
,FasterCrops3_lv3,1,15
,FasterCrops4_lv3,1,15
,FasterTom_lv3,1,15
,FasterBuildings1_lv3,1,15
,FasterBuildings2_lv3,1,15
,FasterBuildings3_lv3,1,15
,FasterBuildings4_lv3,1,15
,FasterTrees_lv3,1,15
,FasterBushes_lv3,1,15
,FreeTom_lv3,1,15
,FreeRose_lv3,1,15
,FreeErnest_lv3,1,15
,EasierBoats_lv3,1,15
,FasterBoats_lv4,1,30
,FasterCrops1_lv4,1,30
,FasterCrops2_lv4,1,30
,FasterCrops3_lv4,1,30
,FasterCrops4_lv4,1,30
,FasterTom_lv4,1,30
,FasterBuildings1_lv4,1,30
,FasterBuildings2_lv4,1,30
,FasterBuildings3_lv4,1,30
,FasterBuildings4_lv4,1,30
,FasterTrees_lv4,1,30
,FasterBushes_lv4,1,30
,FreeTom_lv4,1,30
,FreeRose_lv4,1,30
,FreeErnest_lv4,1,30
,EasierBoats_lv4,1,30
,FasterBoats_lv5,1,2
,FasterCrops1_lv5,1,2
,FasterCrops2_lv5,1,2
,FasterCrops3_lv5,1,2
,FasterCrops4_lv5,1,2
,FasterTom_lv5,1,2
,FasterBuildings1_lv5,1,2
,FasterBuildings2_lv5,1,2
,FasterBuildings3_lv5,1,2
,FasterBuildings4_lv5,1,2
,FasterTrees_lv5,1,2
,FasterBushes_lv5,1,2
,FreeTom_lv5,1,2
,FreeRose_lv5,1,2
,FreeErnest_lv5,1,2
,EasierBoats_lv5,1,2
DerbyRewardSet5_35_champions,FasterBoats_lv4,1,20
,FasterCrops1_lv4,1,20
,FasterCrops2_lv4,1,20
,FasterCrops3_lv4,1,20
,FasterCrops4_lv4,1,20
,FasterTom_lv4,1,20
,FasterBuildings1_lv4,1,20
,FasterBuildings2_lv4,1,20
,FasterBuildings3_lv4,1,20
,FasterBuildings4_lv4,1,20
,FasterTrees_lv4,1,20
,FasterBushes_lv4,1,20
,FreeTom_lv4,1,20
,FreeRose_lv4,1,20
,FreeErnest_lv4,1,20
,EasierBoats_lv4,1,20
,FasterBoats_lv5,1,3
,FasterCrops1_lv5,1,1
,FasterCrops2_lv5,1,1
,FasterCrops3_lv5,1,1
,FasterCrops4_lv5,1,1
,FasterTom_lv5,1,1
,FasterBuildings1_lv5,1,1
,FasterBuildings2_lv5,1,1
,FasterBuildings3_lv5,1,1
,FasterBuildings4_lv5,1,1
,FasterTrees_lv5,1,1
,FasterBushes_lv5,1,1
,FreeTom_lv5,1,1
,FreeRose_lv5,1,1
,FreeErnest_lv5,1,1
,EasierBoats_lv5,1,1
DerbyRewardSet8_35_expert,FasterBoats_lv3,1,15
,FasterCrops1_lv3,1,15
,FasterCrops2_lv3,1,15
,FasterCrops3_lv3,1,15
,FasterCrops4_lv3,1,15
,FasterTom_lv3,1,15
,FasterBuildings1_lv3,1,15
,FasterBuildings2_lv3,1,15
,FasterBuildings3_lv3,1,15
,FasterBuildings4_lv3,1,15
,FasterTrees_lv3,1,15
,FasterBushes_lv3,1,15
,FreeTom_lv3,1,15
,FreeRose_lv3,1,15
,FreeErnest_lv3,1,15
,EasierBoats_lv3,1,15
,FasterBoats_lv4,1,30
,FasterCrops1_lv4,1,30
,FasterCrops2_lv4,1,30
,FasterCrops3_lv4,1,30
,FasterCrops4_lv4,1,30
,FasterTom_lv4,1,30
,FasterBuildings1_lv4,1,30
,FasterBuildings2_lv4,1,30
,FasterBuildings3_lv4,1,30
,FasterBuildings4_lv4,1,30
,FasterTrees_lv4,1,30
,FasterBushes_lv4,1,30
,FreeTom_lv4,1,30
,FreeRose_lv4,1,30
,FreeErnest_lv4,1,30
,EasierBoats_lv4,1,30
,FasterBoats_lv5,1,3
,FasterCrops1_lv5,1,3
,FasterCrops2_lv5,1,3
,FasterCrops3_lv5,1,3
,FasterCrops4_lv5,1,3
,FasterTom_lv5,1,3
,FasterBuildings1_lv5,1,3
,FasterBuildings2_lv5,1,3
,FasterBuildings3_lv5,1,3
,FasterBuildings4_lv5,1,3
,FasterTrees_lv5,1,3
,FasterBushes_lv5,1,3
,FreeTom_lv5,1,3
,FreeRose_lv5,1,3
,FreeErnest_lv5,1,3
,EasierBoats_lv5,1,3
DerbyRewardSet8_35_champions,FasterBoats_lv4,1,30
,FasterCrops1_lv4,1,30
,FasterCrops2_lv4,1,30
,FasterCrops3_lv4,1,30
,FasterCrops4_lv4,1,30
,FasterTom_lv4,1,30
,FasterBuildings1_lv4,1,30
,FasterBuildings2_lv4,1,30
,FasterBuildings3_lv4,1,30
,FasterBuildings4_lv4,1,30
,FasterTrees_lv4,1,30
,FasterBushes_lv4,1,30
,FreeTom_lv4,1,30
,FreeRose_lv4,1,30
,FreeErnest_lv4,1,30
,EasierBoats_lv4,1,30
,FasterBoats_lv5,1,2
,FasterCrops1_lv5,1,2
,FasterCrops2_lv5,1,2
,FasterCrops3_lv5,1,2
,FasterCrops4_lv5,1,2
,FasterTom_lv5,1,2
,FasterBuildings1_lv5,1,2
,FasterBuildings2_lv5,1,2
,FasterBuildings3_lv5,1,2
,FasterBuildings4_lv5,1,2
,FasterTrees_lv5,1,2
,FasterBushes_lv5,1,2
,FreeTom_lv5,1,2
,FreeRose_lv5,1,2
,FreeErnest_lv5,1,2
,EasierBoats_lv5,1,2
BINGODerbyRewardSet_1_rookie,Plank,1,2
,Nail,1,2
,Bolt,1,2
,Screw,1,2
,Duct Tape,1,2
,Wood Panel,1,2
,Land Deed,1,2
,Mallet,1,2
,Marker Stake,1,2
,Voucher1,1,1
,Voucher2,1,1
,Voucher3,1,1
,Voucher4,1,1
,FreeDiamonds,5,1
,Puzzle Piece 1,1,5
,Expansion Key,1,4
,FasterTom_lv4,1,1
,FreeTom_lv4,1,1
,FreeRose_lv4,1,1
,FreeErnest_lv4,1,1
,EasierBoats_lv4,1,1
BINGODerbyRewardSet_1_novice,Plank,1,2
,Nail,1,2
,Bolt,1,2
,Screw,1,2
,Duct Tape,1,2
,Wood Panel,1,2
,Land Deed,1,2
,Mallet,1,2
,Marker Stake,1,2
,Voucher1,1,1
,Voucher2,1,1
,Voucher3,1,1
,Voucher4,1,1
,FreeDiamonds,5,1
,Puzzle Piece 1,1,5
,Expansion Key,1,4
,FasterTom_lv4,1,1
,FreeTom_lv4,1,1
,FreeRose_lv4,1,1
,FreeErnest_lv4,1,1
,EasierBoats_lv4,1,1
BINGODerbyRewardSet_1_professional,Plank,2,2
,Nail,2,2
,Bolt,2,2
,Screw,2,2
,Duct Tape,2,2
,Wood Panel,2,2
,Land Deed,2,2
,Mallet,2,2
,Marker Stake,2,2
,Voucher1,2,1
,Voucher2,2,1
,Voucher3,2,1
,Voucher4,2,1
,FreeDiamonds,5,1
,Puzzle Piece 1,1,5
,Expansion Key,1,4
,FasterTom_lv4,1,1
,FreeTom_lv4,1,1
,FreeRose_lv4,1,1
,FreeErnest_lv4,1,1
,EasierBoats_lv4,1,1
BINGODerbyRewardSet_1_expert,Plank,2,6
,Nail,2,6
,Bolt,2,6
,Screw,2,6
,Duct Tape,2,6
,Wood Panel,2,6
,Land Deed,2,6
,Mallet,2,6
,Marker Stake,2,6
,Voucher1,2,3
,Voucher2,2,3
,Voucher3,2,3
,Voucher4,2,3
,FreeDiamonds,5,2
,Puzzle Piece 1,1,15
,Expansion Key,1,12
,FasterTom_lv4,1,2
,FreeTom_lv4,1,2
,FreeRose_lv4,1,2
,FreeErnest_lv4,1,2
,EasierBoats_lv4,1,2
,FasterTom_lv5,1,1
,FreeTom_lv5,1,1
,FreeRose_lv5,1,1
,FreeErnest_lv5,1,1
,EasierBoats_lv5,1,1
BINGODerbyRewardSet_1_champions,Plank,3,6
,Nail,3,6
,Bolt,3,6
,Screw,3,6
,Duct Tape,3,6
,Wood Panel,3,6
,Land Deed,3,6
,Mallet,3,6
,Marker Stake,3,6
,Voucher1,3,3
,Voucher2,3,3
,Voucher3,3,3
,Voucher4,3,3
,FreeDiamonds,5,2
,Puzzle Piece 1,1,15
,Expansion Key,1,12
,FasterTom_lv4,1,1
,FreeTom_lv4,1,1
,FreeRose_lv4,1,1
,FreeErnest_lv4,1,1
,EasierBoats_lv4,1,1
,FasterTom_lv5,1,2
,FreeTom_lv5,1,2
,FreeRose_lv5,1,2
,FreeErnest_lv5,1,2
,EasierBoats_lv5,1,2
BINGODerbyRewardSet_2_rookie,Plank,2,2
,Nail,2,2
,Bolt,2,2
,Screw,2,2
,Duct Tape,2,2
,Wood Panel,2,2
,Land Deed,2,2
,Mallet,2,2
,Marker Stake,2,2
,Voucher1,2,1
,Voucher2,2,1
,Voucher3,2,1
,Voucher4,2,1
,FreeDiamonds,5,1
,Puzzle Piece 1,1,5
,Expansion Key,1,4
,FasterTom_lv4,1,1
,FreeTom_lv4,1,1
,FreeRose_lv4,1,1
,FreeErnest_lv4,1,1
,EasierBoats_lv4,1,1
BINGODerbyRewardSet_2_novice,Plank,2,2
,Nail,2,2
,Bolt,2,2
,Screw,2,2
,Duct Tape,2,2
,Wood Panel,2,2
,Land Deed,2,2
,Mallet,2,2
,Marker Stake,2,2
,Voucher1,2,1
,Voucher2,2,1
,Voucher3,2,1
,Voucher4,2,1
,FreeDiamonds,5,1
,Puzzle Piece 1,1,5
,Expansion Key,1,4
,FasterTom_lv4,1,1
,FreeTom_lv4,1,1
,FreeRose_lv4,1,1
,FreeErnest_lv4,1,1
,EasierBoats_lv4,1,1
BINGODerbyRewardSet_2_professional,Plank,3,2
,Nail,3,2
,Bolt,3,2
,Screw,3,2
,Duct Tape,3,2
,Wood Panel,3,2
,Land Deed,3,2
,Mallet,3,2
,Marker Stake,3,2
,Voucher1,3,1
,Voucher2,3,1
,Voucher3,3,1
,Voucher4,3,1
,FreeDiamonds,5,1
,Puzzle Piece 1,1,5
,Expansion Key,1,4
,FasterTom_lv4,1,1
,FreeTom_lv4,1,1
,FreeRose_lv4,1,1
,FreeErnest_lv4,1,1
,EasierBoats_lv4,1,1
BINGODerbyRewardSet_2_expert,Plank,3,6
,Nail,3,6
,Bolt,3,6
,Screw,3,6
,Duct Tape,3,6
,Wood Panel,3,6
,Land Deed,3,6
,Mallet,3,6
,Marker Stake,3,6
,Voucher1,3,3
,Voucher2,3,3
,Voucher3,3,3
,Voucher4,3,3
,FreeDiamonds,5,2
,Puzzle Piece 1,1,15
,Expansion Key,1,12
,FasterTom_lv4,1,2
,FreeTom_lv4,1,2
,FreeRose_lv4,1,2
,FreeErnest_lv4,1,2
,EasierBoats_lv4,1,2
,FasterTom_lv5,1,1
,FreeTom_lv5,1,1
,FreeRose_lv5,1,1
,FreeErnest_lv5,1,1
,EasierBoats_lv5,1,1
BINGODerbyRewardSet_2_champions,Plank,4,6
,Nail,4,6
,Bolt,4,6
,Screw,4,6
,Duct Tape,4,6
,Wood Panel,4,6
,Land Deed,4,6
,Mallet,4,6
,Marker Stake,4,6
,Voucher1,4,3
,Voucher2,4,3
,Voucher3,4,3
,Voucher4,4,3
,FreeDiamonds,5,2
,Puzzle Piece 1,1,15
,Expansion Key,1,12
,FasterTom_lv4,1,1
,FreeTom_lv4,1,1
,FreeRose_lv4,1,1
,FreeErnest_lv4,1,1
,EasierBoats_lv4,1,1
,FasterTom_lv5,1,2
,FreeTom_lv5,1,2
,FreeRose_lv5,1,2
,FreeErnest_lv5,1,2
,EasierBoats_lv5,1,2
BINGODerbyRewardSet_3_rookie,Plank,3,2
,Nail,3,2
,Bolt,3,2
,Screw,3,2
,Duct Tape,3,2
,Wood Panel,3,2
,Land Deed,3,2
,Mallet,3,2
,Marker Stake,3,2
,Voucher1,3,1
,Voucher2,3,1
,Voucher3,3,1
,Voucher4,3,1
,FreeDiamonds,5,1
,Puzzle Piece 1,1,5
,Expansion Key,1,4
,FasterTom_lv4,1,1
,FreeTom_lv4,1,1
,FreeRose_lv4,1,1
,FreeErnest_lv4,1,1
,EasierBoats_lv4,1,1
BINGODerbyRewardSet_3_novice,Plank,3,2
,Nail,3,2
,Bolt,3,2
,Screw,3,2
,Duct Tape,3,2
,Wood Panel,3,2
,Land Deed,3,2
,Mallet,3,2
,Marker Stake,3,2
,Voucher1,3,1
,Voucher2,3,1
,Voucher3,3,1
,Voucher4,3,1
,FreeDiamonds,5,1
,Puzzle Piece 1,1,5
,Expansion Key,1,4
,FasterTom_lv4,1,1
,FreeTom_lv4,1,1
,FreeRose_lv4,1,1
,FreeErnest_lv4,1,1
,EasierBoats_lv4,1,1
BINGODerbyRewardSet_3_professional,Plank,4,2
,Nail,4,2
,Bolt,4,2
,Screw,4,2
,Duct Tape,4,2
,Wood Panel,4,2
,Land Deed,4,2
,Mallet,4,2
,Marker Stake,4,2
,Voucher1,4,1
,Voucher2,4,1
,Voucher3,4,1
,Voucher4,4,1
,FreeDiamonds,5,1
,Puzzle Piece 1,1,5
,Expansion Key,1,4
,FasterTom_lv4,1,1
,FreeTom_lv4,1,1
,FreeRose_lv4,1,1
,FreeErnest_lv4,1,1
,EasierBoats_lv4,1,1
BINGODerbyRewardSet_3_expert,Plank,4,6
,Nail,4,6
,Bolt,4,6
,Screw,4,6
,Duct Tape,4,6
,Wood Panel,4,6
,Land Deed,4,6
,Mallet,4,6
,Marker Stake,4,6
,Voucher1,4,3
,Voucher2,4,3
,Voucher3,4,3
,Voucher4,4,3
,FreeDiamonds,5,2
,Puzzle Piece 1,1,15
,Expansion Key,1,12
,FasterTom_lv4,1,2
,FreeTom_lv4,1,2
,FreeRose_lv4,1,2
,FreeErnest_lv4,1,2
,EasierBoats_lv4,1,2
,FasterTom_lv5,1,1
,FreeTom_lv5,1,1
,FreeRose_lv5,1,1
,FreeErnest_lv5,1,1
,EasierBoats_lv5,1,1
BINGODerbyRewardSet_3_champions,Plank,5,6
,Nail,5,6
,Bolt,5,6
,Screw,5,6
,Duct Tape,5,6
,Wood Panel,5,6
,Land Deed,5,6
,Mallet,5,6
,Marker Stake,5,6
,Voucher1,5,3
,Voucher2,5,3
,Voucher3,5,3
,Voucher4,5,3
,FreeDiamonds,5,2
,Puzzle Piece 1,1,15
,Expansion Key,1,12
,FasterTom_lv4,1,1
,FreeTom_lv4,1,1
,FreeRose_lv4,1,1
,FreeErnest_lv4,1,1
,EasierBoats_lv4,1,1
,FasterTom_lv5,1,2
,FreeTom_lv5,1,2
,FreeRose_lv5,1,2
,FreeErnest_lv5,1,2
,EasierBoats_lv5,1,2
DerbyRewardSet2_18_2017_rookie,Axe,1,18
,Saw,1,18
,Shovel,1,18
,Dynamite,1,18
,Demolition Charge,1,18
,Pickaxe,1,18
,Land Deed,1,32
,Mallet,1,32
,Marker Stake,1,32
,White Sugar,3,10
,Syrup,3,10
,Cherry Popsicle,1,10
,Raspberry Jam,1,10
,Blackberry Jam,1,10
,Raspberry,5,10
,Cherry,5,10
,Blackberry,5,10
,Apple,5,10
,Honey,3,10
,Cream,3,10
,Butter,3,10
,Cheese,3,10
,Goat Cheese,3,10
,GnomeFisherman,1,12
,GnomeFlowergirl,1,12
,FasterCrops1_lv1,1,3
,FasterCrops2_lv1,1,3
,FasterCrops3_lv1,1,3
,FasterTrees_lv1,1,3
,FasterBushes_lv1,1,3
,FasterBaitMaker_lv1,1,3
,FasterNetMaker_lv1,1,3
,MoreCash_lv1,1,3
,HeavierFish_lv1,1,3
,MiningMoreOres_lv1,1,3
DerbyRewardSet2_18_2017_novice,Axe,1,45
,Saw,1,45
,Shovel,1,45
,Dynamite,1,45
,Demolition Charge,1,45
,Pickaxe,1,45
,Land Deed,1,90
,Mallet,1,90
,Marker Stake,1,90
,White Sugar,3,18
,Syrup,3,18
,Cherry Popsicle,1,18
,Raspberry Jam,1,18
,Blackberry Jam,1,18
,Raspberry,9,18
,Cherry,9,18
,Blackberry,9,18
,Apple,9,18
,Honey,3,18
,Cream,3,18
,Butter,3,18
,Cheese,3,18
,Goat Cheese,3,18
,GnomeFisherman,1,18
,GnomeFlowergirl,1,18
,Horse lounge,1,18
,FasterCrops1_lv1,1,2
,FasterCrops1_lv2,1,5
,FasterCrops2_lv1,1,2
,FasterCrops2_lv2,1,5
,FasterCrops3_lv1,1,3
,FasterCrops3_lv2,1,5
,FasterTrees_lv1,1,2
,FasterTrees_lv2,1,5
,FasterBushes_lv1,1,2
,FasterBushes_lv2,1,5
,FasterBaitMaker_lv1,1,2
,FasterNetMaker_lv1,1,2
,FasterBaitMaker_lv2,1,5
,FasterNetMaker_lv2,1,5
,MoreCash_lv1,1,2
,HeavierFish_lv1,1,2
,MiningMoreOres_lv1,1,2
,MoreCash_lv2,1,5
,HeavierFish_lv2,1,5
DerbyRewardSet2_18_2017_professional,Axe,2,45
,Saw,2,45
,Shovel,1,45
,Dynamite,1,45
,Demolition Charge,1,45
,Pickaxe,1,45
,Land Deed,1,90
,Mallet,1,90
,Marker Stake,1,90
,Voucher1,1,36
,White Sugar,5,27
,Syrup,4,27
,Cherry Popsicle,1,27
,Raspberry Jam,1,27
,Blackberry Jam,1,27
,Honey,5,27
,Cream,5,27
,Butter,5,27
,Cheese,3,27
,Goat Cheese,3,27
,GnomeFisherman,1,15
,GnomeFlowergirl,1,15
,Horse lounge,1,15
,Covered stand,1,15
,FasterCrops1_lv2,1,2
,FasterCrops1_lv3,1,5
,FasterCrops2_lv2,1,2
,FasterCrops2_lv3,1,5
,FasterCrops3_lv2,1,2
,FasterCrops3_lv3,1,5
,FasterTrees_lv2,1,2
,FasterTrees_lv3,1,5
,FasterBushes_lv2,1,2
,FasterBushes_lv3,1,5
,FasterBaitMaker_lv2,1,2
,FasterNetMaker_lv2,1,2
,FasterBaitMaker_lv3,1,5
,FasterNetMaker_lv3,1,5
,MoreCash_lv2,1,2
,MoreCash_lv3,1,5
,HeavierFish_lv2,1,2
,HeavierFish_lv3,1,5
,MiningMoreOres_lv3,1,5
DerbyRewardSet2_18_2017_expert,Axe,2,45
,Saw,2,45
,Shovel,1,45
,Dynamite,2,45
,Demolition Charge,2,45
,Pickaxe,1,45
,Land Deed,2,90
,Mallet,2,90
,Marker Stake,2,90
,Voucher1,2,36
,White Sugar,6,18
,Syrup,5,18
,Cherry Popsicle,1,18
,Raspberry Jam,1,18
,Blackberry Jam,1,18
,Honey,6,18
,Cream,6,18
,Butter,6,18
,Cheese,4,18
,Goat Cheese,4,18
,GnomeFisherman,1,15
,GnomeFlowergirl,1,15
,Horse lounge,1,15
,Covered stand,1,15
,FasterCrops1_lv3,1,2
,FasterCrops1_lv4,1,5
,FasterCrops2_lv3,1,2
,FasterCrops2_lv4,1,5
,FasterCrops3_lv3,1,2
,FasterCrops3_lv4,1,5
,FasterTrees_lv3,1,2
,FasterTrees_lv4,1,5
,FasterBushes_lv3,1,2
,FasterBushes_lv4,1,5
,FasterBaitMaker_lv3,1,2
,FasterNetMaker_lv3,1,2
,FasterBaitMaker_lv4,1,5
,FasterNetMaker_lv4,1,5
,MoreCash_lv3,1,2
,MoreCash_lv4,1,5
,HeavierFish_lv3,1,2
,HeavierFish_lv4,1,5
,MiningMoreOres_lv3,1,2
DerbyRewardSet2_18_2017_champions,Axe,2,60
,Saw,2,60
,Shovel,1,60
,Dynamite,2,60
,Demolition Charge,2,60
,Pickaxe,1,60
,Land Deed,2,120
,Mallet,2,120
,Marker Stake,2,120
,Voucher1,2,48
,White Sugar,6,24
,Syrup,5,24
,Cherry Popsicle,1,24
,Raspberry Jam,1,24
,Blackberry Jam,1,24
,Honey,6,24
,Butter,6,24
,Cheese,4,24
,Goat Cheese,4,24
,GnomeFisherman,1,20
,GnomeFlowergirl,1,20
,Horse lounge,1,20
,Covered stand,1,20
,FasterCrops1_lv4,1,7
,FasterCrops1_lv5,1,3
,FasterCrops2_lv4,1,7
,FasterCrops2_lv5,1,3
,FasterCrops3_lv4,1,7
,FasterCrops3_lv5,1,3
,FasterTrees_lv4,1,7
,FasterTrees_lv5,1,3
,FasterBushes_lv4,1,7
,FasterBushes_lv5,1,3
,FasterBaitMaker_lv4,1,7
,FasterNetMaker_lv4,1,7
,FasterBaitMaker_lv5,1,3
,FasterNetMaker_lv5,1,3
,MoreCash_lv4,1,7
,MoreCash_lv5,1,3
,HeavierFish_lv4,1,7
,HeavierFish_lv5,1,3
,MiningMoreOres_lv5,1,3
DerbyRewardSet2_41_2017_rookie,Axe,3,24
,Saw,3,24
,Shovel,2,24
,Dynamite,2,24
,Demolition Charge,1,24
,Pickaxe,1,24
,Land Deed,1,48
,Mallet,1,48
,Marker Stake,1,48
,White Sugar,5,8
,Syrup,5,8
,Cherry Popsicle,1,8
,Raspberry Jam,1,8
,Blackberry Jam,1,8
,Raspberry,9,8
,Cherry,9,8
,Blackberry,9,8
,Apple,9,8
,Honey,5,8
,Cream,5,8
,Butter,5,8
,Cheese,3,8
,Goat Cheese,3,8
,Lobster Meat,3,8
,Duck Down,3,8
,GnomeFisherman,1,16
,GnomeFlowergirl,1,16
,FasterCrops1_lv1,1,3
,FasterCrops2_lv1,1,3
,FasterCrops3_lv1,1,3
,FasterCrops4_lv1,1,3
,FasterTrees_lv1,1,3
,FasterBushes_lv1,1,3
,FasterBaitMaker_lv1,1,3
,FasterNetMaker_lv1,1,3
,MoreCash_lv1,1,3
,HeavierFish_lv1,1,3
,MiningMoreOres_lv1,1,3
DerbyRewardSet2_41_2017_novice,Axe,1,60
,Saw,1,60
,Shovel,1,60
,Dynamite,1,60
,Demolition Charge,1,60
,Pickaxe,1,60
,Land Deed,1,117
,Mallet,1,117
,Marker Stake,1,117
,White Sugar,3,24
,Syrup,3,24
,Cherry Popsicle,1,12
,Raspberry Jam,1,12
,Blackberry Jam,1,12
,Raspberry,9,24
,Cherry,9,24
,Blackberry,9,24
,Apple,9,24
,Honey,3,24
,Cream,3,24
,Butter,3,24
,Cheese,3,24
,Goat Cheese,3,24
,Lollipop,1,12
,Lobster Meat,2,12
,Duck Down,2,12
,GnomeFisherman,1,24
,GnomeFlowergirl,1,24
,Horse lounge,1,24
,FasterCrops1_lv1,1,2
,FasterCrops1_lv2,1,5
,FasterCrops2_lv1,1,2
,FasterCrops2_lv2,1,5
,FasterCrops3_lv1,1,2
,FasterCrops3_lv2,1,5
,FasterCrops4_lv1,1,2
,FasterCrops4_lv2,1,5
,FasterTrees_lv1,1,2
,FasterTrees_lv2,1,5
,FasterBushes_lv1,1,2
,FasterBushes_lv2,1,5
,FasterBaitMaker_lv1,1,2
,FasterNetMaker_lv1,1,2
,FasterBaitMaker_lv2,1,5
,FasterNetMaker_lv2,1,5
,MoreCash_lv1,1,2
,MoreCash_lv2,1,5
,HeavierFish_lv1,1,2
,HeavierFish_lv2,1,5
,MiningMoreOres_lv1,1,2
DerbyRewardSet2_41_2017_professional,Axe,2,108
,Saw,2,108
,Shovel,1,108
,Dynamite,1,108
,Demolition Charge,1,108
,Pickaxe,1,108
,Land Deed,1,216
,Mallet,1,216
,Marker Stake,1,216
,Voucher1,1,87
,White Sugar,5,45
,Syrup,4,45
,Cherry Popsicle,1,45
,Raspberry Jam,1,66
,Blackberry Jam,1,66
,Honey,5,45
,Cream,5,45
,Butter,5,45
,Cheese,3,66
,Goat Cheese,3,66
,Lollipop,1,45
,Lobster Meat,2,45
,Duck Down,2,45
,GnomeFisherman,1,33
,GnomeFlowergirl,1,33
,Horse lounge,1,33
,Covered stand,1,33
,FasterCrops1_lv2,1,4
,FasterCrops1_lv3,1,10
,FasterCrops2_lv2,1,4
,FasterCrops2_lv3,1,10
,FasterCrops3_lv2,1,4
,FasterCrops3_lv3,1,10
,FasterCrops4_lv2,1,4
,FasterCrops4_lv3,1,10
,FasterTrees_lv2,1,4
,FasterTrees_lv3,1,10
,FasterBushes_lv2,1,4
,FasterBushes_lv3,1,10
,FasterBaitMaker_lv2,1,4
,FasterNetMaker_lv2,1,4
,FasterBaitMaker_lv3,1,10
,FasterNetMaker_lv3,1,10
,MoreCash_lv2,1,4
,MoreCash_lv3,1,10
,HeavierFish_lv2,1,4
,HeavierFish_lv3,1,10
,MiningMoreOres_lv3,1,10
DerbyRewardSet2_41_2017_expert,Axe,2,84
,Saw,2,84
,Shovel,1,84
,Dynamite,2,84
,Demolition Charge,2,84
,Pickaxe,1,84
,Land Deed,2,168
,Mallet,2,168
,Marker Stake,2,168
,Voucher1,2,68
,White Sugar,6,18
,Syrup,5,18
,Cherry Popsicle,1,34
,Raspberry Jam,1,34
,Blackberry Jam,1,34
,Honey,6,18
,Cream,6,18
,Butter,6,18
,Cheese,4,34
,Goat Cheese,4,34
,Lollipop,1,18
,Lobster Meat,2,34
,Duck Down,2,34
,GnomeFisherman,1,26
,GnomeFlowergirl,1,26
,Horse lounge,1,26
,Covered stand,1,26
,FasterCrops1_lv3,1,3
,FasterCrops1_lv4,1,7
,FasterCrops2_lv3,1,3
,FasterCrops2_lv4,1,7
,FasterCrops3_lv3,1,3
,FasterCrops3_lv4,1,7
,FasterCrops4_lv3,1,3
,FasterCrops4_lv4,1,7
,FasterTrees_lv3,1,3
,FasterTrees_lv4,1,7
,FasterBushes_lv3,1,3
,FasterBushes_lv4,1,7
,FasterBaitMaker_lv3,1,3
,FasterNetMaker_lv3,1,3
,FasterBaitMaker_lv4,1,7
,FasterNetMaker_lv4,1,7
,MoreCash_lv3,1,3
,MoreCash_lv4,1,7
,HeavierFish_lv3,1,3
,HeavierFish_lv4,1,7
,MiningMoreOres_lv3,1,3
DerbyRewardSet2_41_2017_champions,Axe,2,126
,Saw,2,126
,Shovel,1,126
,Dynamite,2,126
,Demolition Charge,2,126
,Pickaxe,1,126
,Land Deed,2,252
,Mallet,2,252
,Marker Stake,2,252
,Voucher1,2,102
,White Sugar,6,27
,Syrup,5,27
,Cherry Popsicle,1,51
,Raspberry Jam,1,51
,Blackberry Jam,1,51
,Honey,6,27
,Cream,6,27
,Butter,6,27
,Cheese,4,51
,Goat Cheese,4,51
,Lollipop,1,27
,Lobster Meat,2,51
,Duck Down,2,51
,GnomeFisherman,1,39
,GnomeFlowergirl,1,39
,Horse lounge,1,39
,Covered stand,1,39
,FasterCrops1_lv4,1,10
,FasterCrops1_lv5,1,4
