TID,NO
TID_HELPER_PRODUCTION_TAB_ORDER,Ha alltid en beholdning på
TID_HELPER_PRODUCTION_TAB_STORAGE,På lager nå
TID_HELPER_PRODUCTION_CAPACITY_TITLE,Avløserbeholdning
TID_HELPER_PRODUCTION_CAPACITY_TEXT,Totalt/maks:
TID_HELPER_CARETAKER_CAPACITY,Beholdningen til Rose: <COUNT>/<MAX>
TID_HELPER_MILLER_CAPACITY,Beholdningen til Ernest: <COUNT>/<MAX>
TID_HELPER_INVENTORY_COUNT,+ <COUNT>
TID_HELPER_TOOLTIP_CARETAKER_INVENTORY_COUNT_TITLE,Beholdningen til Rose:
TID_HELPER_TOOLTIP_CARETAKER_INVENTORY_COUNT,<COUNT> x <ITEM>
TID_HELPER_TOOLTIP_MILLER_INVENTORY_COUNT_TITLE,Beholdningen til Ernest:
TID_HELPER_TOOLTIP_MILLER_INVENTORY_COUNT,<COUNT> x <ITEM>
TID_HELPER_PRODUCTION_ALERT_TOOLTIP_TITLE,Trenger flere <ITEM>!
TID_HELPER_PRODUCTION_ALERT_FLOATER,Trenger flere <ITEM> for å produsere <ITEM2>!
TID_HELPER_PRODUCTION_ALERT_TOOLTIP_TEXT,"Obs! Hvis siloen din inneholder <NUMBER> eller færre av en avling, vil ikke <NAME> bruke disse."
TID_HELPER_PRODUCTION_QUEUE_ITEM_TOOLTIP_TEXT,<NAME> produserer <ITEM>.
TID_HELPER_PRODUCTION_CONFIRM_BUTTON,Bekreft
TID_HELPER_PRODUCTION_ORDER_CAPACITY_TITLE,Avløserkø
TID_HELPER_PRODUCTION_ORDER_CAPACITY_TEXT,Totalt/maks:
TID_HELPER_PRODUCTION_ORDER_FULL,Avløserkøen er full!
TID_HELPER_SELECTION_ALERT_TOOLTIP,<NAME> trenger din oppmerksomhet!
TID_HELPER_SELECTION_OK_TOOLTIP,<NAME> er klar for å hjelpe.
TID_HELPER_SELECTION_WARNING_TOOLTIP,<NAME> har lite ressurser igjen!
TID_HELPER_TUTORIAL_INFO_TITLE,Info om avløsere
TID_HELPER_PRODUCTION_WARNING_TOOLTIP_TITLE,Det er lite <ITEM> igjen!
TID_STARTER_PACK_1,Startpakke 1
TID_STARTER_PACK_2,Startpakke 2
TID_STARTER_PACK_3,Startpakke 3
TID_STARTER_PACK_4,Startpakke 4
TID_STARTER_PACK_5,Startpakke 5
TID_STARTER_PACK_1_TLO_POPUP_TITLE,Gårdspakke!
TID_STARTER_PACK_1_TLO_POPUP_DESCRIPTION,Spesial-\ntilbud
TID_STARTER_PACK_2_TLO_POPUP_TITLE,Gårdsutvidelsespakke!
TID_STARTER_PACK_2_TLO_POPUP_DESCRIPTION,Spesial-\ntilbud
TID_STARTER_PACK_3_TLO_POPUP_TITLE,Fiskepakke!
TID_STARTER_PACK_3_TLO_POPUP_DESCRIPTION,Spesial-\ntilbud
TID_STARTER_PACK_4_TLO_POPUP_TITLE,Bypakke!
TID_STARTER_PACK_4_TLO_POPUP_DESCRIPTION,Spesial-\ntilbud
TID_STARTER_PACK_5_TLO_POPUP_TITLE,Byutvidelsespakke!
TID_STARTER_PACK_5_TLO_POPUP_DESCRIPTION,Spesial-\ntilbud
TID_STARTER_PACK_1_1_TLO_POPUP_TITLE,Gårdspakke!
TID_STARTER_PACK_1_1_TLO_POPUP_DESCRIPTION,Engangs-tilbud
TID_STARTER_PACK_2_1_TLO_POPUP_TITLE,Gårdsutvidelsespakke!
TID_STARTER_PACK_2_1_TLO_POPUP_DESCRIPTION,Engangs-tilbud
TID_STARTER_PACK_3_1_TLO_POPUP_TITLE,Fiskepakke!
TID_STARTER_PACK_3_1_TLO_POPUP_DESCRIPTION,Engangs-tilbud
TID_STARTER_PACK_4_1_TLO_POPUP_TITLE,Bypakke!
TID_STARTER_PACK_4_1_TLO_POPUP_DESCRIPTION,Engangs-tilbud
TID_STARTER_PACK_5_1_TLO_POPUP_TITLE,Byutvidelsespakke
TID_STARTER_PACK_5_1_TLO_POPUP_DESCRIPTION,Engangs-tilbud
TID_NOTIFICATIONS_SETTINGS_HELPERS,Varsler for avløsere
TID_NOTIFICATION_HELPERS_WAITING,Avløserne dine venter på forespørsler!
TID_TUTORIAL_HELPER_1,"Å, se! Du har visst fått nye naboer. Hei sann, folkens! Rose og Ernest kan hjelpe til på gården, selv når du ikke er hjemme!"
TID_TUTORIAL_HELPER_2,"Hei! Jeg heter Rose. Jeg er veldig flink med dyr. Jeg gjør klart fôret deres, sørger for at de får mat, og samler inn det de produserer. Bare fyll siloen din med avlinger og fortell meg hvor mange produkter jeg skal lagre, så setter jeg i gang!"
TID_TUTORIAL_HELPER_3,"God dag! Mitt navn er Ernest. Jeg kan holde meieriet og sukkermøllen din i gang. Alt du trenger å gjøre, er å gi meg de nødvendige ingrediensene!"
TID_TUTORIAL_HELPER_3a,Trykk på et av husene for å hyre inn en avløser!
TID_TUTORIAL_HELPER_4,"Avløserne har sine egne lagre, så de bruker ikke opp plassen på låven din. Det de produserer, vil alltid være tilgjengelig for deg."
TID_TUTORIAL_HELPER_5,"Husk at du må ha nok av alle avlingene dine! Vi tar ikke en avling hvis du ikke har så mye igjen. Vi vil ikke at du skal havne i en knipe, gode venn!"
TID_TLO_ITEM_COUNT,<COUNT>x
TID_MOVIE_TICKET_TITLE_SKIP_VIDEO,Din daglige belønning
TID_MOVIE_TICKET_QUESTION_SKIP_VIDEO,Din belønning
TID_MOVIE_TICKET_WATCH_ANOTHER_TITLE_SKIP_VIDEO,Din neste belønning
TID_MOVIE_TICKET_ALL_WATCHED_TITLE_SKIP_VIDEO,"Takk! Du har sett alle tilgjengelige trailere. Kom tilbake om en stund, så vil du ha flere å se!"
TID_HELPER_TUTORIAL_INFO_GENERAL,"Rose og Ernest har kommet for å hjelpe deg med gårdsarbeidet.\n\nRose tar seg av dyrene dine, og Ernest holder meieriet og sukkermøllen i gang.\n\nNår du ber dem om å sørge for at du har et visst antall produkter på lager, står de på slik at produktene alltid er tilgjengelig for deg, og at lageret fylles opp når du har tømt det!"
TID_HELPER_TUTORIAL_INFO_PRODUCT_QUANTITY,Bruk pilene til å velge antallet du alltid vil ha tilgjengelig av et produkt.
TID_HELPER_TUTORIAL_INFO_PRODUCT_QUANTITY_NUMBER_1,1
TID_HELPER_TUTORIAL_INFO_BLUE_ICON,Et blått ikon betyr at produktets beholdning fylles opp.
TID_HELPER_TUTORIAL_INFO_PRODUCT_QUANTITY_NUMBER_2,7
TID_HELPER_TUTORIAL_INFO_RED_ICON,Ikonet blir rødt hvis det er noe galt med produksjonen. Trykk og hold på ikonet for å se hva som er galt.
TID_HELPER_TUTORIAL_INFO_PRODUCT_QUANTITY_NUMBER_3,3
TID_HELPER_TUTORIAL_INFO_CONFIRM,Du må bekrefte endringene før du lukker skjermen. Hvis ikke vil ikke endringene tas i bruk.
TID_HELPER_TUTORIAL_INFO_QUEUE,Avløserkøen viser hvor mange gjenstander du kan be om på en gang.
TID_HELPER_TUTORIAL_INFO_STOCK,Avløserbeholdningen viser avløserens lagringskapasitet og gjeldende beholdning.
TID_HELPER_TUTORIAL_INFO_FEED_STORAGE,Dyrefôr tar ikke opp plass på lageret til Rose.
TID_HELPER_TUTORIAL_INFO_FEED_1,1
TID_HELPER_TUTORIAL_INFO_FEED_2,2
TID_HELPER_TUTORIAL_INFO_SUMMARY,"Rose henter avlinger i siloen din, lager fôr i fôrmøllen, mater dyrene og samler inn det de produserer.\n\nErnest henter de nødvendige ingrediensene fra siloen eller låven (sukkerrør, melk eller geitemelk), fyller produksjonsmaskinene dine med melke- og sukkerprodukter og henter dem etterpå.\n\nSørg alltid for at du har nok avlinger i siloen! Avløserne verken sår eller høster inn avlinger, og de slutter å produsere hvis de går tom for ingredienser."
TID_CAMPAIGN_PACKAGE_TOOLTIP,100 % av overskuddet går til (RED)s kamp mot AIDS.
TID_FEATURE_HELPERS,Avløsere
TID_HINT_HIRE_HELPER,Hyr inn avløsere som kan hjelpe deg å drive gården mer effektivt!
TID_GOOGLE_AUTOMATIC_LOGOUT_TITLE,Du ble logget av Google Play!
TID_GOOGLE_AUTOMATIC_LOGOUT_TEXT,Du ble automatisk logget av Google Play Spill fordi du valgte en annen gård enn den som er knyttet til den kontoen. Det kan bare være én gård knyttet til hver Google Play-konto.
TID_GOOGLE_AUTOMATIC_LOGOUT_HELPSHIFT_BUTTON,Mer info
TID_GOOGLE_AUTOMATIC_LOGOUT_OK_BUTTON,OK
TID_GOOGLE_AUTOMATIC_LOGOUT_TEXT_ALREADY_TIED,Du ble automatisk logget av Google Play Spill fordi gården din allerede er knyttet til en annen Google Play Spill-konto. En gård kan bare være knyttet til én Google Play-konto.
TID_DECO_DERBY_PLAQUE1,Bronseplakat
TID_DECO_DERBY_PLAQUE2,Sølvplakat
TID_DECO_DERBY_PLAQUE3,Gullplakat
TID_DECO_DERBY_BANNER1,Rosa banner
TID_DECO_DERBY_BANNER2,Rutete banner
TID_DECO_DERBY_BANNER3,Lilla banner
TID_DECO_DERBY_SADDLES,Saler
TID_DECO_DERBY_TROUGH,Derbytrau
TID_DECO_2YEARS,Dyrestatue
TID_DECO_2YEARS_DESCRIPTION,Spesiell dekorasjon for Hay Day-spillere som har vært med lenge
TID_HELPER_MILLER_DESCRIPTION,Hjelper til med sukker og meieriprodukter
TID_HELPER_CARETAKER_DESCRIPTION,Hjelper til med dyrene på gården
TID_DECO_HEROWICKER,Helten Wicker
TID_DECO_HEROWICKER_DESCRIPTION,Spesiell (RED)-dekorasjon
TID_FRIEND_BOOK_TITLE,Vennebok
TID_FRIEND_BOOK_TAB_REQUESTS,Forespørsler
TID_FRIEND_BOOK_TAB_GAME_FRIENDS,Venner i spillet
TID_FRIEND_BOOK_TAB_SOCIAL_MEDIA_FRIENDS,Andre venner
TID_FRIEND_BOOK_TAB_FOLLOWERS,Følgere
TID_FRIEND_BOOK_YOUR_TAG,Din tagg: <TAG>
TID_FRIEND_BOOK_SEARCH_BUTTON,Søk
TID_FRIEND_BOOK_ADD_FRIEND_BUTTON,Legg til venn
TID_FRIEND_BOOK_FRIEND_NOT_FOUND,Spiller ikke funnet
TID_FRIEND_BOOK_PENDING_REQUESTS,Mottatte forespørsler:
TID_FRIEND_BOOK_PLAYER_REQUESTS,Sendte forespørsler:
TID_FRIEND_BOOK_ACCEPT_BUTTON,Godta
TID_FRIEND_BOOK_DECLINE_BUTTON,Avslå
TID_FRIEND_BOOK_BLOCK_BUTTON,Blokker
TID_FRIEND_BOOK_CANCEL_BUTTON,Avbryt
TID_FRIEND_BOOK_INGAME_FRIEND_COUNT,Totalt antall venner i spillet: <COUNT>/<MAX>
TID_FRIEND_BOOK_BLOCKED_FARMS,Blokkerte gårder
TID_FRIEND_BOOK_UNBLOCK_BUTTON,Fjern blokkering
TID_FRIEND_BOOK_REMOVE_BUTTON,Fjern
TID_FRIEND_BOOK_FRIEND_ITEM_TAG,Tagg: <TAG>
TID_FLOATER_ADD_FRIEND_FAILED_TOO_MANY_PENDING_REQUESTS_SENDER,Svar på eksisterende forespørsler før du legger til flere venner
TID_FLOATER_ADD_FRIEND_FAILED_TOO_MANY_PENDING_REQUESTS_RECEIVER,Spilleren kan ikke motta forespørsler akkurat nå
TID_FLOATER_ADD_FRIEND_FAILED_TOO_MANY_FRIENDS_SENDER,Du har nådd det maksimale antallet venner i spillet
TID_FLOATER_ADD_FRIEND_FAILED_TOO_MANY_FRIENDS_RECEIVER,Spilleren har allerede nådd det maksimale antallet venner i spillet
TID_FLOATER_ADD_FRIEND_FAILED_FRIEND_BLOCKED,Du har blokkert denne spilleren. Du må fjerne blokkeringen før du sender en forespørsel.
TID_FLOATER_ADD_FRIEND_FAILED_FRIEND_BANNED,Denne spilleren er utestengt fra Hay Day
TID_FLOATER_ADD_FRIEND_FAILED_CANNOT_ADD_OWN_AVATAR_AS_FRIEND,Du kan ikke legge deg selv til som venn
TID_FLOATER_ADD_FRIEND_FAILED_GENERIC,Kunne ikke legge til spiller
TID_FLOATER_ADD_FRIEND_FAILED_FRIEND_ALREADY_ADDED,Du er allerede venn med denne spilleren
TID_FLOATER_ADD_FRIEND_FAILED_FRIEND_REQUEST_ALREADY_SENT,Du har allerede sendt en forespørsel til denne spilleren
TID_FRIEND_BOOK_HIDE_BUTTON,Skjul
TID_FRIEND_BOOK_UNHIDE_BUTTON,Vis
TID_FRIEND_BOOK_HIDDEN_FARMS,Skjulte venner
TID_FRIEND_BOOK_RECEIVE_REQUESTS,Motta venneforespørsler i spillet
TID_FLOATER_SOCIAL_FRIEND_HIDDEN,Vennen er nå skjult
TID_FLOATER_SOCIAL_FRIEND_UNHIDDEN,Vennen er ikke lenger skjult
TID_FRIEND_BOOK_ADD_FRIENDS_BUTTON,Inviter venner
TID_FRIEND_BOOK_FOLLOWING_COUNT,Du følger <COUNT>/<MAX>
TID_FRIEND_BOOK_FOLLOWING_FARMS,Du følger: <COUNT>/<MAX>
TID_FRIEND_BOOK_FOLLOWER_FARMS,Du følges av: <COUNT>/<MAX>
TID_FRIEND_BOOK_TAB_FOLLOWING_NO_FRIENDS,Finn flere spillere å følge!
TID_FRIEND_BOOK_UNFOLLOW_BUTTON,Slutt å følge
TID_FRIEND_BOOK_REMOVE_FOLLOWER_BUTTON,Fjern
TID_CONFIRM_STOP_FOLLOWING_NO,NEI
TID_CONFIRM_STOP_FOLLOWING_YES,JA
TID_CONFIRM_STOP_FOLLOWING_TITLE,Slutte å følge?
TID_CONFIRM_STOP_FOLLOWING_TEXT,Er du sikker på at du vil slutte å følge <NAME>?\n
TID_CONFIRM_POPUP_ADD_FRIEND_TITLE,Legg til venn (<COUNT>/<MAX>)
TID_CONFIRM_POPUP_ADD_FRIEND_TEXT,Vil du legge <NAME> til som venn?
TID_CONFIRM_POPUP_ADD_FRIEND_BUTTON_CONFIRM,JA
TID_CONFIRM_POPUP_ADD_FRIEND_BUTTON_CANCEL,NEI
TID_FLOATER_ADD_FRIEND_FAILED_FRIEND_BLOCKS_YOU,Denne spilleren har blokkert forespørslene dine
TID_FLOATER_ADD_FRIEND_FAILED_FRIEND_REQUEST_DISABLED,Spilleren mottar ikke forespørsler akkurat nå
TID_TREE_BANANATREE,Banantre
TID_TREE_BANANATREE_DESCRIPTION,Samle inn tre ganger
TID_BANANA_TREE_FB_HELP_TEXT,Banantreet mitt trenger vann! Kan du hjelpe?
TID_PRODUCT_BANANA_DESCRIPTION,Samle inn fra banantre
TID_PRODUCT_BANANA,Banan
TID_CROP_GRAPES,Druer
TID_BANANA_LATTE,Islatte med banan
TID_BANANA_SPLIT,Banansplitt
TID_BANANA_BREAD,Bananbrød
TID_BANANA_PANCAKES,Bananpannekaker
TID_GRAPE_JUICE,Druejus
TID_GOAT_CHEESE_TOAST,Sandwich med geitost
TID_GRAPE_JAM,Druesyltetøy
TID_FRUIT_CAKE,Fruktkake
TID_POTATO_SOUP,Potetsuppe
TID_FLOATER_INGAME_FRIEND_REMOVED,<PARAM> ble fjernet fra vennelisten
TID_FLOATER_INGAME_FRIEND_BLOCKED,<PARAM> ble fjernet fra vennelisten og blokkert
TID_FLOATER_INGAME_FRIEND_UNBLOCKED,<PARAM> er ikke lenger blokkert og kan sende deg venneforespørsler
TID_CARETAKER_SETTINGS_TITLE,Hvordan fungerer <NAME>?
TID_CARETAKER_SETTINGS_BUTTON_CONFIRM,Bekreft
TID_CARETAKER_SETTINGS_OPTION_1_DESCRIPTION,"Mat alle dyrene, lagre ekstra fôr"
TID_CARETAKER_SETTINGS_OPTION_1_TOOLTIP,Rose lagrer ett ekstra fôr per dyr. Hun mater sultne dyr og fyller opp fôrlageret igjen.
TID_CARETAKER_SETTINGS_OPTION_2_DESCRIPTION,"Lagre ekstra fôr, ikke mat alle dyrene"
TID_CARETAKER_SETTINGS_OPTION_2_TOOLTIP,Rose lagrer ett ekstra fôr per dyr. Hun mater bare dyrene hun må samle inn fra.
TID_CARETAKER_SETTINGS_OPTION_3_DESCRIPTION,"Ikke noe ekstra fôr, lag fôr ved behov"
TID_CARETAKER_SETTINGS_OPTION_3_TOOLTIP,Rose lager bare nok fôr til å mate dyrene hun må samle inn fra. Hun mater ikke andre dyr.
TID_FLOATER_INGAME_FRIEND_ACCEPTED_FRIEND_REQUEST,<PARAM> godtok venneforespørselen din
TID_GINGERBREADHOUSE,Pepperkakehus
TID_GINGERBREADMAN,Pepperkakemann
TID_GINGERBREADWOMAN,Pepperkakedame
TID_CANDYBENCH,Polkagrisbenk
TID_WINTERLANTERN,Vinterlykt
TID_WINTERARCH,Vinterbue
TID_CNY_FENCE,Kinesisk gjerde
TID_CNY_GATE,Kinesisk port
TID_CNY_ROOSTER,Hanestatue
TID_FIREWORKSBARREL,Fyrverkeri
TID_EVENT_PAMFLET_CHINESENEWYEAR2017,Det er kinesisk nyttår!
TID_ADVANCED_EVENT_TEXT_CHINESENEWYEAR2017,"Det er kinesisk nyttår, og måtte det bringe hell og lykke! Hvis du er heldig, får du kanskje se fyrverkeri i fiskeområdet. Ta deg av så mange lastebilbestillinger som mulig før tiden er ute! Nå dine personlige mål for å få flotte belønninger. Resultatet ditt teller også mot samfunnets mål totalt. Nå målet sammen med bønder fra hele verden, så får alle belønninger."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_CHINESENEWYEAR2017,"Hei, <NAME>! Lastebil-leveransene var en kjempesuksess! Hanens år starter med et smell! Vi takker alle som har deltatt - vi klarte det sammen. Ta imot denne belønningen som takk for hjelpen!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_CHINESENEWYEAR2017,Ha et godt hanens år!
TID_ADVANCED_EVENT_SUCCESS_TEXT_CHINESENEWYEAR2017,Sammen leverte spillsamfunnet vårt en utrolig mengde lastebillass. For en fantastisk start på hanens år!
TID_ADVANCED_EVENT_TITLE_NEWYEAR2017,Det er snart nyttår!
TID_ADVANCED_EVENT_TEXT_NEWYEAR2017,"Året går mot slutten, og det er snart 2017! Hva med å sende av gårde årets siste båtleveranser? Hvis du er heldig, får du kanskje se fyrverkeri i fiskeområdet. Fullfør så mange elvebåter som mulig før tiden er ute! Nå dine personlige mål for å få flotte belønninger. Resultatet ditt teller også mot samfunnets mål totalt. Nå målet sammen med bønder fra hele verden, så får alle belønninger."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_NEWYEAR2017,"Hei, <NAME>! For en utrolig avslutning på 2016, og for et sensasjonelt antall båtleveranser! Vi takker alle som deltok i den globale hendelsen. Vi klarte det sammen! Ta imot denne belønningen som takk for bidraget!"
TID_ADVANCED_EVENT_TEXT_NEWYEAR2017_ALT,"2016 er over, så velkommen til 2017! Hva med å sende av gårde årets første båtleveranser? Hvis du er heldig, får du kanskje se fyrverkeri i fiskeområdet. Fullfør så mange elvebåter som mulig før tiden er ute! Nå dine personlige mål for å få flotte belønninger. Resultatet ditt teller også mot samfunnets mål totalt. Nå målet sammen med bønder fra hele verden, så får alle belønninger."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_NEWYEAR2017_ALT,"Hei, <NAME>! For en utrolig start på 2017, og for et sensasjonelt antall båtleveranser! Vi takker alle som deltok i den globale hendelsen. Vi klarte det sammen! Ta imot denne belønningen som takk for bidraget!"
TID_ADVANCED_EVENT_TEXT_CHRISTMAS2016,"Høytiden er i gang! Dra på fisketur sammen med dine kjære og ha en flott fisketur sammen! Det er blitt observert sjeldne kjempefisker i området. Klarer du å fange alle og fullføre samlingen? Nå dine personlige mål for å få flotte belønninger. Resultatet ditt teller også mot samfunnets mål totalt. Nå målet sammen med bønder fra hele verden, så får alle belønninger."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_CHRISTMAS2016,"Hei, <NAME>! Alle storkoste seg med å fiske på vannet for å feire høytiden! Vi takker alle som deltok i den globale hendelsen. Vi klarte dette sammen! Ta imot denne belønningen som takk for bidraget!"
TID_CANNOT_FOLLOW_FARM,Denne spilleren har blokkert deg
TID_ROADSIDE_SHOP_NEW_SALE_HELPERS_TITLE,Avløsergjenstander
TID_ROADSIDE_SHOP_NEW_SALE_HELPERS_TAB_EMPTY,Gjenstandene i avløsernes lager vises her.
TID_FLOATER_INGAME_FRIEND_REQUEST_SENT,Venneforespørsel sendt!
TID_FRIEND_BOOK_TAB_SOCIAL_MEDIA_NO_FRIENDS,Venner på sosiale medier vises her!
TID_FRIEND_BOOK_FOLLOWING_FARM_REMOVED,Bondegården følges ikke lenger
TID_FRIEND_BOOK_FOLLOWER_FARM_REMOVED,Følgeren er fjernet
TID_FRIEND_BOOK_SETTINGS_TITLE,Innstillinger for venneboken
TID_FRIEND_BOOK_FOLLOWER_FARM_BLOCKED,Følgeren er fjernet og blokkert
TID_FRIEND_BOOK_TAB_GAME_NO_FRIENDS,Legg til venner i spillet
TID_FRIEND_BOOK_NO_REQUESTS,Ingen ventende forespørsler
TID_FRIEND_BOOK_INGAME_FRIENDS,Vennegårder
TID_FRIEND_BOOK_SOCIAL_FRIENDS,Venner på sosiale medier
TID_FRIEND_BOOK_FRIEND_BLOCKED_UNTIL,Blokkert i <TIME>
TID_CNY_DECO_DESC,Dekorasjon til kinesisk nyttår
TID_FRIEND_BOOK_RECEIVE_REQUESTS_DESC,"Når det er krysset av for dette, kan du motta venneforespørsler fra andre Hay Day-spillere.\n\nNår det ikke er krysset av for dette, kan ikke andre spillere sende deg venneforespørsler. Du kan likevel sende venneforespørsler til andre spillere."
TID_STREAM_SENDER_NEIGHBORHOOD_DERBY_SETTINGS_CHANGED,Derbyinnstilling endret
TID_INBOX_NEIGHBORHOOD_DERBY_OPT_OUT_BY_LEADER,"<SENDER> har meldt deg av det neste derbyet. Hvis du ønsker å delta i det neste derbyet, kan du gå til derbyboden og melde deg på igjen før derbyet starter."
TID_NEIGHBORHOOD_MENU_DERBY_OPTOUT_BUTTON,Derbyavmelding
TID_DERBY_LEADER_OPTED_OUT_MEMBER,<PARAM> er nå meldt av det neste derbyet.
TID_NEIGHBORHOOD_COMBO_TASK_PROGRESS_TEXT,<NUMBER> %
TID_BOOSTERS_TITLE,Boosterlager
TID_BOOSTER_PERCENTAGE_FASTER,-<PARAM> %
TID_BOOSTER_PERCENTAGE_MORE,+<PARAM> %
TID_BOOSTER_AMOUNT_EASIER,-<PARAM>
TID_BOOSTER_MORE,+<PARAM>
TID_CONFIRM_POPUP_ACTIVATE_BOOSTER_TITLE,Aktivere booster?
TID_CONFIRM_POPUP_ACTIVATE_SUPER_BOOSTER_TITLE,Aktivere superbooster?
TID_CONFIRM_POPUP_ACTIVATE_BOOSTER_TEXT,Ønsker du å aktivere <PARAM>?
TID_CONFIRM_POPUP_ACTIVATE_BOOSTER_WITH_DIAMONDS_TEXT,Ønsker du å aktivere <PARAM> med diamanter?
TID_CONFIRM_POPUP_REPLACE_BOOSTER_TEXT,Kaste gjeldende booster og aktivere <PARAM>?
TID_CONFIRM_POPUP_REPLACE_BOOSTER_WITH_DIAMONDS_TEXT,Kaste gjeldende booster og aktivere <PARAM> med diamanter?
TID_CONFIRM_POPUP_ACTIVATE_BOOSTER_BUTTON_CONFIRM,AKTIVER
TID_CONFIRM_POPUP_ACTIVATE_BOOSTER_BUTTON_CANCEL,AVBRYT
TID_FLOATER_BOOSTER_ACTIVATED,<PARAM> aktivert!
TID_FLOATER_BOOSTER_ACTIVATION_FAILED,"Du kan ikke aktivere boosteren, for du har en annen aktiv booster!"
TID_FLOATER_DECO_UNLOCKED_WITH_EXPANSION,Lås opp utvidelsen for å få dekorasjonen
TID_FLOATER_BOOSTER_EXPIRED,<PARAM> utløpt!
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_HIRE_TOM,Hyr inn Tom før du aktiverer denne boosteren!
TID_CONFIRM_POPUP_BOOSTER_STORAGE_FULL_TITLE,Boosterlageret er fullt!
TID_CONFIRM_POPUP_BOOSTER_STORAGE_FULL_BUTTON_DISCARD,Kast
TID_CONFIRM_POPUP_BOOSTER_STORAGE_FULL_BUTTON_SWAP,Bytt
TID_CONFIRM_POPUP_BOOSTER_STORAGE_FULL_BUTTON_CONFIRM,Behold booster
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_ANOTHER_BUILDING_BOOSTER_ACTIVE,Kan ikke aktivere. <PARAM> er fortsatt aktiv!
TID_BOOSTER_SLOT_ACTIVE_TITLE,Aktiv
TID_BOOSTER_SLOT_STORAGE_TITLE,Lager <COUNT>/<MAX>
TID_CONFIRM_POPUP_DISCARD_BOOSTER_TITLE,Kaste booster?
TID_CONFIRM_POPUP_DISCARD_BOOSTER_TEXT,Ønsker du å kaste <PARAM>? Boostereffektene vil kanselleres!
TID_CONFIRM_POPUP_DISCARD_BOOSTER_BUTTON_CANCEL,Avbryt
TID_CONFIRM_POPUP_DISCARD_BOOSTER_BUTTON_DISCARD,Kast
TID_FLOATER_BOOSTER_DISCARDED,<PARAM> kastet!
TID_CONFIRM_POPUP_SWAP_BOOSTER_TITLE,Bytt med en lagret booster
TID_CONFIRM_POPUP_SWAP_BOOSTER_BUTTON_SWAP,Bytt
TID_CONFIRM_POPUP_SWAP_BOOSTER_TEXT_OLD_BOOSTER,Denne boosteren vil bli kastet
TID_CONFIRM_POPUP_SWAP_BOOSTER_TEXT_NEW_BOOSTER,Denne boosteren vil beholdes
TID_PENDING_BOOSTERS_TITLE,Boosterlageret er fullt
TID_BOOSTER_SLOT_PENDING_TITLE,Velg en
TID_SWAP_BOOSTER_TITLE,Bytt booster
TID_BOOSTER_FASTER_PRODUCTION,Raskere produksjon
TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,"<PARAM1>, <PARAM2> og <PARAM3> produserer <NUMBER> prosent raskere i kommende <TIME> timene"
TID_BOOSTER_FASTER_CROPS,Raskere avlinger
TID_BOOSTER_FASTER_TOM,Tom tar kortere høneblunder
TID_BOOSTER_FASTER_BOAT,Båten ankommer raskere
TID_BOOSTER_FASTER_BUSHES,Raskere innhøsting av busker
TID_BOOSTER_FASTER_TREES,Raskere innhøsting av trær
TID_BOOSTER_MORE_XP,Ekstra XP
TID_BOOSTER_FREE_TOM,Hyr inn Tom gratis
TID_BOOSTER_FREE_ROSE,Hyr inn Rose gratis
TID_BOOSTER_FREE_ERNEST,Hyr inn Ernest gratis
TID_BOOSTER_EASIER_BOAT,Fyll båtkasser
TID_BOOSTER_DESCRIPTION_FASTER_CROPS,"<PARAM1>, <PARAM2> og <PARAM3> vokser <NUMBER> prosent raskere i kommende <TIME> timene"
TID_TEST_BOOSTER_DESCRIPTION_FASTER_TOM,Toms høneblund vil være <NUMBER> % kortere i kommende <TIME> timene
TID_BOOSTER_DESCRIPTION_FASTER_BOAT,Båter ankommer <NUMBER> % raskere i kommende <TIME> timene
TID_BOOSTER_DESCRIPTION_FASTER_BUSHES,Alle busker vokser <NUMBER> % raskere i kommende <TIME> timene
TID_BOOSTER_DESCRIPTION_FASTER_TREES,Alle trær vokser <NUMBER> % raskere i kommende <TIME> timene
TID_BOOSTER_DESCRIPTION_MORE_XP,Alle handlinger i spillet gir <NUMBER> % mer XP i kommende <TIME> timene
TID_BOOSTER_DESCRIPTION_FREE_TOM,"Ansett Tom gratis i <TIME> timer! Hvis du allerede har ham i staben, blir han hos deg i <TIME> timer ekstra"
TID_BOOSTER_DESCRIPTION_FREE_ROSE,"Ansett Rose gratis i <TIME> timer! Hvis du allerede har henne i staben, blir hun hos deg i <TIME> timer ekstra"
TID_BOOSTER_DESCRIPTION_FREE_ERNEST,"Ansett Ernest gratis i <TIME> timer! Hvis du allerede har ham i staben, blir han hos deg i <TIME> timer ekstra"
TID_BOOSTER_DESCRIPTION_EASIER_BOAT_SINGLE,I kommende <TIME> timene vil hver eneste båt automatisk fylle <NUMBER> kasse for deg
TID_TEST_BOOSTER_FASTER_CROPS,Raskere avlinger
